"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 17:34:47.620"," "," ","8583"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","43","93","100","89","78","83","80","79","50","65","58","100","45","57","43","65"
"11/01/2021 17:34:49.633","199485.20524153576116","4071.1266375823624912","8589","3.7115124354531681128","1.3819522524399330266","0","0","0","0","0","2.1584723134443484227","2.9349923744487527166","1.3819522524399330266","3.7115124354531681128","0.60543219143552873263","0.60543219143552873263","0","1.3819522524399330266","0","1.0422265893986537577","35","57","34","34","34","35","34","34","47","36","42","34","34","34","44","34"
"11/01/2021 17:34:51.621","0","22654.135963631906634","8588","1.7908422628556519562","0.21949573906133723611","1.0051690009584945962","1.0051690009584945962","0.21949573906133723611","0.21949573906133723611","0.21949573906133723611","1.7908422628556519562","1.0051690009584945962","0.21949573906133723611","0.21949573906133723611","2.5765155247528093163","1.0051690009584945962","2.5765155247528093163","1.0051690009584945962","0.21949573906133723611","0.95606253647410044394","34","34","34","34","34","34","34","34","34","34","35","34","34","34","46","38"
"11/01/2021 17:34:53.633","16289.490007923030134","287102.26138964341953","8580","2.9143804375403092877","1.3610105245409620522","0.5843255680412773323","1.3610105245409620522","2.13769548104063567","2.13769548104063567","0.5843255680412773323","2.9143804375403092877","4.4677503505396671812","3.6910653940399940076","2.9143804375403092877","2.13769548104063567","0.5843255680412773323","2.13769548104063567","1.3610105245409620522","3.6910653940399940076","2.1862401548657595107","87","100","100","95","100","100","100","100","100","76","100","80","100","100","100","92"
"11/01/2021 17:34:55.631","8199.7737955468674045","295960.5854330197908","8581","6.9436467490495594745","0.68775745486800987649","1.4697436166407062963","0","0","0","0.68775745486800987649","3.8157021019587844535","9.2896052343676380758","0.68775745486800987649","0","3.8157021019587844535","1.4697436166407062963","1.4697436166407062963","3.8157021019587844535","0.68775745486800987649","2.1539827593696658781","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:34:57.619","0","209163.83769436794682","8596","4.882344900428381429","4.882344900428381429","0.95186328474360371033","0.16576696160665038704","0.16576696160665038704","1.7379596078805681358","0.16576696160665038704","9.5989228392501235732","8.8128265161131587035","0.95186328474360371033","1.7379596078805681358","3.3101522541544747824","0.95186328474360371033","2.5240559310175214591","0.95186328474360371033","1.7379596078805681358","2.720577496293519193","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:34:59.677","133281.39979660444078","973252.60970878694206","8538","74.947846578839062204","74.188690414561449415","71.152065757451026684","71.152065757451026684","70.392909593173442317","74.188690414561449415","75.707002743116660781","87.094345207280724708","76.466158907394259359","70.392909593173442317","74.188690414561449415","71.911221921728639472","71.911221921728639472","71.152065757451026684","71.152065757451026684","72.670378086006252261","73.666769944295680261","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:01.689","0","9673.6091651082624594","8486","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:03.615","10636.681197578118372","3064161.9359923168086","8425","35.093618627861445702","38.33893769646836347","35.904948395013171591","31.036969792102787835","59.433511642413392906","46.452235367985693415","58.622181875261667017","44.018246066530494431","48.886224669440892399","34.282288860709705602","33.470959093557986819","34.282288860709705602","35.904948395013171591","34.282288860709705602","35.093618627861445702","33.470959093557986819","39.910892365643924506","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:05.617","16362.391825355436595","3157941.6222935994156","8361","6.3738580232210795273","8.7145115726405482093","6.3738580232210795273","2.4727687741886272832","70.351721707353348734","18.07712577031844603","52.406711161804039989","18.857343620124932926","15.736472220898978236","4.0332044738016108454","6.3738580232210795273","4.0332044738016108454","12.615600821673012888","5.5936401734145935194","4.0332044738016108454","3.2529866239951132911","14.956254371092480682","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:07.618","8189.4227886484131886","5992098.2866691863164","8369","6.2804869575926902669","7.8424788416328166107","6.2804869575926902669","2.375507247492392171","3.9374991315325069685","29.710365218194525028","16.433434203853490629","64.855182609097255408","17.995426087893605427","4.7184950735525754695","3.1565031895124495698","3.1565031895124495698","10.966462609713056864","6.2804869575926902669","4.7184950735525754695","2.375507247492392171","11.94270503805112682","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:09.620","0","7330231.1144883725792","8365","1.6925607421381494433","4.8134318296893185973","2.4727785140259417318","0.13212519836256486627","5.5936496015771108858","13.395827320455033771","8.7145206891282800399","75.033031299590646768","6.3738673734649031744","4.8134318296893185973","0.91234297025035715478","2.4727785140259417318","4.8134318296893185973","4.0332140578015263088","0.13212519836256486627","0.13212519836256486627","8.4707032595875642045","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:11.743","0","4230098.762258592993","8349","35.212570853299439477","40.366116353605171696","32.267687710267601631","32.267687710267601631","38.89367478208924922","34.476350067541481792","64.661402283617874787","62.452739926343994625","39.629895567847206905","33.003908496025559316","33.003908496025559316","33.003908496025559316","38.89367478208924922","34.476350067541481792","33.740129281783524107","32.267687710267601631","38.663606375516515357","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:35:13.628","0","7232269.186341278255","8358","82.592470652696022171","82.592470652696022171","79.276750777019060479","79.276750777019060479","92.539630279726864615","80.105680745938286691","84.250330590534488806","81.763540683776767537","81.763540683776767537","79.276750777019060479","80.105680745938286691","79.276750777019060479","83.421400621615248383","79.276750777019060479","80.105680745938286691","79.276750777019060479","81.556310844122862136","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
