"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 17:49:33.292"," "," ","8952"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","40","41","39","39","39","39","39","39","61","40","38","39","39","42","43","40"
"11/01/2021 17:49:35.301","4077.6024692988935385","9415184.1016111448407","8966","2.8057531330573204364","0.47309120825069772565","0","0","1.2506451831862386292","0.47309120825069772565","1.2506451831862386292","0.47309120825069772565","8.2486309576061174198","0.47309120825069772565","0","1.2506451831862386292","5.9159690327994951531","0.47309120825069772565","0.47309120825069772565","0","1.3964371755298410349","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:37.292","0","4177411.3682694225572","9009","44.267417527835014823","39.557621825961916784","37.202723975025378422","44.267417527835014823","43.482451577522837738","44.267417527835014823","37.987689925337555508","50.547145130332481244","41.912519676898476462","41.912519676898476462","41.912519676898476462","38.772655875649739698","37.202723975025378422","40.34258777627410808","39.557621825961916784","35.632792074401010041","41.176615982399077609","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:39.292","32756.53357542192316","432744.51778155058855","8976","2.377302920986057444","4.7202476508823920653","3.1582844976181689844","11.749081840571395929","23.463805490053069036","33.616565986270515509","33.616565986270515509","34.397547562902630602","17.215952876996176713","13.31104499383561901","4.7202476508823920653","13.31104499383561901","9.406137110675061308","3.1582844976181689844","0.034358191089722822653","4.7202476508823920653","13.31104499383561901","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:41.293","8189.689279169881047","18426.800878132235084","8898","0.032489440931693369663","0.813485617174414255","1.5944817934171351403","0.032489440931693369663","11.747432084572517752","7.06145502711619244","61.731187364106666848","27.367355609426937235","3.156474145902576911","1.5944817934171351403","1.5944817934171351403","0.813485617174414255","1.5944817934171351403","1.5944817934171351403","1.5944817934171351403","0.032489440931693369663","7.6471996601104592628","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:43.295","0","14523577.293603211641","8903","0.091201746485725099234","0.87173923284129539724","0.091201746485725099234","0.091201746485725099234","4.7744266646192023984","4.7744266646192023984","36.776463605197996287","57.850975736798673665","0.87173923284129539724","0.091201746485725099234","0.091201746485725099234","0.091201746485725099234","0.091201746485725099234","0.091201746485725099234","0.091201746485725099234","0.87173923284129539724","6.7257703805081554549","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:45.307","0","7850955.7838143073022","8888","1.3609320743852570956","1.3609320743852570956","0","0","6.0210455196898831076","13.011215687646837225","48.738752101649026827","36.311782914170009917","0","0","0","0","0","0","0","0","6.5550174733128301341","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:47.292","0","16897605.525205153972","8893","0.85624450051161593578","0.069389298134725496681","0.069389298134725496681","0.85624450051161593578","9.5116517266574334144","16.593348548049458913","35.477873405094861425","42.559570226486883371","0.85624450051161593578","0.069389298134725496681","0.069389298134725496681","0.069389298134725496681","0.069389298134725496681","0.069389298134725496681","0.069389298134725496681","0.069389298134725496681","6.7084832156105616008","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:49.307","0","8487713.9883391205221","8884","0","0.73416022439638517483","0","0","34.081278274013229179","59.673252591161030978","3.0607033441370945503","7.7137895836185137455","0","0","0","0","0","0","0","0","6.5505180237481646088","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:49:51.306","0","15739050.595016073436","8891","0.71454506710333376418","0","0.71454506710333376418","0","7.7505221883322317211","61.693013451087111321","0","32.767329730479424654","0","0","0","0","0","0","0","0","6.4312758526816278248","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
