"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 17:56:48.755"," "," ","9182"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:56:50.769","12199.663456875112388","81076.930057149191271","9187","3.0395864081419698977","0","3.0395864081419698977","0","2.2639030994071052127","0","0.71253648193737584293","0","3.0395864081419698977","1.4882197906722405278","1.4882197906722405278","0","0","2.2639030994071052127","3.8152697168768345826","0.71253648193737584293","1.2942964813019375292","43","67","38","38","76","40","70","91","38","38","39","85","45","59","63","66"
"11/01/2021 17:56:52.764","0","34908.399041422744631","9186","4.4335896042194455902","2.0835959059625541734","2.8669271387148476116","2.0835959059625541734","2.0835959059625541734","0.51693344045795619479","2.0835959059625541734","0.51693344045795619479","5.2169208369717505747","1.300264673210249633","3.650258371467152152","1.300264673210249633","2.0835959059625541734","2.0835959059625541734","2.8669271387148476116","2.0835959059625541734","2.3283862895326579157","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 17:56:54.767","0","139060.04758121501072","9195","3.273924302447739354","0.15372831220411553588","3.273924302447739354","0","4.8340222975695512631","1.7138263073259274449","14.974659265861312463","0.15372831220411553588","4.0539733000086393133","0.93377730976501593929","4.0539733000086393133","1.7138263073259274449","2.4938753048868278483","0.93377730976501593929","0.15372831220411553588","0.15372831220411553588","2.6401351159687003189","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 17:56:56.841","0","965475.87337037059478","8920","74.390415975328409104","75.143639034877580229","75.896862094426737144","74.390415975328409104","74.390415975328409104","75.143639034877580229","95.480661642705015879","75.143639034877580229","78.909754332623393225","74.390415975328409104","76.65008515397590827","75.896862094426737144","75.896862094426737144","75.143639034877580229","75.896862094426737144","74.390415975328409104","76.697163402933071552","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:56:58.760","17077.955017037565995","46964.376296853304666","8857","2.2862973964222987888","1.4720165413924846121","2.2862973964222987888","3.1005782514521129656","7.1719825266011838494","12.871948511809883087","64.985923233717983294","29.157565612406166622","1.4720165413924846121","3.1005782514521129656","3.9148591064819271423","1.4720165413924846121","3.1005782514521129656","2.2862973964222987888","2.2862973964222987888","3.1005782514521129656","9.0041118447195316321","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:00.762","0","0","8818","0.082292224124214108372","0.082292224124214108372","0.86289931612324455301","0.082292224124214108372","12.572005696108689676","4.7659347761183852299","50.821753204061138831","35.990218456079567488","0.082292224124214108372","0.082292224124214108372","0.86289931612324455301","1.6435064081222749977","0.86289931612324455301","0.082292224124214108372","0.082292224124214108372","0.86289931612324455301","6.8638169603514542771","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:02.776","0","266342.26323019812116","8789","0","0","0.72535515628285862633","0","3.827687807649027274","16.237018413113666782","3.0521046448074851121","80.610420928961488585","0","0.72535515628285862633","0","0","0","0","0","0","6.5422288775944137384","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:04.762","0","0","8766","0.8531538895024448621","0.066274158466750332508","0.8531538895024448621","0.8531538895024448621","18.164507972287736948","23.672666089537596434","25.246425551608986382","35.475862055073015711","0.8531538895024448621","0.066274158466750332508","0.066274158466750332508","1.6400336205381393917","0.066274158466750332508","0.8531538895024448621","0.066274158466750332508","0.066274158466750332508","6.803933743971246173","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:06.777","0","77255.557470906933304","8689","0","0.73110548124121210734","0","0","14.69079377294165667","4.608796673380222586","37.181402687347954839","48.03893802533719537","3.0577201965246159077","0","0","1.5066437196690096734","0","0","0","0.73110548124121210734","6.8869383874701206594","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:08.775","16651.214593028405943","22260624.530621372163","8713","0.71454506710333376418","0","1.4963203027954286028","0.71454506710333376418","3.8416460098717353233","9.3140726597164320566","2.2780955384875345437","88.273371464618506366","0","0","0","0.71454506710333376418","0","0","0.71454506710333376418","0","6.7244428169065395551","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:10.775","0","8914284.8455789424479","8770","0.76401767166868195247","0","0","0","4.6709461097919628969","37.489144990027526205","24.205588300408365399","38.270530677652168094","0.76401767166868195247","0","0","0","0","0.76401767166868195247","0","0","6.6732488096557958102","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:12.761","0","8589326.4836589582264","8770","0.85322878542372082578","0.06634964880010141286","0.06634964880010141286","0.06634964880010141286","1.6401079220473513409","52.000372665959105234","49.639735256088243887","0.85322878542372082578","0.06634964880010141286","0.06634964880010141286","0.06634964880010141286","1.6401079220473513409","0.06634964880010141286","0.06634964880010141286","0.06634964880010141286","0.85322878542372082578","6.7548223101008826319","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:14.776","0","15086664.700338833034","8785","0","0","0.77441599294149066068","0","9.3016146185480828024","16.278413494044386312","34.10801062031271158","46.511208621195024193","0","0","0","0","0","0","0","0","6.6853137999171696748","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:16.763","0","6861656.7174276523292","8784","0.11648022833568028034","0.11648022833568028034","0.11648022833568028034","0.11648022833568028034","5.6218710818919825911","10.34077752779738546","6.4083554895428829212","82.697343031680190961","0.11648022833568028034","0.90296463598658061045","0.11648022833568028034","1.6894490436374809406","0.11648022833568028034","0.11648022833568028034","0.11648022833568028034","0.11648022833568028034","6.8015976933683326422","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:18.777","0","13121958.7558061257","8795","0","0.67677356643435215844","0","0","6.8844752185322040106","5.3325498055077353854","6.8844752185322040106","84.480745869755367039","0","0","0.67677356643435215844","0","0","0","0","0","6.4964938652760872984","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:20.762","0","5808752.8617371767759","8778","0.85262462176692865867","0.065740690193649697903","0.065740690193649697903","0.065740690193649697903","8.721463937499706276","31.541097953124786812","36.262401542564447254","42.557472995150682493","0.065740690193649697903","0.065740690193649697903","0.065740690193649697903","0.85262462176692865867","0.065740690193649697903","0.065740690193649697903","0.065740690193649697903","0.065740690193649697903","7.5903201743845567506","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:22.769","40824.627576188737294","11718709.345744976774","8792","0","0","0.33059345457053801454","0","2.6665951704790358257","3.4452624091152017627","67.295975977280960478","29.141281284108742966","0","0","0.33059345457053801454","0","0","0.33059345457053801454","0","0.33059345457053801454","6.2679299033037372268","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:24.761","0","5264759.5509799402207","8759","0.36652066057567544988","0.36652066057567544988","0.36652066057567544988","0.36652066057567544988","5.8581297580242663869","6.6426453433740650922","70.188407756707675844","21.548441465020218288","0.36652066057567544988","0.36652066057567544988","0.36652066057567544988","3.5045830019748702711","0.36652066057567544988","0.36652066057567544988","0.36652066057567544988","0.36652066057567544988","6.9858690291271896555","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:57:26.775","0","9889195.3325328845531","8768","0","0","0","0","6.1544559291397575862","27.095197168092045814","65.098764601746196945","7.7056219468399245187","0","0","0.72537486718916577288","2.2765408848893331495","0","0","0.72537486718916577288","0","6.8330923028164018973","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
