"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 17:47:20.857"," "," ","9315"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:22.865","46912.178447935308213","305184.11740314436611","9305","8.9639979720477889202","2.7393140727006271007","3.517399560119016666","0.40505761044543620031","3.517399560119016666","1.1831430978638368678","1.9612285852822264332","3.517399560119016666","13.632510896558148517","0.40505761044543620031","6.6297415097925966876","1.1831430978638368678","2.7393140727006271007","2.7393140727006271007","1.9612285852822264332","1.9612285852822264332","3.5660267907407172672","82","100","86","100","67","73","91","79","100","87","100","68","100","100","91","50"
"11/01/2021 17:47:24.855","0","116553.62368219117343","9304","10.483931030136595552","11.269159705310837438","3.4168729535684394527","1.8464156032199530166","0.27595825287147768279","2.6316442783941962347","1.0611869280457097986","1.8464156032199530166","9.6987023549623625485","2.6316442783941962347","3.4168729535684394527","1.0611869280457097986","3.4168729535684394527","1.8464156032199530166","0.27595825287147768279","0.27595825287147768279","3.4659516303156445716","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:26.867","0","6175079.2645238190889","9161","2.159770572551333867","3.7127900872727437331","0.60675105782992400094","0","8.371848631436961341","18.46647547712611015","2.936280329912033249","64.280551161407629479","2.936280329912033249","0.60675105782992400094","2.159770572551333867","1.3832608151906233829","0.60675105782992400094","0","0","2.159770572551333867","6.867357870511570539","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:28.853","0","1804.9429753346785219","9072","4.7875333649663236457","12.656332260423653224","0.066254027691925454491","1.6400138067833913702","0.85313391723765841235","18.164491487243783041","20.525131155880981026","63.016645191350548316","2.4268936963291243281","2.4268936963291243281","0.85313391723765841235","4.7875333649663236457","0.85313391723765841235","0.85313391723765841235","0.066254027691925454491","1.6400138067833913702","8.476033476715860715","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:30.854","0","145350.23055086756358","8971","3.9430638207906820725","6.2859159227226175659","0.038310317570788843256","0.038310317570788843256","24.247782037534115318","13.314472228518425823","39.085845349769698487","27.371584840110031678","1.6002117188587461349","0.038310317570788843256","0.038310317570788843256","1.6002117188587461349","0.038310317570788843256","0.038310317570788843256","0.038310317570788843256","0.038310317570788843256","7.3597243856292067221","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:32.867","0","32562.878288938401965","8978","16.93035301674674642","5.285075402271988132","2.1796680384120525886","0.62696435648208481695","3.7323717203420203603","5.285075402271988132","37.891852722801303344","56.524296905960916604","10.719538289026875333","0.62696435648208481695","0","0.62696435648208481695","9.9431864480618905588","0.62696435648208481695","0.62696435648208481695","0.62696435648208481695","9.5064866742746616524","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:34.855","16482.6552849424952","1374241.3843820805196","9303","3.328376033414948143","1.7564797087550210186","0.18458338409510499645","0.97053154642506855865","1.7564797087550210186","5.6862205204048272833","28.478717227973660897","63.84638453282185111","6.4721686827347806314","0.18458338409510499645","3.328376033414948143","0.97053154642506855865","4.9002723580748641652","0.18458338409510499645","0.18458338409510499645","0.97053154642506855865","7.700214572650931899","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:36.868","16526.254746456561406","3260502.9364393688738","9104","13.086854938087045142","15.414885609388285559","8.4307935954845643067","2.9987220291150085139","10.758824266785804724","8.4307935954845643067","16.190895833155373396","10.758824266785804724","16.190895833155373396","2.2227118053479322235","6.1027629241833247775","6.878773147950411726","13.862865161854131202","5.3267527004162484872","3.7747322528820848042","4.5507424766491721968","9.0613012814871431999","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:47:38.854","0","1377654.8195573121775","9109","4.8128869946146402015","1.6662055729490088396","0.87953521753260099914","0.09286486211619315867","2.4528759283654166801","1.6662055729490088396","0.09286486211619315867","0.87953521753260099914","0.87953521753260099914","0.09286486211619315867","3.2395462837818245205","0.09286486211619315867","0.87953521753260099914","0.87953521753260099914","0.09286486211619315867","0.87953521753260099914","1.2237066447086997201","70","71","84","57","79","64","78","69","45","62","62","52","47","85","55","95"
