"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 17:40:08.832"," "," ","8522"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","89","100","90","100","100","100","100","100","82","100","99","100","96","100","93","100"
"11/01/2021 17:40:10.845","4070.5937958823797089","63094.203836176886398","8522","6.08197366524880767","3.7534275577756348596","1.4248814503024620493","2.9772455219512439228","1.4248814503024620493","0.64869941447808221469","2.9772455219512439228","1.4248814503024620493","9.9628838443707614658","2.201063486126852986","1.4248814503024620493","4.5296095936000257964","4.5296095936000257964","2.9772455219512439228","2.9772455219512439228","1.4248814503024620493","3.1712885471248286606","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:12.836","8229.6613994623585313","18516.738148790307605","8520","5.0397576089743045813","4.2549622173129293401","2.6853714339901912922","2.6853714339901912922","3.4701668256515660893","0.33098525900608910533","2.6853714339901912922","3.4701668256515660893","9.7485299589425196132","2.6853714339901912922","3.4701668256515660893","1.1157806506674528002","2.6853714339901912922","2.6853714339901912922","1.1157806506674528002","1.9005760423288275973","3.1268207253086544029","100","100","100","100","100","100","100","100","100","95","100","100","100","100","100","100"
"11/01/2021 17:40:14.839","1480419.9684447075706","26361801.572073593736","8449","3.2807421848967677214","2.5007481702588374439","1.7207541556209071665","0.16076612634505771382","5.6207242288105589978","7.1807122580864195527","35.260496785051863355","24.34058058012086434","14.980652404465711669","0.94076014098297688903","4.0607361995346984429","0.94076014098297688903","2.5007481702588374439","1.7207541556209071665","2.5007481702588374439","0.94076014098297688903","6.7907152507674535258","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:16.855","16256.855942516376672","140215.38250420376426","8236","6.9761072968834492158","7.7513064027427525104","1.5497135558683150514","0.77451445000901175675","6.9761072968834492158","3.8753108734462249352","5.4257090851648426266","90.697610729688349807","14.728098355476493708","1.5497135558683150514","0.77451445000901175675","0.77451445000901175675","2.324912661727618346","6.2009081910241459212","1.5497135558683150514","2.324912661727618346","9.6408523627969486824","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:18.854","34827.620235491573112","297827.37010203453247","8191","3.8744324371366878346","4.655941116509564992","0.74839771964519963277","0","26.538184138949993951","22.630640742085628148","4.655941116509564992","49.201935840763290742","4.655941116509564992","0","1.5299063990180772343","0.74839771964519963277","0","5.4374497958824319355","0","1.5299063990180772343","7.8796631685087774599","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:20.839","24761.499535696693783","100335.65957693764358","8189","1.6039940680023567765","4.752666257826277274","0.81682602054636843647","0.029657973090391198667","42.53673253571336943","22.857531349313841673","26.793371586593750067","11.050010637474127151","5.5398343052822536237","0.81682602054636843647","0.029657973090391198667","0.81682602054636843647","1.6039940680023567765","3.9654982103702995921","0.81682602054636843647","1.6039940680023567765","7.8521435933563976661","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:22.851","0","99775.998151471445453","8177","2.9079422384466147022","4.4614151626314662025","2.1312057763541836231","0.57773285216933256692","16.112462094017875103","4.4614151626314662025","13.782252707740594744","68.153805054210494063","7.5683610110011674266","1.3544693142617525439","0","3.6846787005390346792","0.57773285216933256692","6.7916245489087483378","0.57773285216933256692","0","8.296549580045308403","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:24.847","0","0","8174","2.1804451441458927441","3.7455580218395567726","0","0","3.7455580218395567726","10.006009532614223545","4.528114460686394338","85.131427661910180404","0.61533226645222871554","0","0","2.9630015829927303095","1.3978887052990662809","2.9630015829927303095","1.3978887052990662809","0","7.3648802994158550916","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 17:40:26.846","0","34836.790596628066851","8166","9.3208418728085380422","10.102558753215362231","2.2853899491471318939","0.72195618833348351728","12.447709394435824137","25.736896361351814022","31.208914524199581564","33.554065165420041694","11.665992514028999949","0","0.72195618833348351728","3.8488237099607691682","2.2853899491471318939","6.9756912315880654774","0.72195618833348351728","3.0671068295539560822","9.6628461348540426457","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
