"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 23:01:35.054"," "," ","9685"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","71","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:37.067","4068.9393156344076488","2616327.9799529239535","9684","6.0864476081469387481","0.65343218051907570043","2.2057223026984651426","0.65343218051907570043","2.9818673637881598637","0.65343218051907570043","0","1.4295772416087704215","3.7580124248778545848","1.4295772416087704215","0.65343218051907570043","2.2057223026984651426","0","1.4295772416087704215","1.4295772416087704215","0.65343218051907570043","1.6236159905453906305","34","34","34","34","34","34","34","34","34","34","34","34","34","34","33","34"
"10/31/2021 23:01:39.056","0","1058066.1269216593355","9691","5.7493262836175169639","0","0","0","1.8222148787682468374","1.0367925977983971642","0.2513703168285363887","0","0.2513703168285363887","0.2513703168285363887","0","0.2513703168285363887","0","0","0","0","0.30045606770002786234","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:41.047","0","1767670.8192256069742","9631","5.0281184583995885973","2.6734437094342866637","3.4583352924227206415","2.6734437094342866637","2.6734437094342866637","5.0281184583995885973","8.1676847903533236206","5.0281184583995885973","5.0281184583995885973","19.156166952191387765","1.1036605434574298101","1.8885521264458526858","1.8885521264458526858","16.016600620237653629","6.597901624376456553","5.0281184583995885973","5.7148998493410037014","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 23:01:43.068","2025.9597860831795515","1158848.9976395787671","9489","75.259620593416798329","76.805894306328241328","76.032757449872519828","76.805894306328241328","76.805894306328241328","76.032757449872519828","76.032757449872519828","76.805894306328241328","76.032757449872519828","90.722357722531299373","76.032757449872519828","76.032757449872519828","76.805894306328241328","76.805894306328241328","76.032757449872519828","83.764126014429777456","77.675672032821978519","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:45.064","0","6732284.475014757365","9436","3.6985759790989281015","2.1326991657509397626","3.6985759790989281015","5.2644527924469164404","7.6132680124688878465","7.6132680124688878465","32.667297026036642649","65.550710106344340034","2.9156375724249339321","3.6985759790989281015","2.1326991657509397626","2.1326991657509397626","2.1326991657509397626","2.9156375724249339321","2.1326991657509397626","2.1326991657509397626","9.2770108739496759398","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:47.049","0","4958447.0677183223888","9410","0.016768211421347434253","0.016768211421347434253","0.016768211421347434253","0.016768211421347434253","3.1658463779907553004","8.6767331694872158465","22.060315377407192727","70.08375741759064681","0.80403775306370217635","0.016768211421347434253","0.016768211421347434253","0.016768211421347434253","0.016768211421347434253","0.80403775306370217635","0.016768211421347434253","0.80403775306370217635","6.6593581181068621788","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:49.064","0","10963197.497362522408","9403","1.5301574639160597791","0.7548043730807529883","0","0","14.711160008116275222","57.355580004058140275","17.037219280622196038","13.935806917280968875","0","2.3055105547513665698","0","0.7548043730807529883","0","0.7548043730807529883","0","0.7548043730807529883","6.8607112039737350173","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:51.049","0","5962339.8181480551139","9385","1.6399345516845742488","0.066173504511535252703","1.6399345516845742488","0.066173504511535252703","26.033230782866802144","16.590664499828523759","29.180752877212899676","33.902036018732040645","0.85305402809805475073","0.85305402809805475073","0.066173504511535252703","0.066173504511535252703","0.066173504511535252703","0.85305402809805475073","0.066173504511535252703","0.85305402809805475073","7.0497343743154194939","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:01:53.063","0","12035638.075194332749","9389","0","0.69676610578048858713","0.69676610578048858713","0","4.5757986797734346851","10.782250798162152705","9.2306377685649749765","82.156450159632427699","0.69676610578048858713","0","0","0","0","0.69676610578048858713","0.69676610578048858713","0","6.8547334202203487052","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
