"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 00:08:24.084"," "," ","8331"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","90","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:26.091","6120.1784294988619877","328449.57571643893607","8334","1.1523734140170716067","0.37404564562351083623","2.7090289508042042499","1.1523734140170716067","4.265684487591336449","0","1.9307011824106434794","2.7090289508042042499","4.265684487591336449","1.1523734140170716067","1.1523734140170716067","1.1523734140170716067","1.9307011824106434794","0","5.0440122559849083217","0.37404564562351083623","1.7847641031746297458","100","100","83","100","100","100","100","100","100","100","100","73","100","100","80","100"
"11/01/2021 00:08:28.079","0","560453.01783168141264","8329","1.7522593019011711846","1.7522593019011711846","0.96627737631637122817","0.96627737631637122817","0.96627737631637122817","2.5382412274859600387","0.96627737631637122817","2.5382412274859600387","1.7522593019011711846","0.96627737631637122817","0.96627737631637122817","4.1102050786555377471","0.96627737631637122817","0.180295450731582374","1.7522593019011711846","1.7522593019011711846","1.5557613053628016608","34","36","37","37","37","36","36","37","36","34","35","36","37","36","36","38"
"11/01/2021 00:08:30.085","0","229720.49825219489867","8331","3.409748062711126515","0","3.409748062711126515","1.8518407734000152942","2.6307944180555709046","0","0","1.8518407734000152942","4.1887017073666825695","0","0","4.1887017073666825695","0.29393348408890407342","0.29393348408890407342","1.0728871287444596838","0","1.2676280325600086663","100","100","100","100","100","100","100","100","100","42","100","100","100","100","100","100"
"11/01/2021 00:08:32.081","32839.616635959697305","6147678.8580536432564","8269","6.052461207558068601","1.3550842679359798026","2.9208765811433390347","1.3550842679359798026","1.3550842679359798026","10.749838147180168946","11.532734303783854557","43.631476724534849154","3.7037727377470242018","7.6182535207654389353","0.5721881113322946355","2.1379804245396538676","2.9208765811433390347","1.3550842679359798026","2.1379804245396538676","12.315630460387538392","6.9821510198418756943","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:34.094","0","254.39112874536283471","8168","1.4032868038829859891","0","0.62693473147261702394","0.62693473147261702394","9.9431596003970561526","16.930328252090387053","23.141144831373349433","54.195227727788150673","2.1796388762933549543","0","0","0.62693473147261702394","0.62693473147261702394","0","1.4032868038829859891","0","6.9347940776435574861","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:36.080","0","101021.17436108527181","8088","0.90805218525490394299","0.12160815497914700956","3.2673842760821747433","0.90805218525490394299","26.074261154079060532","15.850488760494240381","39.443809668766881771","21.355596972424528701","10.345380548563964496","0.12160815497914700956","0.12160815497914700956","3.2673842760821747433","0.12160815497914700956","0.12160815497914700956","0.12160815497914700956","0.90805218525490394299","7.6911306880728442792","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:38.082","0","767.35312131872831287","8050","1.6434670978850207668","2.4240745018700660118","3.9852893098401342975","1.6434670978850207668","6.3271115217952589305","23.500474409466132641","37.551407681196835142","38.332015085181879499","4.7658967138251799867","0.86285969389998662393","1.6434670978850207668","3.2046819058551001547","1.6434670978850207668","0.86285969389998662393","2.4240745018700660118","1.6434670978850207668","8.2786300317578600527","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:40.095","0","124907.15510727773653","7557","1.4033357931467205226","3.732390853151124066","0.62698410647857860667","0.62698410647857860667","2.9560391664829932523","40.997271813221658476","13.824962779836901916","46.431733619898608367","2.9560391664829932523","0","1.4033357931467205226","2.9560391664829932523","0.62698410647857860667","0.62698410647857860667","1.4033357931467205226","1.4033357931467205226","7.6141492864918109973","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 00:08:42.084","1581178.0714765342418","70558784.67363165319","8242","3.4025619789267214088","2.6172169543651424561","2.6172169543651424561","2.6172169543651424561","8.1146321262961507159","8.8999771508577190104","52.093953501744152845","40.313778133320575137","1.8318719298035746057","2.6172169543651424561","2.6172169543651424561","1.8318719298035746057","2.6172169543651424561","3.4025619789267214088","2.6172169543651424561","1.8318719298035746057","8.7527243304764024145","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
