"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 23:54:36.474"," "," ","7928"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","87","62","100","100","100","100","100","100","100","100","90","95","100","100","100","100"
"10/31/2021 23:54:38.478","4088.572698835295796","177852.912399335386","7928","0.99100056530240232533","0","1.7705989860480553233","0.21140214455676042959","1.7705989860480553233","0","0.99100056530240232533","0","6.4481895105219617648","0.21140214455676042959","1.7705989860480553233","4.888992669030656657","0.21140214455676042959","0.21140214455676042959","0.99100056530240232533","4.109394248285003215","1.4295265480080421305","46","37","36","34","34","37","36","37","41","37","36","49","36","39","38","34"
"10/31/2021 23:54:40.477","0","28692.327079119200789","7932","6.1861127427778273002","0.71363598610654221943","2.2772007737269062133","2.2772007737269062133","3.8407655613472813094","0","0","0","3.0589831675370882103","0.71363598610654221943","0","6.1861127427778273002","0.71363598610654221943","1.4954183799167242164","0.71363598610654221943","0.71363598610654221943","1.7885880284473687496","100","100","100","100","95","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:42.466","32957.205669890558056","403983.24762545531848","7956","4.9215354048691821731","1.7784456661871783645","1.7784456661871783645","1.7784456661871783645","3.3499905355281800468","7.2788527088806898036","1.7784456661871783645","8.064625143551197084","4.135762970198686439","3.3499905355281800468","0.20690079684616557998","1.7784456661871783645","0.20690079684616557998","0.99267323151667197223","0.99267323151667197223","15.922349490256216598","3.64465645576551589","34","34","34","34","34","34","34","34","34","34","34","34","34","34","37","34"
"10/31/2021 23:54:44.468","0","6711718.1041791634634","7931","3.2198590551471006904","2.4393740475273206769","5.5613140780064407309","4.0003440627668807039","7.9027691008657914296","4.7808290703866607174","10.244224123725132358","54.731869558052672176","12.585679146584471511","5.5613140780064407309","5.5613140780064407309","0.87840403228774954769","3.2198590551471006904","28.195379298980107308","4.0003440627668807039","1.6588890399075295612","9.6588578704582701562","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:46.472","0","5647609.2872360236943","7931","0.24248060239974167374","0.24248060239974167374","0.24248060239974167374","0.24248060239974167374","60.252863365018647812","14.270881767687281894","5.6979699444560161226","1.0218362226934951664","0.24248060239974167374","5.6979699444560161226","0.24248060239974167374","2.5805474632810021518","0.24248060239974167374","17.38830424886228343","0.24248060239974167374","0.24248060239974167374","6.8182917781747898189","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:48.486","2034.3313278084551712","5230011.5523795625195","7942","0.66773137614328792466","0.66773137614328792466","0","0","52.661965733943283396","18.516498394492543866","5.3239314678865774511","4.5478981192626939389","0","2.2197980733910549489","0","0","0","20.844598440364180192","0","0","6.5364854375914216433","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:50.485","0","5069984.3685341589153","7935","0.71748580525842209354","1.4992378855319787867","0.71748580525842209354","0","6.1897503671733193897","49.186114782218879782","5.4079982868997618084","24.951800293738656933","0","4.6262462066262060034","0","0","0.71748580525842209354","15.570775330455987273","0","1.4992378855319787867","6.9226410662247879202","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:52.470","0","84852.818784163799137","7721","0.041089251526316150631","0.041089251526316150631","0.041089251526316150631","1.6152453263054256105","22.866352335823457054","17.356806074096564174","21.292196261044338712","37.820835046225035114","0.82816728891587088057","3.9764794384741009026","0.041089251526316150631","1.6152453263054256105","0.041089251526316150631","2.4023233636949803405","0.041089251526316150631","0.041089251526316150631","6.8788303310105209931","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:54.470","0","9724.9060211493706447","7577","0.032859199181234366449","0.032859199181234366449","0.032859199181234366449","0.032859199181234366449","9.4047786492579952267","0.032859199181234366449","69.541261787250533644","24.243651111879525928","0.81385248668762733004","0.032859199181234366449","0.032859199181234366449","1.5948457741940202936","0.032859199181234366449","0.032859199181234366449","0.032859199181234366449","0.032859199181234366449","6.6224931864895975053","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:56.485","0","144351.07585767767159","7566","1.5023806207612233621","0.72680881462547919369","0.72680881462547919369","0.72680881462547919369","6.9313832637113881319","7.7069550698471323003","42.60768634595535076","51.914548019584216831","0.72680881462547919369","2.2779524268969564282","0.72680881462547919369","1.5023806207612233621","0.72680881462547919369","0.72680881462547919369","0.72680881462547919369","1.5023806207612233621","7.6100048713354961905","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:54:58.481","0","0","7563","0","0","0.56566143884864139579","1.3486089865742401095","4.4803991774766460665","21.705245227439874611","10.743979559281457981","67.116202995524744779","0","0","0","2.1315565342998388232","0","0.56566143884864139579","0.56566143884864139579","0","6.7313746299038301757","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:55:00.471","0","29576.970952480940468","7547","1.1027663195128822871","0.31786763950901741893","0.31786763950901741893","1.1027663195128822871","25.434625399632736276","38.777902959698451468","35.638308239682991996","5.812158399536082598","1.1027663195128822871","0.31786763950901741893","0.31786763950901741893","2.6725636795206231255","1.1027663195128822871","0.31786763950901741893","0.31786763950901741893","0.31786763950901741893","7.1857336012186241447","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:55:02.485","0","0","7547","0","0","0","0","6.1079110066135751111","9.2117817171387450514","39.474521144759165736","50.338068631597266744","0","0","0","0.67613726319453171243","0","0","0","0.67613726319453171243","6.5928895635848476786","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:55:04.471","0","8250.4071070328172937","7537","0.85928000194580578253","0.072448890850129732399","0.072448890850129732399","0.072448890850129732399","7.9407600018068125181","7.9407600018068125181","0.85928000194580578253","85.837040000277980312","0.85928000194580578253","0.072448890850129732399","0.072448890850129732399","0.85928000194580578253","0.072448890850129732399","0.072448890850129732399","0.072448890850129732399","1.6461111130414707304","6.7113345023251724797","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:55:06.485","2033.7360868941548233","50843.402172353868082","7531","0","0","0","0","16.988974944237689613","10.782543164367620392","21.643798779140254851","52.67595767849064714","0","0.69709152207874103269","0","0","0","0","0","1.472895494562498353","6.4671366706425921222","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 23:55:08.472","8246.9427822035959252","439407.4201142853708","7521","0.11644000722207392684","0.11644000722207392684","0.90292473157465025224","0.11644000722207392684","15.059649769921124474","4.8353483533375651859","56.743340160607978362","28.429890083915022814","0.11644000722207392684","0.11644000722207392684","0.11644000722207392684","0.90292473157465025224","0.11644000722207392684","0.90292473157465025224","0.11644000722207392684","0.11644000722207392684","6.8015601642190226528","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
