"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 21:28:45.084"," "," ","8587"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:28:47.086","4093.5835576259332811","2108195.5321773556061","8582","4.7572795791163580148","0","0","0","1.6345674341693539056","0","0.073211361695857402054","0","2.4152454704061021573","0","0.073211361695857402054","0","0","0","0","0.85388939793260565381","0.17079486714058900176","39","37","37","37","37","37","37","37","37","38","37","37","37","37","38","37"
"10/31/2021 21:28:49.082","51287.725089379127894","1146793.5329985173885","8580","9.2194247892325442706","1.3935131331319072778","2.9586954643520346764","1.3935131331319072778","2.176104298741965426","2.176104298741965426","2.176104298741965426","0.61092196752183802744","9.2194247892325442706","0.61092196752183802744","2.176104298741965426","1.3935131331319072778","1.3935131331319072778","2.176104298741965426","2.176104298741965426","2.176104298741965426","2.7141363511718252788","37","34","34","34","34","34","34","34","35","34","34","35","34","34","35","34"
"10/31/2021 21:28:51.090","32643.352988779992302","1081311.0677533373237","8583","12.056663476258822953","2.7175480932066675699","1.939288477952316736","1.1610288626979659021","1.939288477952316736","0.38276924744362617048","0.38276924744362617048","4.2740673237153581354","12.056663476258822953","1.1610288626979659021","4.2740673237153581354","2.7175480932066675699","4.2740673237153581354","1.1610288626979659021","1.1610288626979659021","2.7175480932066675699","3.3985265017696053569","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:28:53.083","0","717125.90187297004741","8620","12.213204929845556279","4.3750982271531952961","5.9427195676916682032","2.0236662163454877117","3.5912875568839597307","1.2398555460762517022","2.0236662163454877117","2.0236662163454877117","15.348447610922500317","0.45604487580701569271","5.1589088974224317496","2.0236662163454877117","2.0236662163454877117","2.8074768866147237212","1.2398555460762517022","3.5912875568839597307","4.1301580197426019936","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:28:55.098","0","517117.12167781952303","8617","4.6122244655083299847","1.5101829847118497518","3.0612037251100843172","1.5101829847118497518","3.0612037251100843172","1.5101829847118497518","0.73467261451273246919","0.73467261451273246919","5.3877348357074472673","0.73467261451273246919","2.2856933549109670345","2.2856933549109670345","1.5101829847118497518","0","1.5101829847118497518","1.5101829847118497518","1.994875725269706912","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:28:57.094","856029.93883560155518","11022155.273604445159","8570","20.911549983273967968","18.56238810158903263","16.99628018046574951","15.430172259342455732","31.091251470575343774","27.175981667767125316","29.525143549452049996","45.18622276068492738","25.609873746643827985","15.430172259342455732","15.430172259342455732","17.77933414102739107","14.647118298780814172","17.77933414102739107","17.77933414102739107","20.128496022712326408","21.841427187884086436","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:28:59.086","43427.918679054091626","7951934.5770611176267","8577","12.163326422009234307","3.5365102670280035291","5.1050222952064068238","0.39948621067119605144","6.6735343233848221089","9.026302365652426829","3.5365102670280035291","1.9679982388495997903","12.163326422009234307","0.39948621067119605144","8.2420463515632249596","1.1837422247603979208","2.7522542529388016597","1.9679982388495997903","0.39948621067119605144","4.3207662811172049544","4.6148635412102789743","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:29:01.079","0","3209404.4784420258366","8580","5.9421816808779226449","1.2392907649218187771","1.2392907649218187771","0.45547561226246813249","7.5098119861966239341","0.45547561226246813249","0.45547561226246813249","0.45547561226246813249","8.2936271388559745787","0.45547561226246813249","2.8069210702405200664","1.2392907649218187771","0.45547561226246813249","0.45547561226246813249","2.0231059175811694217","1.2392907649218187771","2.1700718857569190057","71","71","91","88","65","68","69","69","65","58","100","90","85","68","78","100"
"10/31/2021 21:29:03.080","0","5893798.528417609632","8591","7.0688592326685339984","1.6023215404725732469","2.383255496500569226","0.040453628416581288718","5.5069913206125526983","0.82138758444457726782","2.383255496500569226","0.040453628416581288718","25.81127417734042595","0.82138758444457726782","5.5069913206125526983","2.383255496500569226","1.6023215404725732469","0.82138758444457726782","7.0688592326685339984","3.1641894525285652051","4.1891646450681445657","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:29:05.081","0","2174224.0446141702123","8594","10.189075892761200848","2.3794303182186893331","1.5984657607644447985","0.036536645855944627215","4.7223239905814455852","0.81750120331018916175","1.5984657607644447985","0.81750120331018916175","12.531969565123945998","0.81750120331018916175","3.1603948756729449698","2.3794303182186893331","3.1603948756729449698","0.81750120331018916175","0.036536645855944627215","3.9413594331271895044","3.0627755555344471361","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:29:07.086","0","2124866.6421516346745","8599","13.485018735372577225","4.1320477878452832599","1.7938050509634706486","1.0143908053361960775","1.0143908053361960775","0.23497655970892150634","0","0","8.8085332616089306867","1.0143908053361960775","1.0143908053361960775","1.0143908053361960775","1.0143908053361960775","0","0.23497655970892150634","2.5732192965907452198","2.232222446471820998","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
