"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 21:38:54.459"," "," ","8546"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:38:56.469","4077.3175272243815925","2038.6587636121907963","8535","19.898220283415589904","6.6775381942705935856","1.2337279222697006276","0","2.7891022856985303591","0.45604074055529686404","1.2337279222697006276","1.2337279222697006276","19.120533101701177259","0.45604074055529686404","8.232912557699412659","0","2.0114151039841154933","1.2337279222697006276","2.7891022856985303591","0","4.1500573422977300453","97","50","59","54","42","42","41","42","100","45","94","73","69","43","52","75"
"10/31/2021 21:38:58.468","0","22530.907613627536193","8538","20.2990584362052644","3.1086592753867936523","2.3272774953495889427","0","0.76451393527517952364","0","3.1086592753867936523","0.76451393527517952364","16.392149536019250178","0","2.3272774953495889427","2.3272774953495889427","3.8900410554239983618","0","2.3272774953495889427","0.76451393527517952364","3.6458598742677983395","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:39:00.456","30908.565430550428573","113331.40657868490962","8546","11.16985967994836848","2.522677878881396385","3.3087853153420332397","0.16435556949949692296","0.16435556949949692296","1.7365704424207595302","4.881000188263295847","0.95046300596013377771","22.175363790397241814","1.7365704424207595302","6.4532150611845695565","2.522677878881396385","0.16435556949949692296","0.95046300596013377771","1.7365704424207595302","3.3087853153420332397","3.9966305800169799056","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:39:02.456","0","40953.910153560165782","8539","14.849216680289123005","1.5688192818021029495","0.7876194348322873573","0.0064195878624606628193","0.0064195878624606628193","0.0064195878624606628193","3.1312189757417563385","0.0064195878624606628193","14.849216680289123005","0.0064195878624606628193","0.7876194348322873573","0.7876194348322873573","0.7876194348322873573","0.0064195878624606628193","2.350019128771929644","0.7876194348322873573","2.5453165906748731473","38","38","39","39","39","39","39","39","38","39","38","39","39","38","39","38"
"10/31/2021 21:39:04.458","0","340226.80321304884274","8554","17.252031003621826954","6.3230539663643341441","5.5424127494173696107","1.6392066646825464993","1.6392066646825464993","0.85856544773558196582","1.6392066646825464993","1.6392066646825464993","21.935878305303614155","0.85856544773558196582","3.2004890985764755662","6.3230539663643341441","3.9811303155234400997","2.4198478816295110327","1.6392066646825464993","3.2004890985764755662","5.0057212882533512754","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 21:39:06.464","16331.575642188576239","326376.33197436231421","8542","7.3384739227853046373","6.5598056364221557502","1.1091276318801246425","1.1091276318801246425","1.1091276318801246425","6.5598056364221557502","5.0024690636958579759","4.2238007773327090888","11.231815354601049961","0.33045934551697575543","1.1091276318801246425","4.2238007773327090888","1.1091276318801246425","0","1.1091276318801246425","1.1091276318801246425","3.2991315643418506198","71","100","100","100","100","100","100","100","100","86","100","100","100","100","100","100"
"10/31/2021 21:39:08.462","0","1024.9853696851466793","8542","4.5952292759942725553","3.0312166411745167238","0.68519768894486077215","0","0","1.4672040063547497901","0.68519768894486077215","0.68519768894486077215","2.2492103237646277059","0","1.4672040063547497901","3.8132229585843946396","0.68519768894486077215","1.4672040063547497901","0.68519768894486077215","2.2492103237646277059","1.4672040063547497901","72","83","86","93","85","88","82","83","72","64","86","83","73","87","73","84"
"10/31/2021 21:39:10.456","32874.023657398662181","2054.6264785874163863","8543","2.0188248268909303462","2.0188248268909303462","2.8026742282758032587","1.234975425506068536","0.45112602412119562345","2.0188248268909303462","2.8026742282758032587","0.45112602412119562345","3.5865236296606761712","1.234975425506068536","1.234975425506068536","2.8026742282758032587","2.0188248268909303462","2.0188248268909303462","0.45112602412119562345","2.0188248268909303462","1.8228649848628042385","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 21:39:12.456","0","200633.93862863085815","8551","4.7087070772399597374","2.3654785627458596586","1.5844023912478299998","1.5844023912478299998","2.3654785627458596586","0.80332621974978923873","3.1465547342438893175","0.80332621974978923873","5.4897832487379893962","0.80332621974978923873","0.022250048251759579898","3.1465547342438893175","0.022250048251759579898","1.5844023912478299998","0.80332621974978923873","0.80332621974978923873","1.8773072052814643307","100","100","100","41","100","100","100","100","100","100","100","100","100","100","100","100"
