"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"11/01/2021 10:34:23.796"," "," ","9209"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","34","36","38","37","34","34","36","37","35","38","34","35","37","36","35","36"
"11/01/2021 10:34:25.803","4081.3485708329949375","14284.719997915482963","9204","7.3577721641189590684","0.35121711770778052397","2.6867354665115028567","0.35121711770778052397","0.35121711770778052397","1.1297232339756879682","0.35121711770778052397","2.6867354665115028567","3.4652415827794103009","1.1297232339756879682","0.35121711770778052397","1.1297232339756879682","2.6867354665115028567","3.4652415827794103009","1.1297232339756879682","0.35121711770778052397","1.8109173313198945188","34","34","37","35","35","35","36","35","35","36","36","37","36","34","36","37"
"11/01/2021 10:34:27.804","0","60129.643549454056483","9208","2.3911878826890164973","0.048576391873544899624","0.048576391873544899624","0.048576391873544899624","0","0","0","0.82944688881203543218","2.3911878826890164973","0.048576391873544899624","0","0.82944688881203543218","0.048576391873544899624","4.7337993735044765486","0","0.82944688881203543218","0.53661920306731225594","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 10:34:29.802","0","0","9205","3.0223734266787816161","1.4582181593671528219","2.2402957930229616679","1.4582181593671528219","1.4582181593671528219","1.4582181593671528219","0.67614052571133287373","4.5865286939904104102","3.0223734266787816161","1.4582181593671528219","1.4582181593671528219","2.2402957930229616679","0.67614052571133287373","4.5865286939904104102","1.4582181593671528219","0.67614052571133287373","1.9958971581676254736","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 10:34:31.804","0","138586.88758213465917","9215","1.6699354285507617135","0.10914075281347468405","3.2307301042880598452","0.10914075281347468405","0.10914075281347468405","0.10914075281347468405","0.88953809068211819877","2.4503327664194052282","2.4503327664194052282","0.88953809068211819877","0.10914075281347468405","1.6699354285507617135","0.88953809068211819877","0.88953809068211819877","0.88953809068211819877","0","0.9870865092799552265","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"11/01/2021 10:34:33.801","0","0","9210","2.1889640355863160259","0.62398746015569495071","1.4064757478710054883","1.4064757478710054883","0.62398746015569495071","0.62398746015569495071","0.62398746015569495071","1.4064757478710054883","2.1889640355863160259","2.1889640355863160259","1.4064757478710054883","0.62398746015569495071","1.4064757478710054883","6.1014054741628580558","0.62398746015569495071","0.62398746015569495071","1.5042855318541548115","39","44","38","38","39","38","39","38","45","38","39","39","38","42","38","38"
"11/01/2021 10:34:35.802","0","87782.126218297169544","9210","2.3728282531048083825","0.02977613117932653708","0.02977613117932653708","0.02977613117932653708","0.81079350515449455372","0.02977613117932653708","0.02977613117932653708","3.1538456270799763992","0.02977613117932653708","0.02977613117932653708","0.02977613117932653708","0.02977613117932653708","0.02977613117932653708","4.7158803750303013302","0.02977613117932653708","0.02977613117932653708","0.71316758303539007358","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 10:34:37.816","0","0","9210","0.71008670839193266389","0","1.4857891559826197359","0","1.4857891559826197359","0","0","1.4857891559826197359","0","0.71008670839193266389","0.71008670839193266389","0","0","1.4857891559826197359","0","0","0.46768031408179755459","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"11/01/2021 10:34:39.805","0","0","9210","0","0","0.21736335291180353124","0","0","0","0","2.5744335099296411506","0","0","0.21736335291180353124","0","0","4.1458136146081958628","0","0","0.020938325618824471519","100","100","100","100","91","97","100","100","100","58","100","100","100","100","100","100"
"11/01/2021 10:34:41.794","514.82254031842273889","62293.527378529150155","9212","1.8145303184162631105","4.9564653482269456219","2.6000140758689282983","2.6000140758689282983","0.24356280351092163272","3.3854978333216045883","1.0290465609635979227","3.3854978333216045883","2.6000140758689282983","0.24356280351092163272","1.8145303184162631105","2.6000140758689282983","1.8145303184162631105","2.6000140758689282983","1.0290465609635979227","1.8145303184162631105","2.1581826042368357221","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
