"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 22:40:34.569"," "," ","10191"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:36.581","20364.646496385874343","136443.13152578534209","10182","6.0079261325333366273","1.3471621391052401862","1.3471621391052401862","1.3471621391052401862","0","1.3471621391052401862","3.6775441358192884067","0","2.900750136914598265","0","0.57036814020055004448","2.1239561380099192256","0","2.1239561380099192256","1.3471621391052401862","0.57036814020055004448","1.4928116353350673329","100","100","100","88","100","51","53","100","40","58","47","91","51","100","63","78"
"10/26/2021 22:40:38.577","0","32826.001904064389237","10181","2.150874696658322538","0","0","0.58528869180485276758","0","0","2.933667699085051872","1.3680816942315821017","0","0","0","4.4992537039385211983","0","1.3680816942315821017","0","1.3680816942315821017","0.78098944734914521604","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 22:40:40.567","8234.4692752872942947","153624.31741707859328","10182","8.9270760380780735943","2.646184730359324444","1.0759619034296341589","1.0759619034296341589","3.4312961438241695866","1.0759619034296341589","4.2164075572890151733","0.29085048996478901628","5.7866303842187054585","0.29085048996478901628","1.0759619034296341589","4.2164075572890151733","0.29085048996478901628","7.3568532111483957436","0.29085048996478901628","4.2164075572890151733","2.8915314189779550702","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 22:40:42.576","0","113895.68798441896797","10184","2.013848709382404234","0","0.45851297461070306127","0","1.2361808419965480965","0","2.013848709382404234","0.45851297461070306127","0.45851297461070306127","0","0.45851297461070306127","2.7915165767682603715","0","2.013848709382404234","0","0.45851297461070306127","0.65292745291998244284","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 22:40:44.569","0","39062.598034201255359","10186","1.9725150129799029486","1.9725150129799029486","1.9725150129799029486","0.40407525318758574784","0.40407525318758574784","0.40407525318758574784","2.7567348928760671001","0.40407525318758574784","1.1882951330837498993","1.1882951330837498993","0.40407525318758574784","5.8936144124607121597","1.1882951330837498993","1.1882951330837498993","1.1882951330837498993","0.40407525318758574784","1.4333632181753874768","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 22:40:46.582","2033.949679012350316","404501.74241358117433","10114","0.6898036582797750782","0.6898036582797750782","0","0","17.758743654512933574","24.74149183479014269","2.2415254761191549804","51.896623646979264777","0.6898036582797750782","0","0.6898036582797750782","2.2415254761191549804","1.4656645671994650293","1.4656645671994650293","0","0","6.5087604751774446044","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:48.569","0","61077.960774081002455","10144","0.89326192983358865263","0.10670051657829526803","0.10670051657829526803","0.10670051657829526803","5.6126304093653160976","30.782595633534569401","2.4663847563441643196","64.604736403511992648","0.89326192983358865263","0.10670051657829526803","0.89326192983358865263","2.4663847563441643196","0.89326192983358865263","2.4663847563441643196","0.89326192983358865263","0.10670051657829526803","7.0874343177172445252","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:50.581","254.42914175733312732","10696455.54862004146","10153","1.3974469348699170013","0","0.62104887923897234003","0","13.043417769334098466","4.5030391573936956462","54.192514717774223243","0","1.3974469348699170013","0","0.62104887923897234003","1.3974469348699170013","0","2.9502430461318063237","1.3974469348699170013","2.1738449905008616625","5.1823886983076601354","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:52.580","0","40985.433510765105893","10127","4.6238889027036549351","16.35045993925648844","1.4968032929562391509","2.2785746953930874348","1.4968032929562391509","0.71503189051937976473","3.0603460978299468209","1.4968032929562391509","2.2785746953930874348","4.6238889027036549351","6.9692031100142219913","6.1874317075773728192","1.4968032929562391509","4.6238889027036549351","1.4968032929562391509","1.4968032929562391509","3.7932549113631308657","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:54.571","0","0","10108","10.50658473080807731","1.0862252287878737533","3.4413151042929301937","1.8712551872895555327","1.8712551872895555327","1.0862252287878737533","5.0113750212962937525","0.30119527028619197395","3.4413151042929301937","2.6562851457912373121","7.3664648968013395347","4.2263450627946124172","3.4413151042929301937","2.6562851457912373121","6.5814349382996573112","3.4413151042929301937","3.6866363383007305643","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 22:40:56.580","0","148756.36538322048727","10106","1.2519719747933533149","0.4744284470358239858","0","0.4744284470358239858","0","1.2519719747933533149","2.8070590303084230754","0","4.36214608582349328","0.4744284470358239858","1.2519719747933533149","3.5846025580659524046","0.4744284470358239858","1.2519719747933533149","5.1396896135810221651","0","1.3491686479719877667","35","36","35","35","37","36","37","36","36","36","36","34","36","36","35","37"
"10/26/2021 22:40:58.572","0","0","10102","13.715849109590239507","2.7342299053562668654","1.9498285336252640931","1.9498285336252640931","1.1654271618942724231","1.1654271618942724231","3.5186312770872585354","1.1654271618942724231","5.0874340205492529776","2.7342299053562668654","4.3030326488182613076","5.8718353922802553058","1.9498285336252640931","2.7342299053562668654","5.0874340205492529776","2.7342299053562668654","3.6166801935114456512","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
