"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:38:39.344"," "," ","10435"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:38:41.355","4073.9092272154239254","203695.461360771209","10434","8.3069273861484109744","0.53632801209319014291","3.6445677617152782979","1.3133879494987121817","1.3133879494987121817","0.53632801209319014291","2.8675078243097562591","0.53632801209319014291","2.8675078243097562591","2.0904478869042342204","1.3133879494987121817","4.4216276991208003366","1.3133879494987121817","3.6445677617152782979","2.0904478869042342204","5.1986876365263228195","2.6246772155184783237","99","93","100","100","100","100","100","100","100","88","100","100","100","100","100","100"
"10/26/2021 23:38:43.357","0","435854.43902115401579","10439","2.4240793766531654185","3.2046867416399393846","2.4240793766531654185","0.86286464667961748631","3.2046867416399393846","0.082257281692843520204","3.2046867416399393846","1.6434720116663914524","4.765901471613497975","0.082257281692843520204","0.082257281692843520204","3.985294106626724453","0.86286464667961748631","2.4240793766531654185","1.6434720116663914524","4.765901471613497975","2.2289300333500405848","47","38","44","49","70","45","70","44","44","45","49","53","54","51","47","41"
"10/26/2021 23:38:45.370","0","185604.60865142132388","10442","0.67955544764941588909","0","0","0","0.67955544764941588909","0","3.783319339910362622","0","2.2314373937798892555","2.2314373937798892555","0.67955544764941588909","1.4554964207146525723","0.67955544764941588909","1.4554964207146525723","2.2314373937798892555","0.67955544764941588909","1.0190277611071163477","50","74","93","100","100","88","64","64","57","66","54","57","100","55","89","91"
"10/26/2021 23:38:47.370","0","171507.58285100158537","10443","4.6955770498450233319","1.5708418711514182675","1.5708418711514182675","0.0084742818046157353251","0.0084742818046157353251","0.78965807647801700142","2.3520256658248195336","0.0084742818046157353251","0.78965807647801700142","0.78965807647801700142","1.5708418711514182675","3.9143932551716220658","0.0084742818046157353251","0.0084742818046157353251","0.78965807647801700142","2.3520256658248195336","1.3267225602630161596","92","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:38:49.367","0","373424.59495309350314","10444","0.59820656748369449573","0.59820656748369449573","0.59820656748369449573","0","0.59820656748369449573","0","1.3808978543539018879","0","0","0.59820656748369449573","0","2.9462804280943166724","0","0","2.1635891412241092802","0","0.50037140893097742378","41","70","35","79","41","36","36","36","37","37","37","42","36","37","36","54"
"10/26/2021 23:38:51.366","16388.486348137801542","263240.0619669634616","10443","3.8867005548928634795","2.3238826777366550225","0","0.76106480058043546322","1.5424737391585452428","61.710962009672762463","1.5424737391585452428","1.5424737391585452428","7.7937452477834012754","0.76106480058043546322","1.5424737391585452428","5.4495184320490830387","0","0.76106480058043546322","0.76106480058043546322","0.76106480058043546322","5.6937081002275906627","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:38:53.352","243457.23294067112147","31205.852951081782521","10436","7.1278511623764861938","0.044382183235702754587","1.6184864008225385845","0.044382183235702754587","9.4890074887567408268","73.240228301023719837","2.4055385096159676017","19.720684903071195038","3.9796427272028034317","0.044382183235702754587","5.5537469447896388175","0.83143429202912066955","2.4055385096159676017","3.1925906184093855167","0.044382183235702754587","3.1925906184093855167","8.3084293255666139544","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:38:55.359","0","233668.40492685034405","10408","3.4675502246503175918","1.1320877300854070846","0","0.35360023189709988145","22.929737679357920399","29.15763766486434605","46.284362625007034353","5.0245252210269208959","12.809400202909959177","0","3.4675502246503175918","1.1320877300854070846","2.6890627264620103887","4.246037722838624795","0.35360023189709988145","5.0245252210269208959","8.576376299881061982","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:38:57.352","0","96320.124750614908407","10385","3.5866106904219541285","2.0189133032743500351","5.9381567711433769219","1.2350646097005424373","2.8027619968481465307","21.615130642619472923","56.888321853440700693","23.96667672334089616","8.2897028518647886131","2.8027619968481465307","5.15430807756956888","1.2350646097005424373","5.15430807756956888","1.2350646097005424373","4.3704593839957617263","2.0189133032743500351","9.2695112105162245086","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
