"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/25/2021 14:34:00.663"," "," ","8700"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","44","54","100","64","39","39","39","39","49","37","39","39","63","43","56","58"
"10/25/2021 14:34:02.677","56950.257311003188079","45509.357404774869792","8710","3.7891244318716710282","2.237336116256705143","0","0","0.68554780064172815557","1.4614419584492166493","2.237336116256705143","0","4.5650185896791590778","0.68554780064172815557","0","0","1.4614419584492166493","0","0","0.68554780064172815557","1.0734948795454779535","100","53","100","100","100","100","92","100","100","100","100","100","57","100","100","100"
"10/25/2021 14:34:04.667","0","209105.90467379748588","8712","5.8027987872424358073","1.8779154033775391497","1.0929387266045531568","0","2.6628920801505140403","0","1.8779154033775391497","0","4.2328454336964753679","0","1.8779154033775391497","0","1.0929387266045531568","0.30796204983157826618","1.0929387266045531568","0.30796204983157826618","1.2401224814808320396","62","94","100","100","100","100","100","100","100","96","100","100","100","60","100","100"
"10/25/2021 14:34:06.653","158856.39833290234674","152151.42048118895036","8714","4.773765131370022452","5.5607588079702674477","1.6257904249690313669","4.773765131370022452","3.9867714547697774563","1.6257904249690313669","3.9867714547697774563","0.83879674836878637123","11.856708220772249618","3.1997777781695213584","2.4127841015692763627","0.83879674836878637123","4.773765131370022452","4.773765131370022452","1.6257904249690313669","6.3477524845705124434","3.9375824611974308276","38","38","38","38","39","39","39","39","38","38","37","39","39","39","39","39"
"10/25/2021 14:34:08.668","338510.96848423691699","300136.22656147432281","8697","1.5099239034961797756","7.71402318516570773","1.5099239034961797756","1.5099239034961797756","1.5099239034961797756","12.367097646417857248","3.0609487239135590997","5.387485954539639188","17.020172107670006767","1.5099239034961797756","0.7344114932874901136","2.2854363137048694377","0.7344114932874901136","4.6119735443309490819","3.0609487239135590997","1.5099239034961797756","4.1272795287703667455","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:10.658","138159.88424768077675","70752.268469482703949","8689","5.782833602132820161","7.3531197087639332821","1.8571183355550191507","0.28683222892389448333","1.8571183355550191507","2.6422613888705703822","1.8571183355550191507","1.071975282239456817","23.841123828390699657","1.071975282239456817","1.071975282239456817","3.4274044421861327159","1.071975282239456817","8.1382627620794956158","2.6422613888705703822","0.28683222892389448333","4.0162592197150353002","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:12.668","4711530.4106924906373","195114.46691844341694","8692","5.9405381517117383794","6.7178890760777543179","1.2764326055156205442","1.2764326055156205442","2.8311344542476635233","0.49908168114960460571","0.49908168114960460571","0.49908168114960460571","19.15550386593405463","0.49908168114960460571","3.6084853786136794618","1.2764326055156205442","0.49908168114960460571","13.714047395371920857","1.2764326055156205442","3.6084853786136794618","3.9485795174275084563","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:14.657","84922784.841878250241","206155.74814627371961","8710","2.6052627240003567444","4.1761455832906690944","1.8198212943551950183","12.816001309387415219","4.9615870129358308205","0.24893843506488266826","2.6052627240003567444","1.8198212943551950183","98.429117140709692535","1.8198212943551950183","1.8198212943551950183","2.6052627240003567444","1.0343798647100332921","75.651315681000085078","4.9615870129358308205","4.1761455832906690944","13.846892557443545968","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:16.669","86500070.00131355226","25445.98689203660615","8719","8.3679551295954173185","12.250668895290528937","6.8148696233173762238","9.9210406358734566368","3.7086986107612851526","0.60252759820520473966","0.60252759820520473966","0","93.011115221748809745","0.60252759820520473966","3.7086986107612851526","7.5914123764563967711","0.60252759820520473966","64.279033355604980216","6.8148696233173762238","5.2617841170393369055","13.997887604916513737","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/25/2021 14:34:18.665","86765901.125614523888","167753.291323202895","8729","15.457118974002625578","13.891510066113788469","11.54309670428052037","6.0634655266695869358","1.3666388030030618417","2.1494432569474808403","3.7150521648363188376","0","91.389151006611385242","1.3666388030030618417","7.6290744345584249331","6.0634655266695869358","9.1946833424472629304","24.067967967391247441","45.986492677835009601","6.8462699806140054903","15.408196826848918448","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
