"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 15:40:05.932"," "," ","10167"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:40:07.941","4077.6867012559887371","53009.927116327853582","10167","4.3325822803259583793","0.44366286082700989724","0.44366286082700989724","0.44366286082700989724","0.44366286082700989724","0.44366286082700989724","1.2214467447267951528","3.5547983964261620216","5.8881500481255288904","0.44366286082700989724","0.44366286082700989724","0.44366286082700989724","1.9992306286265915105","1.9992306286265915105","1.9992306286265915105","1.2214467447267951528","1.6103386866766933316","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:40:09.948","0","214280.45080007152865","10168","2.6917728743150126647","0","0","0.35637542329857163637","0.35637542329857163637","0","0.35637542329857163637","1.9133070573095323219","0.35637542329857163637","0.35637542329857163637","0","0","0","1.1348412403040519791","0.35637542329857163637","0","0.30771944141776419457","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 15:40:11.944","0","369441.07756052841432","10169","7.6151937693331621659","1.3518170757286340766","2.9176612491297659879","1.3518170757286340766","1.3518170757286340766","1.3518170757286340766","0.56889498902806812097","2.9176612491297659879","2.9176612491297659879","2.1347391624292000323","1.3518170757286340766","1.3518170757286340766","2.1347391624292000323","1.3518170757286340766","2.1347391624292000323","4.4835054225308983433","2.3304721894550239902","89","71","72","87","100","77","77","75","68","73","77","92","73","88","92","78"
"10/31/2021 15:40:13.959","0","211409.56767452106578","10170","5.3960410805253484767","6.1714833667505519799","3.0697142218497397437","1.5188296493993447278","0.74338736317414166876","0.74338736317414166876","0.74338736317414166876","0","5.3960410805253484767","0.74338736317414166876","0.74338736317414166876","1.5188296493993447278","0","0.74338736317414166876","2.2942719356245477869","2.2942719356245477869","2.0034798375824336425","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:40:15.949","257.2052767872890513","597745.06325365975499","10179","6.5860766066767828519","2.661121842251434888","1.8761308893663675157","0.30614898359622166879","0.30614898359622166879","0.30614898359622166879","0","2.661121842251434888","5.8010856537917039333","2.661121842251434888","0.30614898359622166879","1.0911399364813001434","0.30614898359622166879","1.8761308893663675157","0.30614898359622166879","4.2311037480215691886","1.9251947078999687157","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 15:40:17.948","0","67620.295193445082987","10179","11.671710769570331934","4.6367142821909794748","0","1.5100491766890433709","0.72838290031356223153","0","0","3.0733817294400167519","7.7633793876929146904","1.5100491766890433709","0","0.72838290031356223153","0","1.5100491766890433709","3.0733817294400167519","2.2917154530645245103","2.3894224869454250282","95","100","95","100","66","77","34","82","95","69","34","86","72","100","63","100"
"10/31/2021 15:40:19.938","34992.463494154668297","416821.99162154830992","10144","1.8564081804609000592","1.8564081804609000592","2.6415569150172069079","0.28611071134827525952","1.0712594459045821083","3.4267056495735248589","32.477208828157102971","49.750480988395985094","2.6415569150172069079","1.0712594459045821083","1.0712594459045821083","0.28611071134827525952","1.0712594459045821083","0.28611071134827525952","0.28611071134827525952","1.8564081804609000592","6.371010891683748234","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:40:21.938","8191.8365728603712341","18431.632288935834367","10127","0.0013149827079783626971","0.78255470940556959292","0.0013149827079783626971","0.0013149827079783626971","2.3450341628007631556","3.907513616195945616","77.344047925769771723","22.657267056938202643","0.78255470940556959292","0.0013149827079783626971","0.0013149827079783626971","0.0013149827079783626971","0.0013149827079783626971","0.0013149827079783626971","0.0013149827079783626971","3.1262738894983543858","6.9348188071326806181","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:40:23.938","0","24574.87324206185076","10127","2.3482615103182280514","1.5670476024007728988","0.0046197865658625936192","0.0046197865658625936192","1.5670476024007728988","3.9106893261531272543","11.72282840532767878","87.500577473320731769","4.6919032340705824069","0.0046197865658625936192","0.0046197865658625936192","0.0046197865658625936192","0.0046197865658625936192","0.0046197865658625936192","0.7858336944833177462","3.1294754182356721017","7.3285014232342460261","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
