"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 15:35:15.738"," "," ","10179"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 15:35:17.745","14029.166018390660611","55096.361090406957373","10177","4.2544144599784612382","1.9191562760754954375","1.140736881441173356","1.9191562760754954375","3.4759950653441396007","0.36231748680685127439","2.6975756707098175191","0.36231748680685127439","4.2544144599784612382","1.140736881441173356","3.4759950653441396007","0.36231748680685127439","0.36231748680685127439","1.9191562760754954375","4.2544144599784612382","3.4759950653441396007","2.2110647945343897547","100","52","74","66","87","100","100","100","72","96","81","65","100","86","52","100"
"10/31/2021 15:35:19.731","0","239201.27828821583535","10156","4.8215651968691481954","1.675170657922675499","1.675170657922675499","0.88857202318606276492","1.675170657922675499","1.675170657922675499","4.8215651968691481954","0.88857202318606276492","3.2483679273959120692","6.3947624663423852098","2.4617692926592993352","4.0349665621325359055","1.675170657922675499","3.2483679273959120692","1.675170657922675499","4.8215651968691481954","2.8550686100276001511","34","38","45","37","34","41","40","34","44","46","40","47","38","37","38","39"
"10/31/2021 15:35:21.732","0","391049.12106719554868","10158","5.5018101917044370808","1.5969263153285839785","2.377903090603750158","1.5969263153285839785","1.5969263153285839785","2.377903090603750158","2.377903090603750158","0.8159495400534177989","3.9398566411540936194","0.8159495400534177989","2.377903090603750158","2.377903090603750158","0.034972764778240517103","3.9398566411540936194","0.8159495400534177989","4.720833416429259799","2.3290951660561498571","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:23.741","0","309842.69831568520749","10160","9.0139372855248538485","2.7926680400906511714","0.45969207305283088516","1.2373507287321006132","2.0150093844113814434","0.45969207305283088516","2.0150093844113814434","0.45969207305283088516","5.1256440071284821158","1.2373507287321006132","1.2373507287321006132","2.0150093844113814434","0.45969207305283088516","6.6809613184870331182","2.0150093844113814434","2.7926680400906511714","2.501044799957075071","100","100","40","100","62","71","56","78","100","100","95","100","90","100","100","100"
"10/31/2021 15:35:25.751","1424447.9398240821902","168181.68878066085745","10160","4.3557445252419446646","0","2.0229578063454045633","1.2453622333798985977","0.46776666041438152988","0","1.2453622333798985977","0.46776666041438152988","2.8005533793109216312","0","1.2453622333798985977","0","0.46776666041438152988","1.2453622333798985977","0.46776666041438152988","0","0.90516105982518801909","83","87","75","74","86","89","82","100","88","85","95","75","100","80","71","82"
"10/31/2021 15:35:27.747","72759356.308708280325","474588.92467178485822","10141","1.356730139070094765","0","0.57384704493573801543","5.2711456097419233657","1.356730139070094765","24.060339868966661214","7.6197948921450153748","38.152235563385218597","14.665742739354293178","2.1396132332044626168","1.356730139070094765","6.836911798010647523","2.9224963273388304685","13.099976551085568133","2.9224963273388304685","6.0540287038762912175","8.0112364392121993006","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:29.737","24086653.280329857022","114198.63805384478474","10123","0.31440741709537478599","0.31440741709537478599","0.31440741709537478599","4.2390370463435855797","2.6691851946442968213","0.31440741709537478599","0.31440741709537478599","40.345629635427151527","0.31440741709537478599","0.31440741709537478599","1.0993333429450080629","4.2390370463435855797","0.31440741709537478599","24.647111118434295918","0.31440741709537478599","0.31440741709537478599","5.0239629721932299589","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:31.751","2131095.7548101604916","240459.99332662357483","10109","13.119712744975720042","1.4839599876063980233","6.9139779410454238473","0","12.343995894484438125","0","3.8111105390802646475","82.15851243870037024","21.652598100379893964","0.70824313711511655001","3.8111105390802646475","2.2596768380976905988","12.343995894484438125","1.4839599876063980233","4.5868273895715567789","2.2596768380976905988","10.55015129829681797","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:33.752","1062657.9716118860524","0","10098","1.5859815847938718569","1.5859815847938718569","3.1481088612257068782","0.023854308362025733459","11.739808881600854562","0.023854308362025733459","2.3670452230097893676","88.284045426761167619","11.739808881600854562","0.023854308362025733459","3.929172499441635491","0.023854308362025733459","1.5859815847938718569","0.80491794657794324408","3.929172499441635491","0.80491794657794324408","8.2250225096291984528","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:35.751","32782.922786452392756","0","10097","0.73668076966557638485","0","0","0.73668076966557638485","4.6446854637732348792","2.2998826473086375621","6.9894882802378326403","91.402389672963153089","3.8630845249516987394","0","0","3.8630845249516987394","0.73668076966557638485","0","3.0814835861301737019","0.73668076966557638485","7.4291406841671907557","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:37.751","32768.036044839645911","92160.101376111517311","10093","3.1251743746861238016","1.562677187181060745","1.562677187181060745","0.00017999967599768851301","7.031417343448786994","9.3751631247063755836","3.1251743746861238016","82.812530937444321921","7.031417343448786994","0.7814285934285347679","3.1251743746861238016","0.7814285934285347679","3.906422968438660881","0.00017999967599768851301","1.562677187181060745","1.562677187181060745","7.9591506735287920193","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:39.737","148526.77407231956022","22691.590483271043922","10081","6.3576477856992603677","1.6361846488437636893","1.6361846488437636893","1.6361846488437636893","3.9969162172715066994","0.062363603225257246976","25.243500333121261292","75.605773792913254283","4.7838267400807659158","1.6361846488437636893","3.2100056944622590294","0.84927412603450491702","0.84927412603450491702","1.6361846488437636893","1.6361846488437636893","1.6361846488437636893","8.2757402964615529584","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:41.751","0","103676.81041342079698","10080","4.6137867752161554336","3.0627914382277965366","3.0627914382277965366","2.2872937697336226393","11.593265791663753816","9.2667727861812210222","29.429712167029840941","62.776111912279475291","7.7157774491928616811","3.0627914382277965366","6.1647821122045147746","2.2872937697336226393","3.8382891067219815362","3.8382891067219815362","2.2872937697336226393","1.5117961012394487419","9.7999280536691042442","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:43.751","49159.327197718819662","57352.548397338621726","10065","0.76514418290088981323","0","0","0","17.955434166965300591","19.5181878018802486","4.6720282701882549503","63.275289579498746662","0","0","0","0","0","0.76514418290088981323","0","0","6.6743082402273889997","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:45.750","213085.32071620767238","508894.87050853919936","10069","1.5176757701267695744","0","0","0","3.8624930136951785009","0","16.368184979393372913","81.241462051452714377","0","0","0.73607002227064066702","0","0","0.73607002227064066702","0","0","6.4027091930892403582","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:47.736","0","39194.042288006610761","10066","2.4258961822614777404","0.85212031423343992387","0.85212031423343992387","0.85212031423343992387","4.7865599843035404604","0.85212031423343992387","16.589878994513838961","81.901577517677523588","1.639008248247453281","0.85212031423343992387","0.85212031423343992387","0.85212031423343992387","0.065232380219415464495","0.065232380219415464495","0.065232380219415464495","0.065232380219415464495","7.0980464380214547404","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:49.737","0","8189.2377701001450987","10070","0.81344099772419076189","0.81344099772419076189","0.032444470147208193112","0.81344099772419076189","3.9374271080320877303","0.032444470147208193112","14.871378494109732671","84.380069448460503168","0.032444470147208193112","0.81344099772419076189","0.81344099772419076189","0.81344099772419076189","0.032444470147208193112","0.81344099772419076189","0.032444470147208193112","0.032444470147208193112","6.8173474298916296732","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:51.752","16257.321326491841319","6096.4954974344409493","10070","0","0","0","0","3.8752488762830550328","1.5496500587737771504","10.852045328810898894","87.596806306617168048","0","0","0","0","0","0","0","0","6.4915487863003606961","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:53.751","0","0","10070","1.4962759463187147446","0","0","0","11.659358586777891276","0.71450035859108584901","21.822441227237064254","71.856078841805341995","0","0","0.71450035859108584901","0","0.71450035859108584901","0","0","0","6.7732636651620881096","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:55.751","32772.114538980371435","0","10071","1.5501494662505388433","0","0","0","21.865197989087725716","14.051717787996508946","4.6755415466870342556","62.495295034762108344","0.76880144614142054138","0","0","0","0","0","0.76880144614142054138","0.76880144614142054138","6.6289115969598411127","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:57.750","16386.92342713940161","94224.809706051557441","10060","0.76547171000188596324","0","0.76547171000188596324","0","10.141962572048957014","21.081201911103864433","11.704711049056804484","60.931288074803902077","0","0","0.76547171000188596324","0","0","0","0","0","6.6257784987813099775","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:35:59.735","0","0","10057","1.6094217583512815395","0.035172506484903998114","0.035172506484903998114","0.035172506484903998114","16.564789651081881061","9.4806680176831807927","2.3965463842844703102","75.599136596071119243","0.8222971324180927688","0.035172506484903998114","0.8222971324180927688","0.035172506484903998114","0.035172506484903998114","0.035172506484903998114","0.035172506484903998114","0.035172506484903998114","6.7257318269170145442","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:01.751","0","103129.16383031534497","10051","1.5504413244103121272","5.4573613628150496879e-005","5.4573613628150496879e-005","5.4573613628150496879e-005","12.403148579987133715","2.3256346998086652178","47.286850472912611565","44.186076971319231177","5.4573613628150496879e-005","5.4573613628150496879e-005","1.5504413244103121272","0.77524794901197013886","0.77524794901197013886","5.4573613628150496879e-005","0.77524794901197013886","5.4573613628150496879e-005","6.9767949521987286943","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:03.751","0","67596.738605390186422","10052","1.544689434318669008","0","1.544689434318669008","0","7.7958202638857336808","11.702777032365151655","49.209562009767573443","35.92590899693755091","0","0","0","0","0","0","0","1.544689434318669008","6.8190785713135522172","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:05.750","0","0","10053","0.76395811970235705246","0","0","0","4.6708889023912458782","21.861384346222333619","39.833265946591190243","38.270493633515641818","1.5453442762401348176","0","0","0.76395811970235705246","0","0","2.3267304327779125828","0.76395811970235705246","6.8197033333058261206","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:07.750","0","2048.348014327634246","10053","0.76397300770063569786","0","0","0","3.8895171649384163715","6.2336752828667467696","24.205554186983956555","70.307330506241143553","0.76397300770063569786","0","0","0","0","0","0","0","6.5755297997381330077","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:09.735","16503.741244223339891","0","10053","1.6326276736094436082","0.058749716387196393441","0.058749716387196393441","0.058749716387196393441","8.7150784811095611815","3.2065056308316908229","17.371407245831925081","71.670196769999520825","0.84568869499831444969","0.058749716387196393441","0.058749716387196393441","0.058749716387196393441","0","0.058749716387196393441","1.6326276736094436082","0.058749716387196393441","6.5509988081337011678","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:11.751","0","26417.483960884183034","10052","1.5496842495271612172","0.77448491290926790853","0.77448491290926790853","0.77448491290926790853","9.3016776157061276109","0.77448491290926790853","24.03046501144615732","72.092823881755734305","0","0.77448491290926790853","1.5496842495271612172","0","0.77448491290926790853","0.77448491290926790853","0.77448491290926790853","0.77448491290926790853","7.218328778386062794","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:13.751","0","0","10047","0.76406233559652703136","0","0","0","7.0151450231180074724","17.17315439034040736","6.2337596871778195862","73.432898578033729109","1.5454476715367149176","0","0","0.76406233559652703136","0.76406233559652703136","0","0","0.76406233559652703136","6.722124271923901162","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:15.736","0","0","10045","0.85310395882539635792","0.85310395882539635792","0.066223831514489184258","0.85310395882539635792","15.016946250421769449","49.639671852101784566","23.672627650841771896","15.803826377732676178","0.85310395882539635792","0.85310395882539635792","0.85310395882539635792","0.066223831514489184258","0.066223831514489184258","0.85310395882539635792","0.85310395882539635792","0.066223831514489184258","6.9514224274685343374","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:17.736","0","0","10038","2.3451904084414776364","0.78271345497653577183","0.0014749782440759418023","0.0014749782440759418023","3.1264288851739485686","7.8138597455687524018","11.720052129231095961","80.469038081688296415","1.5639519317090067041","0.0014749782440759418023","0.78271345497653577183","0.0014749782440759418023","0.0014749782440759418023","0.0014749782440759418023","0.0014749782440759418023","0.78271345497653577183","6.837314149616291914","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:19.752","0","0","10037","0.7507412430890259003","0","0","0","7.7292047494343263381","1.5261260771273876813","16.258437923856362772","79.064609480964094246","0","0","0","0","0","0","0","0","6.5661274983767832225","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:21.750","0","0","10037","0.72342139296139862381","0","0","0","13.230706886761534946","38.245277874361818249","38.245277874361818249","16.357528260211573468","0","0","0","0","0","0","0","0","6.6350699282331948581","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:23.736","0","37129.810456568047812","10037","2.4268740410764988447","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","7.1481543294115041931","26.820155530807376465","45.705276684147413846","26.033275482751538021","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","0.85311394496483394789","7.3448718234093153256","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:25.749","0","38653.040092595649185","10038","2.2160439593951863912","0","0","0","9.2006122480098095906","2.9921071025745926697","18.513369966162652958","73.613853131900285121","0.66391767303637383435","0","0","0","0","0","0","0","6.6299037070785544756","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:27.736","0","41234.122383902060392","10037","0.11647520069825167965","0.11647520069825167965","0.90295964793684069249","0.11647520069825167965","5.6218663313684196225","0.11647520069825167965","28.429915301287721263","69.327106557694733624","0.90295964793684069249","0.11647520069825167965","0.11647520069825167965","0.11647520069825167965","0.11647520069825167965","0.11647520069825167965","0.11647520069825167965","0.11647520069825167965","6.6541265391815258567","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:29.751","0","26428.310255299125856","10039","1.5124071164287045121","1.5124071164287045121","3.063392831130606897","1.5124071164287045121","6.9408571178853906147","10.818321404640162342","17.797757120798763708","71.306764278014654224","1.5124071164287045121","1.5124071164287045121","1.5124071164287045121","1.5124071164287045121","2.2878999737796612557","1.5124071164287045121","1.5124071164287045121","1.5124071164287045121","7.9586908727642295958","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:31.741","0","0","10038","0.26659070132558637667","0.26659070132558637667","1.0518931367482164951","1.0518931367482164951","8.1196150555519217562","5.7637077492840198545","43.458224649570411202","46.599434391260942334","0.26659070132558637667","0.26659070132558637667","0.26659070132558637667","0.26659070132558637667","0","0.26659070132558637667","0.26659070132558637667","0.26659070132558637667","6.7453383065301020238","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:33.754","0","6865.277325370591825","10039","0","0","1.4523104917067208852","0","6.8840729055496545641","1.4523104917067208852","29.387088620041822651","68.185391576062798435","0.67634443258630660978","0.67634443258630660978","0.67634443258630660978","0","0.67634443258630660978","0","0","0","6.8355731645360906512","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:35.751","0","0","10038","0.61513316432751929952","0","0","0","6.093039210388207394","0","22.526757348570271233","75.740701796016949743","0","0","0","2.180249177487714185","0","0","0.61513316432751929952","0","6.533229967228725954","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:37.750","0","30740.696173698943312","10038","2.2780466446615355025","0","1.4962710178188287635","1.4962710178188287635","6.1869247788750802997","7.7504760325604937776","18.69533480835839967","71.074301806819818239","0","0","0.71449539097612202454","0.71449539097612202454","0","0.71449539097612202454","1.4962710178188287635","0.71449539097612202454","7.0175582552929434144","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:39.737","0","0","10039","3.2820322360514797566","0.13673247137022670472","0.13673247137022670472","0.13673247137022670472","13.504256471265552619","19.794856000628058723","17.435881177117117602","52.820503529781205998","0.92305741254053996769","0.13673247137022670472","0.13673247137022670472","0.92305741254053996769","0.92305741254053996769","0.13673247137022670472","0.92305741254053996769","0.13673247137022670472","6.9679310268472738343","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:41.752","4064.2053153971169195","70107.541690600264701","10040","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","6.2008523474283201438","21.70484369496082877","14.728047588571202553","63.565620333298596734","0.77445537579194922984","1.5496549431685657794","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","0.77445537579194922984","7.2667529928904901482","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:43.752","71692.338251413064427","22531.877736158392509","10039","1.5453984357082783951","1.5453984357082783951","0.76401270900755546833","0.76401270900755546833","5.4523270692119263359","7.0150985226133837358","11.703412882817742613","80.465356832481802485","0","0","1.5453984357082783951","0.76401270900755546833","0.76401270900755546833","1.5453984357082783951","0.76401270900755546833","0.76401270900755546833","7.2104424538542382095","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:45.751","0","65558.227517039646045","10039","2.3093286919646183186","0","0","0","3.8723794328931804287","5.4354301738217429829","71.865086663285808299","23.410513694500256321","0.74627795103604510629","0","1.5278033215003317125","0","0.74627795103604510629","0","0","0.74627795103604510629","6.9007914938828740503","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:47.750","0","8197.5005228508325672","10038","1.496133019621970206","0","1.496133019621970206","0","15.568114016818835665","37.457862234680618485","35.11253206848113706","13.222783850619357793","0.71435629755547402908","0","0","0","0","0","0.71435629755547402908","0","6.4799608736386122843","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:49.750","16386.763627685810206","26628.490894989441585","10039","1.5468656422639948111","0","0","0","7.7978582998980190411","0","41.39694383468094685","54.680303232153271153","0","0","0","0","0","0","0","0","6.5769594211560811203","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:51.735","0","61884.083275791243068","10039","2.4254047885229890191","0.85162099478949260245","0.85162099478949260245","0.85162099478949260245","3.999188582256496538","11.86810755092398928","30.753513075725990689","57.507837569195494609","0.064729097922744394111","0.064729097922744394111","0.064729097922744394111","0.064729097922744394111","0.85162099478949260245","0.85162099478949260245","1.6385128916562408108","0.85162099478949260245","7.0975785737369072592","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 15:36:53.751","0","0","10040","0.77445045293734748881","0","0","0","6.9760472996287621328","8.5264465113016214559","12.402444540483747559","78.294411036580044083","0","0","0.77445045293734748881","0","0","0","0","0","6.7337980429645671876","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
