"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 17:56:44.116"," "," ","9325"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","60","100","100","38","93","100","91","100","100","72","55","100","54","56","73","100"
"10/31/2021 17:56:46.121","4594.4287466467176273","161825.99029855662957","9351","4.1882574923100097664","0.29347121150959942781","0","0.29347121150959942781","0.29347121150959942781","1.8513857238297681818","3.4093002361499258335","0","8.0830437731104218813","0.29347121150959942781","1.8513857238297681818","0.29347121150959942781","0.29347121150959942781","1.0724284676696838048","1.0724284676696838048","0","1.3645386850613228091","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:56:48.118","0","440973.72149342793273","9356","6.1036484516591826832","0.6263612780059601981","2.1913004704783078935","0","0.6263612780059601981","1.4088308742421395969","2.9737700667144872924","0","1.4088308742421395969","0.6263612780059601981","0","0.6263612780059601981","0","0.6263612780059601981","1.4088308742421395969","0","1.1154035237022186244","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 17:56:50.109","0","682906.91825718607288","9363","4.2512687805642546124","1.1119661176319350915","1.8967917833650149717","0.32714045189885521125","0.32714045189885521125","1.1119661176319350915","1.8967917833650149717","0.32714045189885521125","1.8967917833650149717","0.32714045189885521125","1.8967917833650149717","1.1119661176319350915","2.6816174490980948519","0.32714045189885521125","0.32714045189885521125","1.1119661176319350915","1.3081750455073315464","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 17:56:52.122","0","377755.37924564292189","9365","13.072029509810690229","0","0","0","0","0.65374801121221848277","2.2060331985370273955","0","2.9821757921994263008","0","1.429890604874617388","1.429890604874617388","0","0","2.9821757921994263008","0","1.4783964124081450109","38","38","38","39","39","39","39","39","39","39","39","39","39","39","38","38"
"10/31/2021 17:56:54.110","0","272794.01347226335201","9342","8.0273687408112248676","2.5247326825691640551","4.0969144134954671443","1.7386418171060125104","3.3108235480323155997","2.5247326825691640551","11.171732202663831046","1.7386418171060125104","12.743913933590134135","1.7386418171060125104","3.3108235480323155997","4.883005278958618689","3.3108235480323155997","1.7386418171060125104","4.0969144134954671443","2.5247326825691640551","4.3425671800800147437","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 17:56:56.126","0","396014.06069005973404","9345","3.1001358049271066086","0.77453906424536089759","2.3249368913665247049","1.5497379778059428013","3.1001358049271066086","3.1001358049271066086","75.968833679621923238","22.480108643941687063","4.6505336320482708601","0.77453906424536089759","3.8753347184876885123","2.3249368913665247049","0.77453906424536089759","1.5497379778059428013","0","0.77453906424536089759","7.945131495317281356","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:56:58.126","0","130556.16164884751197","9335","0.0010849882278729516827","0.78232651175734746474","0.78232651175734746474","0.0010849882278729516827","6.2510171764636357494","17.188398505876211431","53.906750111761290611","25.782055264700375119","1.5635680352868219778","0.0010849882278729516827","0.0010849882278729516827","3.9072926058752233125","0.78232651175734746474","0.78232651175734746474","0.78232651175734746474","0.0010849882278729516827","7.0322586999931102625","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:00.111","8253.5703971270086186","119676.77075834161951","9343","1.6103387062673224506","0.036104125567604228308","0.82322141591746333944","0.036104125567604228308","8.6943943194160766552","9.4815116097659348782","54.347197159708038328","32.307913029911915714","0.036104125567604228308","0.82322141591746333944","0.036104125567604228308","0.036104125567604228308","0.036104125567604228308","0.036104125567604228308","0.036104125567604228308","0.036104125567604228308","6.7757978132697900264","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:02.125","0","73192.944933943887008","9335","2.276502079034847803","0.72533544536873550967","0.72533544536873550967","0.72533544536873550967","5.3788353463670723897","31.748668118691004025","35.626584702856291642","32.524251435524057285","0.72533544536873550967","1.5009187622017861052","0.72533544536873550967","0.72533544536873550967","0.72533544536873550967","0.72533544536873550967","0.72533544536873550967","0.72533544536873550967","7.2693178197476893132","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:04.113","0","20607.41772453255544","9336","2.5247866261290496936","0.16651533482572311584","0.16651533482572311584","0.16651533482572311584","11.957871791342366663","11.957871791342366663","61.481568908712283417","18.246595234817920783","0.9526057652601616077","0.16651533482572311584","0.16651533482572311584","0.9526057652601616077","0.16651533482572311584","0.16651533482572311584","0.9526057652601616077","0.16651533482572311584","6.8974165320376705779","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:06.127","0","61771.694169740294456","9345","0.69770290450777983082","0","0.69770290450777983082","0","16.213686825678440329","11.558891649327240003","74.398626530068412421","0.69770290450777983082","0","0","0","0","0","0","0","0","6.4677075632750486989","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:08.127","0","57355.562881476907933","9346","0.76402759698945832412","0","0","0","0.76402759698945832412","10.922040520132270558","57.805177088483702619","33.582223194835457036","0.76402759698945832412","0.76402759698945832412","0","0.76402759698945832412","0.76402759698945832412","0","0.76402759698945832412","0","6.722091619000480911","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:10.126","0","71718.268868268103688","9337","0.73054316144686159973","0","0.73054316144686159973","0","2.2938416943374728696","7.7653865594545674611","78.895469805976887301","15.581879223907568743","0.73054316144686159973","0.73054316144686159973","0.73054316144686159973","0","0","0","0","0","6.7394725225645268907","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:12.111","0","57755.388746270240517","9340","2.4283137673775212484","0.067708455297943448414","0.85457689265779901433","0.067708455297943448414","11.870735015695821346","10.296998140976098668","40.19799876065073363","41.771735635370454531","0.85457689265779901433","0.067708455297943448414","0.067708455297943448414","0.067708455297943448414","0.067708455297943448414","0.067708455297943448414","0.067708455297943448414","0.067708455297943448414","6.8052713386759773329","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:14.125","0","0","9338","1.4507394739208923085","0","1.4507394739208923085","0","2.2267179032601003286","0.67476104458168428835","82.928474554537473296","16.194329631365800282","0.67476104458168428835","0","0","0","0","0","0.67476104458168428835","0","6.5915953267276394811","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:16.112","0","2061.7008266735765574","9346","0.90281998234044147367","0.11633442664472637418","0.90281998234044147367","0.11633442664472637418","1.6893055380361565732","41.013583322821688171","42.586554434213105935","19.778473319037502165","0.11633442664472637418","0.11633442664472637418","0.11633442664472637418","0.11633442664472637418","0.11633442664472637418","0.11633442664472637418","0.11633442664472637418","0.90281998234044147367","6.8014616500582718572","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:18.125","0","0","9336","0","0","0","0","6.8839110545185988599","18.523422172703774891","63.529531829686462174","13.091650317550696414","2.2281066072445288029","0.67617179148651285203","0","0","1.4521391993655208275","2.2281066072445288029","1.4521391993655208275","0.67617179148651285203","6.8839110545185988599","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:20.111","0","0","9338","1.6399840861363035316","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","6.3612648500017581199","1.6399840861363035316","49.639671852101784566","45.705271215547242036","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","0.066223831514489184258","6.6071642602823166257","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:22.119","0","448331.0489982040599","9339","0","0.3803825662282434017","0","0","8.1631651782416607688","19.837339096261786153","63.420921723536928027","11.276278223047031091","1.9369390886309290067","0","0","0","0","0","0","0","6.3147530626432519796","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:24.111","0","55502.586176005708694","9338","1.1960360978870654414","0.41187765421949462663","1.1960360978870654414","0.41187765421949462663","0.41187765421949462663","9.037620534562694985","52.166334936278659029","42.75643361226789807","1.1960360978870654414","0.41187765421949462663","0.41187765421949462663","0.41187765421949462663","1.1960360978870654414","0.41187765421949462663","0.41187765421949462663","0.41187765421949462663","7.0282176592983418573","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:26.126","0","34563.32138269963616","9339","1.5009040945047291693","0","0","0","3.052070959158192931","2.2764875268314610501","13.910239011732484116","83.712747921138571883","0","0","0","0","0","0","0","0","6.493720578707840474","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:28.126","0","75758.007473225123249","9338","1.5851157404028537456","4.7093977803900681778","0.022974720409252302744","0.022974720409252302744","5.4904682903868735622","9.3958208403708827205","32.827936140274957211","57.041121950175856625","0.80404523040604747308","0.80404523040604747308","0.022974720409252302744","2.3661862503996600182","0.80404523040604747308","0.022974720409252302744","0.80404523040604747308","0.022974720409252302744","7.2966932198980654078","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:30.126","0","0","9339","0.76401767166868195247","0","0.76401767166868195247","0","3.108174734542656914","23.424202612783705746","10.922031610789218803","67.181801119764443797","1.545403359293340273","0","0","0.76401767166868195247","0","0","0","0","6.7709207703917755339","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:32.126","0","0","9340","2.3267890469179985935","0.76401767166868195247","0.76401767166868195247","0.76401767166868195247","4.6709461097919628969","15.610345736537144745","42.177459115775448595","43.7402304910247679","0.76401767166868195247","0.76401767166868195247","0.76401767166868195247","0.76401767166868195247","2.3267890469179985935","0.76401767166868195247","0.76401767166868195247","0.76401767166868195247","7.4057960164782610235","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:34.125","0","53258.619768781893072","9342","0","0","0","0","0.76399782102118951599","1.5453836649501506706","24.205573138890191132","75.777038838202017246","0","0","0","0","0","0","0.76399782102118951599","0","6.4290476899408925959","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:36.110","0","0","9351","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","7.118161818675505792","14.989504037431821359","37.029262249949503882","47.262007134332705505","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","0.82108804367045928885","7.2657450773255476406","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:38.111","0","26618.777395874931244","9344","1.5945063867976894123","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","3.9374943299691822496","4.7184903110263354264","1.5945063867976894123","93.752032151542707084","0.81351040574053623544","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","0.032514424683371956348","6.6709802636692465683","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 17:57:40.112","0","42731.08527031444828","9343","2.3923732392708618733","0.049790197013355186328","0.049790197013355186328","0.049790197013355186328","2.3923732392708618733","2.3923732392708618733","27.379925690017515194","71.108142478824177601","0.049790197013355186328","0.049790197013355186328","0.049790197013355186328","0.83065121109918704789","0.83065121109918704789","1.6115122251850189095","0.83065121109918704789","0.049790197013355186328","6.8823265690196482325","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
