"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 18:52:16.960"," "," ","9354"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 18:52:18.964","4088.4645509860770289","120609.70425408927258","9349","4.0813590708801967821","1.7418800238285014892","0","0.18222732579402656228","1.7418800238285014892","0.96205367481126957685","0","0","2.5217063728457334015","0","1.7418800238285014892","0","0.96205367481126957685","0.18222732579402656228","0.96205367481126957685","0.18222732579402656228","0.76709958300127389919","47","44","34","36","34","34","34","34","43","35","34","42","35","35","41","36"
"10/31/2021 18:52:20.958","0","45953.26193048425921","9352","4.3988658357881238459","1.2644024205680559625","0.48078656676304731832","2.0480182743730757089","2.8316341281780843531","1.2644024205680559625","1.2644024205680559625","2.0480182743730757089","1.2644024205680559625","1.2644024205680559625","1.2644024205680559625","1.2644024205680559625","0.48078656676304731832","0.48078656676304731832","2.0480182743730757089","1.2644024205680559625","1.5582596195303000108","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 18:52:22.965","0","0","9353","5.0261813858689219359","0","0","0","1.9122856936023335805","1.1338117705356864917","0.35533784746902830065","0.35533784746902830065","1.1338117705356864917","0","0","0.35533784746902830065","0","0","0.35533784746902830065","0.35533784746902830065","0.5012973485900573678","36","38","37","38","38","38","38","37","37","38","38","38","38","38","36","37"
"10/31/2021 18:52:24.958","0","2054.7512963343656338","9353","4.3476423907966239568","1.2114995183637233822","0.42746380025550090309","0.42746380025550090309","3.5636066726883908196","0.42746380025550090309","1.2114995183637233822","1.2114995183637233822","0.42746380025550090309","0.42746380025550090309","0.42746380025550090309","0.42746380025550090309","1.2114995183637233822","0.42746380025550090309","1.9955352364719458613","1.2114995183637233822","1.2114995183637233822","95","100","99","100","100","100","100","100","100","99","96","100","100","97","100","100"
"10/31/2021 18:52:26.968","0","30573.262099888481316","9364","6.715485065298409495","0","0.49651740298497504256","0.49651740298497504256","0.49651740298497504256","0","0.49651740298497504256","0","0","1.2738883607741557924","0","0.49651740298497504256","0","0","0","1.2738883607741557924","0.59369250408921603324","35","47","44","52","100","59","66","53","56","87","56","35","57","53","65","100"
"10/31/2021 18:52:28.961","0","67808.190830934778205","9364","4.3715052017887945368","0","2.0199848378983475961","1.2361447166015393506","2.8038249591951669437","0.45230459530472000296","1.2361447166015393506","0.45230459530472000296","0.45230459530472000296","0.45230459530472000296","0.45230459530472000296","1.2361447166015393506","0.45230459530472000296","1.2361447166015393506","0.45230459530472000296","0.45230459530472000296","1.0891740667862914727","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 18:52:30.960","0","0","9370","6.2278838464051800017","1.5392780387254334507","1.5392780387254334507","0","3.8835809425653011751","1.5392780387254334507","0.75784373744547384177","0.75784373744547384177","0.75784373744547384177","0","2.3207123400053930595","1.5392780387254334507","1.5392780387254334507","0.75784373744547384177","0.75784373744547384177","0.75784373744547384177","1.5392780387254334507","45","46","51","43","39","54","49","49","35","50","40","45","52","53","61","45"
"10/31/2021 18:52:32.953","0","20553.873705177462398","9372","4.3294817867423507352","0.40855890914982539996","1.9769280601868333136","0.40855890914982539996","3.5452972112238412272","2.7611126357053317193","1.9769280601868333136","0.40855890914982539996","1.1927434846683238057","1.1927434846683238057","1.1927434846683238057","2.7611126357053317193","0.40855890914982539996","1.1927434846683238057","2.7611126357053317193","1.9769280601868333136","1.7808794069165578833","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 18:52:34.964","0","325990.87826427369146","9374","3.6442083654332768639","0.53595702238273812412","0","1.3130198581453811357","2.0900826939080130451","0.53595702238273812412","1.3130198581453811357","0","2.0900826939080130451","0.53595702238273812412","0.53595702238273812412","0","1.3130198581453811357","0","0.53595702238273812412","1.3130198581453811357","0.92448844026405962992","57","43","42","41","43","43","43","41","44","44","43","42","43","43","49","43"
