"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-RSREGGEF\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-RSREGGEF\Memory\Available MBytes","\\LAPTOP-RSREGGEF\Processor(0)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(1)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(10)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(11)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(12)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(13)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(14)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(15)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(2)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(3)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(4)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(5)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(6)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(7)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(8)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(9)\% Processor Time","\\LAPTOP-RSREGGEF\Processor(_Total)\% Processor Time","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_12)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_13)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_14)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_15)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-RSREGGEF\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/31/2021 20:11:04.351"," "," ","9300"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:06.343","4111.8348817212527138","123355.04645163757959","9274","5.884856773065305191","1.9633924719430262407","1.1790996117185703618","1.9633924719430262407","16.080663955983219182","1.1790996117185703618","5.1005639128408493121","1.9633924719430262407","8.2377353537386621696","1.9633924719430262407","1.1790996117185703618","1.1790996117185703618","0","0","1.1790996117185703618","0","2.9927762235533283963","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:08.349","0","36765.721549725429213","9272","5.7271189713910537478","1.0524306559228424618","2.6106600944122537733","1.8315453751675425664","1.0524306559228424618","0.27331593667814235715","0.27331593667814235715","4.1688895329016535385","3.3897748136569538779","1.0524306559228424618","4.1688895329016535385","0.27331593667814235715","1.0524306559228424618","1.8315453751675425664","2.6106600944122537733","2.6106600944122537733","2.1237146414678664819","35","34","37","34","34","34","47","34","57","36","73","45","42","34","38","34"
"10/31/2021 20:11:10.350","0","399581.04506203805795","9279","7.8584187570124424127","0.83067103508965844938","3.1732536090639196225","0.049810177098241759097","0.049810177098241759097","1.6115318930810862419","0.83067103508965844938","2.3923927510725029322","3.1732536090639196225","0.049810177098241759097","0.83067103508965844938","0.049810177098241759097","2.3923927510725029322","0.049810177098241759097","0.049810177098241759097","0.83067103508965844938","1.5139255352095259965","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:12.359","0","18346.767340305508696","9279","3.5967253238092689038","0","2.0418337967739397243","1.2643880332562695834","0","0","0","2.8192795602915987629","0.48694226973859944252","0.48694226973859944252","0","0","0","0.48694226973859944252","0","0","0.48694226973859944252","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:14.352","0","20551.184164148569835","9279","1.9989332466282649925","0.43091617857431430139","0","0","0.43091617857431430139","0","0","2.7829417806552347869","1.2149247126012840958","0","0","0.43091617857431430139","0","0","0","0","0.18590912124308855979","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:16.348","0","281182.13025909301359","9282","4.4818829252791019258","1.350141381845626487","2.9160121535623639843","2.1330767677040007868","2.1330767677040007868","0.56720599598726328949","0.56720599598726328949","2.1330767677040007868","2.1330767677040007868","0.56720599598726328949","0.56720599598726328949","0.56720599598726328949","0.56720599598726328949","1.350141381845626487","0.56720599598726328949","1.350141381845626487","1.4969423930423775282","53","55","65","59","59","63","58","61","57","58","65","59","56","60","51","54"
"10/31/2021 20:11:18.359","0","366523.07268906972604","9283","2.8834799161917668009","0.55268343418036769421","2.1065477555213041327","1.3296155948508414646","0.55268343418036769421","0","0.55268343418036769421","3.660412076862229469","0.55268343418036769421","0","0","0","0.55268343418036769421","1.3296155948508414646","0.55268343418036769421","0.55268343418036769421","0.89259436220233689951","80","100","55","77","65","65","68","69","66","100","87","65","78","68","92","76"
"10/31/2021 20:11:20.354","0","225864.93371208084864","9285","5.2388214764304112947","0","0","0","0","0.53992006203853470936","0","3.6725210049664558376","0","0.53992006203853470936","1.3230702977705122159","1.3230702977705122159","1.3230702977705122159","0","0.53992006203853470936","0","0.78465388418458292819","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:22.353","0","257502.85584659245797","9282","2.2624665803315346935","0.69866604561683587349","0.69866604561683587349","0.69866604561683587349","0.69866604561683587349","0","0.69866604561683587349","3.8262671150462335135","0","0","0","0.69866604561683587349","0.69866604561683587349","0.69866604561683587349","1.4805663129741852835","0","0.79640232799608190462","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:24.345","0","78141.124030710037914","9305","5.0824545736237292104","0.37579942851416747729","0.37579942851416747729","1.1602419526990925824","0.37579942851416747729","0.37579942851416747729","1.1602419526990925824","2.729127001068953895","0.37579942851416747729","0.37579942851416747729","0.37579942851416747729","1.1602419526990925824","0","0.37579942851416747729","1.9446844768840176876","0.37579942851416747729","1.0131583518603992644","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:26.349","0","0","9303","3.354880082236388894","1.0166916971292128125","1.0166916971292128125","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","3.354880082236388894","1.0166916971292128125","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","0.23729556876014301636","1.0166916971292128125","0.82184515910455058219","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:28.350","0","0","9303","4.7440106157022317035","0.05928982631053791863","0.84007662454248510642","0.05928982631053791863","0.84007662454248510642","0.05928982631053791863","0.05928982631053791863","3.9632238174702849598","0.05928982631053791863","0.05928982631053791863","0.84007662454248510642","0.05928982631053791863","0.05928982631053791863","0.05928982631053791863","0.05928982631053791863","0","0.69367847524456349717","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:30.344","0","2055.4724645977985347","9303","5.9286617155541616597","1.2250948013318718743","2.0090226203689165452","0","0.44116698229481610127","0","0","2.7929504394059723182","2.7929504394059723182","0","0.44116698229481610127","0","0.44116698229481610127","0.44116698229481610127","1.2250948013318718743","2.0090226203689165452","1.127105078236745328","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:32.358","0","0","9303","5.3585363695787702198","0","3.8070369658013802905","0","0","1.4797878601352842942","0.70403815824658932954","2.2555375620239792589","3.0312872639126853258","0","1.4797878601352842942","0","1.4797878601352842942","0","0.70403815824658932954","1.4797878601352842942","1.3343341704313949059","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34","34"
"10/31/2021 20:11:34.345","32974.346867829503026","329743.46867829503026","9301","1.7294410820923755701","0.15711213940585722071","1.7294410820923755701","0.15711213940585722071","2.5156055534356402958","1.7294410820923755701","39.465335706568907881","0.94327661074911084427","4.0879344961221590893","3.3017700247788939194","1.7294410820923755701","0.15711213940585722071","2.5156055534356402958","0.15711213940585722071","0.15711213940585722071","0.94327661074911084427","3.8422587277589625998","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:36.346","0","0","9286","2.3689241729020205085","0.025778353051664204543","2.3689241729020205085","1.5878755662852350738","0.8068269596684496392","5.4931185993691507008","99.21895139338320746","0.025778353051664204543","5.4931185993691507008","2.3689241729020205085","0.8068269596684496392","1.5878755662852350738","1.5878755662852350738","0.025778353051664204543","0.8068269596684496392","0.8068269596684496392","7.8362644192195070048","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:38.359","0","10171.222700659276597","9269","0","0","1.4548993805793331013","0","3.0067907289166639906","3.0067907289166639906","42.580020111518670944","54.995150898217339375","0.67895370641065655448","0.67895370641065655448","1.4548993805793331013","0","0.67895370641065655448","0","1.4548993805793331013","0","6.8380206328548354122","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:40.345","0","118894.8050064650306","9247","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","2.4193504115334829585","12.649579803872711636","5.5671133014840172848","84.261185550247333254","3.2062911340211219802","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","0.8454689665582160174","7.3377274088708759336","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"10/31/2021 20:11:42.359","0","332138.27864576259162","9212","1.4920782380382302534","0","0","0.71642531077868998324","37.947765819236678908","19.332095565007676896","0","47.255600946351172809","2.2677311652977705236","0","0","0.71642531077868998324","0.71642531077868998324","0","0","0","6.8731735235130102524","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
