"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:35:26.902"," "," ","40.325073092320252499"," ","35","47","77","45","55","87","53","34","80","34","54","35"
"10/26/2021 23:35:28.912","48926.315139838712639","14270.175249119623913","40.355474650942596782","1.4612867841799381807","100","71","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:35:30.908","0","53351.282748272380559","40.336775695983497769","0.78789826734518841889","76","79","100","100","60","100","100","100","95","100","100","100"
"10/26/2021 23:35:32.896","6179.0596756466356965","278057.6854040985927","40.517129455813474692","8.5963169768906730894","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:35:34.909","0","0","40.594269344721517712","9.3688505890119682107","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:35:36.904","6159.1070577913505986","10080405.21791851148","40.319338985793137908","8.4942664582368205828","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:35:38.902","0","334236.33064930548426","40.318473461158212956","1.7038341951273960895","46","38","59","38","47","58","50","46","39","46","39","68"
"10/26/2021 23:35:40.908","0","198044.20185163989663","40.316526042371179983","0.43650214480173143983","38","38","38","38","38","38","38","38","38","38","38","37"
"10/26/2021 23:35:42.907","0","6147.4770129985527092","40.316291628479092424","0.79559706723945078366","38","38","38","38","38","38","38","38","38","38","38","38"
"10/26/2021 23:35:44.905","0","0","40.315516255869418671","2.0065816550813408981","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 23:35:46.897","0","96638.786232266007573","40.32346826054236999","2.0785186819934908797","76","100","100","100","100","100","100","100","100","100","100","100"
