"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:41:16.597"," "," ","41.228338433715592259"," ","96","64","100","88","100","100","100","100","100","100","100","100"
"10/27/2021 00:41:18.599","16372.923717105379183","573052.3300986882532","41.235803566229485284","3.2933683412851744166","63","63","46","95","45","100","52","78","66","96","49","100"
"10/27/2021 00:41:20.608","0","38734.49915761025477","41.240347582204350374","1.3604670858020750934","64","78","74","76","78","65","66","79","77","62","84","67"
"10/27/2021 00:41:22.599","0","41149.569896075736324","41.216888265036253358","1.9600280082216370303","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:41:24.609","0","156908.55441964499187","41.220224122800921407","1.7273849174158639741","34","34","34","34","34","34","34","34","34","34","34","34"
"10/27/2021 00:41:26.606","350575.64868277363712","2544236.1404404798523","41.252302644134566378","3.7387326376531970773","34","34","34","34","34","34","34","34","34","34","34","34"
"10/27/2021 00:41:28.615","0","1025661.9087418932468","41.359735918547897882","4.6512662888356430813","58","54","100","48","57","100","60","43","48","100","79","48"
"10/27/2021 00:41:30.612","0","0","41.356039406116131829","0.8932675788726029964","34","34","34","34","34","34","34","34","34","34","34","34"
"10/27/2021 00:41:32.598","0","195921.68509969563456","41.362801320236833647","1.5307145872337168946","34","34","34","34","34","34","34","34","34","34","34","34"
"10/27/2021 00:41:34.610","0","8146.1822054943077092","41.367742033062441465","1.1436233631590742021","38","38","38","38","38","38","38","38","38","38","38","38"
"10/27/2021 00:41:36.597","0","0","41.366587984693836688","0.51963196699158498149","38","38","38","38","38","38","38","38","38","38","38","38"
"10/27/2021 00:41:38.604","0","55082.579790472824243","41.365614263658791572","1.357944778104414052","38","38","37","38","38","38","38","38","38","38","38","38"
"10/27/2021 00:41:40.617","0","118063.3413643122185","41.36480284886546599","0.8009795393246976758","40","38","38","46","50","38","38","38","38","38","38","38"
"10/27/2021 00:41:42.609","0","0","41.36480284886546599","0.25211330193978254144","38","39","38","40","38","41","38","38","38","38","38","42"
"10/27/2021 00:41:44.598","0","496237.53462941566249","41.362314448077768247","0.83820142742466741126","38","38","38","38","38","38","38","38","38","38","38","38"
"10/27/2021 00:41:46.599","0","0","41.368409185988923582","1.3577981156242979743","49","53","47","42","51","45","41","55","56","50","66","60"
"10/27/2021 00:41:48.614","0","77251.749937165441224","41.366678136719080783","2.0270116341658983572","100","96","100","100","100","100","100","100","82","100","100","100"
