(PDH-CSV 4.0) (W. Europe Daylight Time)(-120);\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec;\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec;\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use;\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time;Processor_0;Processor_1;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency
10/26/2021 23:40:46.285; ; ;39.692.013.789.827.900.000; ;93;78;100;100;100;100;100;43;60;100;69;100
10/26/2021 23:40:48.299;0;32.541.430.291.594.700.000;39.695.529.974.926.100.000;27.560.732.099.264.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:40:50.285;72.443.178.313.531.900.000;33.824.003.539.983.600.000;39.800.673.220.260.200.000;74.958.798.990.834.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:40:52.287;0;16.366.721.651.952.000.000;39.806.046.695.403.300.000;94.045.989.025.372.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:40:54.294;0;65.307.752.669.806.600.000;39.810.752.971.053.700.000;97.546.056.869.114.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:40:56.306;0;0;39.813.583.958.850.600.000;87.232.064.779.695.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:40:58.292;0;27.020.211.175.970.500.000;39.812.880.740.457.400.000;91.885.930.005.364.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:00.300;0;7.137.928.620.514.630.000;39.827.594.659.251.000.000;91.066.256.506.793.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:02.290;0;0;39.816.757.556.939.600.000;90.387.241.931.521.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:04.290;0;20.479.099.943.557.400.000;39.816.378.881.180.700.000;91.821.779.492.152.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:06.303;0;0;39.814.936.355.644.500.000;90.698.174.456.718.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:08.297;0;0;3.981.735.260.221.570.000;87.740.684.740.196.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:10.283;0;37.123.377.325.032.200.000;39.815.080.594.228.300.000;89.333.447.263.557.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:12.291;0;0;39.818.542.692.768.000.000;9.339.442.540.263.180.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:14.300;0;53.006.077.611.477.300.000;39.818.037.822.800.200.000;96.557.794.110.920.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:16.300;0;0;39.815.152.725.161.700.000;96.448.575.946.242.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:18.290;0;26.764.282.309.295.900.000;39.814.719.962.844.300.000;92.281.204.458.302.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:20.303;0;27.060.067.390.877.200.000;39.812.141.433.314.400.000;89.982.819.248.640.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:22.290;0;16.493.638.991.147.800.000;39.812.736.478.590.500.000;93.565.247.750.261.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:24.299;0;87.655.839.349.652.200.000;39.803.648.469.923.900.000;86.276.591.699.645.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:26.297;0;0;39.806.840.089.104.800.000;8.894.900.681.959.750.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:28.296;93.932.381.337.138.900.000;62.502.048.121.794.100.000;39.886.360.182.400.400.000;10.885.916.312.657.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:30.293;0;21.948.915.805.531.000.000;39.905.455.834.210.200.000;95.520.225.105.578.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:32.300;0;36.107.802.852.806.800.000;39.907.727.818.914.600.000;86.929.250.877.730.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:34.287;0;8.041.737.455.072.810.000;39.911.207.961.829.100.000;88.887.921.231.088.900.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:36.300;0;24.410.675.041.678.900.000;39.872.241.308.882.800.000;8.948.881.533.834.580.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:38.288;0;20.603.584.420.068.400.000;39.879.922.834.197.000.000;87.609.690.561.811.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:40.288;0;0;3.987.846.226.428.600.000;91.184.656.415.171.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:42.300;0;0;3.987.846.226.428.600.000;91.392.190.692.009.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:44.297;0;41.029.021.070.696.100.000;39.878.047.546.343.400.000;90.924.243.578.449.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:46.287;0;55.584.991.931.551.300.000;39.877.434.456.692.400.000;94.249.397.907.249.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:48.302;0;36.589.986.736.824.600.000;39.874.332.989.536.700.000;96.561.044.493.926.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:50.290;0;0;39.874.332.989.536.700.000;90.986.699.162.545.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:52.295;0;0;39.851.631.000.603.400.000;9.366.460.138.950.840.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:54.285;0;61.744.406.096.496.300.000;39.850.350.734.742.900.000;95.816.155.567.847.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:56.293;0;0;39.849.737.668.374.900.000;98.229.578.258.049.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:41:58.305;16.284.863.451.012.400.000;38.676.550.696.154.500.000;3.984.405.764.840.630.000;93.406.721.473.530.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:00.290;0;82.511.491.880.695.900.000;39.837.620.323.486.000.000;98.997.252.717.506.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:02.299;0;20.388.902.384.147.600.000;39.832.246.848.342.900.000;89.351.040.565.539.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:04.298;0;11.678.939.026.976.100.000;39.829.650.274.438.200.000;88.779.784.998.561.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:06.293;0;0;39.828.532.314.819.400.000;89.432.881.174.461.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:08.307;0;20.334.880.127.966.700.000;39.824.096.495.244.600.000;85.295.287.690.337.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:10.305;0;0;39.819.245.934.444.300.000;83.426.577.141.262.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:12.295;0;0;39.821.626.138.831.800.000;8.605.232.885.749.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:14.292;0;34.865.413.006.583.500.000;39.818.272.236.692.300.000;93.125.076.983.315.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:16.305;0;0;39.813.493.806.825.300.000;8.764.714.675.287.730.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:18.296;0;0;39.816.469.056.489.000.000;82.844.169.606.836.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:20.287;0;24.680.912.388.334.700.000;39.815.387.139.053.800.000;90.250.682.639.268.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:22.299;0;0;39.812.808.609.523.900.000;93.318.989.875.715.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:24.298;0;55.336.650.303.312.800.000;39.810.374.318.577.800.000;91.108.005.312.626.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:26.293;0;0;39.810.031.708.285.600.000;97.334.090.308.030.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:28.303;0;61.138.358.623.143.000.000;39.775.050.091.504.800.000;90.409.501.684.965.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:30.297;0;67.758.002.550.549.800.000;39.776.889.313.891.700.000;92.711.295.141.465.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:32.293;0;0;39.775.446.788.355.500.000;90.654.762.125.435.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:34.293;0;36.863.612.932.064.200.000;39.774.797.633.237.800.000;88.545.113.528.568.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:36.305;0;20.357.502.798.411.100.000;3.977.447.306.732.050.000;86.223.191.682.329.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:38.290;0;0;3.977.138.962.125.670.000;84.960.406.186.702.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:40.292;0;36.836.726.088.004.400.000;39.770.776.554.888.700.000;91.750.517.093.245.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:42.297;0;0;39.767.909.501.625.200.000;84.828.651.363.956.100.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:44.293;0;0;39.766.557.128.114.200.000;90.101.618.325.101.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:42:46.299;0;0;39.766.232.538.913.800.000;87.030.022.197.450.300.000;100;100;100;100;100;100;100;100;100;100;100;100
