"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/26/2021 23:51:38.684"," "," ","40.521330838213053482"," ","34","34","34","34","34","34","34","34","34","34","34","34"
"10/26/2021 23:51:40.697","0","244211.81917235685978","40.530959805597312595","3.1799939172667768261","61","61","50","79","74","56","81","56","57","58","52","59"
"10/26/2021 23:51:42.696","2049.7235100133948436","315657.42054206278408","40.759873097008068044","2.3308613092985375204","65","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:44.687","0","37020.154714601660089","40.762992608538596073","8.9911245634084586698","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:46.679","0","0","40.780681753712869408","9.4737124270698807038","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:48.680","0","0","40.79355645011960263","9.5362159851602896765","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:50.695","0","46756.654167520326155","40.781781692239874815","9.1365704228777424589","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:52.684","0","0","40.784414331611337445","9.8668011231405330363","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:54.694","0","14261.691595196965864","40.788507540893860437","9.1303684312471045104","100","100","100","100","100","100","100","100","100","100","100","100"
"10/26/2021 23:51:56.692","0","162004.48508263437543","40.784396310519518636","10.103860745995019599","100","100","100","100","100","100","100","100","100","100","100","100"
