"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:12:52.200"," "," ","40.760684535084450886"," ","100","100","100","96","100","100","100","94","80","100","92","93"
"10/27/2021 00:12:54.203","0","0","40.78747973330027321","1.8430617979379171345","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:12:56.198","0","12317.600425582717435","40.792763056418102963","3.86929398813412595","34","46","38","34","51","39","34","47","37","34","34","34"
"10/27/2021 00:12:58.205","0","89788.147619757684879","40.781547278347787255","2.0494166394242063767","59","36","61","44","59","61","46","60","43","60","35","63"
"10/27/2021 00:13:00.193","10303.283799424445533","263764.06526526581729","40.818296033148257607","2.1287329186102987855","34","36","34","40","35","38","34","35","39","36","100","38"
"10/27/2021 00:13:02.197","0","298345.80656503856881","40.900665135332538114","9.9045052097545998038","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:04.208","0","26483.299526276798133","41.043747226019334562","9.0730125120011209106","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:06.196","0","0","41.170672825810186168","8.9683732909715203618","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:08.197","0","4095.1205728569789244","41.307894592477914841","8.8117663107769352848","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:10.200","0","0","41.443367265500910435","9.3423836911087470014","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:12.215","0","95553.315252629443421","41.541207614713634655","8.7415841020466835687","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:14.209","0","27746274.680019225925","40.948791927878929187","8.1990246696832294049","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:16.194","0","0","41.051050075574558207","8.7545229838917659748","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:18.197","0","67475.270349359037937","41.176803629188050593","8.8699594379844093339","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:20.211","0","0","41.311915670827012548","8.4319305196139726633","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:22.197","0","22690.317454945699865","41.449588220904018954","8.5939146883211243733","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:24.201","0","576260.44749945984222","41.548221987101300101","8.8584504364666578624","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:26.202","0","27036569.866362933069","40.934997620278736008","7.8397241454874251332","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:28.196","0","16425.880245568110695","41.037327922190847573","9.079178870342442309","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:30.200","0","0","41.15247878738503573","9.1947094414548065089","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:32.211","0","0","41.29339704320146609","8.3226295600759119253","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:34.208","0","41016.284596537596371","41.429248391983392708","8.6652511812387302825","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:13:36.204","0","174448.56620825649588","41.56198022923478419","8.4618832804428620875","100","100","100","100","100","100","100","100","100","100","100","100"
