(PDH-CSV 4.0) (W. Europe Daylight Time)(-120);\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec;\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec;\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use;\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time;;Processor_0;Processor_1;Processor_10;Processor_11;Processor_2;Processor_3;Processor_4;Processor_5;Processor_6;Processor_7;Processor_8;Processor_9
10/27/2021 00:34:00.712;0;44.759.159.492.205.600.000;41.118.542.999.289.500.000;25.642.436.363.152.400.000;00:34:00.712;38;37;38;35;37;34;37;41;37;35;34;43
10/27/2021 00:34:02.706;41.074.019.424.220.600.000;29.778.664.082.559.900.000;41.169.248.321.365.800.000;39.701.510.810.977.800.000;00:34:02.706;43;55;68;61;69;100;40;94;67;69;35;42
10/27/2021 00:34:04.705;0;3.073.965.954.926.470.000;41.136.574.754.756.000.000;93.790.309.979.410.600.000;00:34:04.705;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:06.693;0;18.542.778.265.916.200.000;41.138.143.521.067.200.000;94.184.830.567.092.500.000;00:34:06.693;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:08.699;0;91.877.041.680.883.300.000;41.144.959.521.746.400.000;9.004.803.026.180.150.000;00:34:08.699;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:10.713;0;11.797.111.413.946.600.000;41.141.569.554.140.200.000;89.024.647.053.516.300.000;00:34:10.713;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:12.708;0;22.582.484.760.982.800.000;4.114.059.583.310.510.000;95.412.375.167.221.000.000;00:34:12.708;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:14.701;0;49.116.649.986.621.300.000;41.138.702.500.876.600.000;91.922.319.466.272.400.000;00:34:14.701;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:16.696;0;61.589.184.401.917.500.000;41.138.612.348.851.400.000;94.173.735.598.960.200.000;00:34:16.696;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:18.708;0;69.219.410.780.104.100.000;41.134.807.640.019.500.000;88.114.493.152.839.200.000;00:34:18.708;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:20.700;0;0;41.132.679.893.898.900.000;97.103.302.599.373.300.000;00:34:20.700;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:22.705;0;25.124.824.208.814.900.000;41.161.170.099.200.900.000;84.376.756.282.269.400.000;00:34:22.705;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:24.691;0;0;41.135.132.229.219.900.000;94.590.058.873.039.800.000;00:34:24.691;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:26.705;0;0;41.134.050.311.784.700.000;84.668.703.439.113.800.000;00:34:26.705;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:28.700;0;20.533.091.387.746.700.000;41.136.737.037.714.700.000;94.686.738.001.685.300.000;00:34:28.700;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:30.709;0;0;41.132.968.417.632.600.000;88.676.894.575.625.400.000;00:34:30.709;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:32.702;0;39.048.789.863.330.700.000;41.132.968.417.632.600.000;85.307.985.054.162.700.000;00:34:32.702;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:34.699;0;0;41.131.706.172.863.800.000;95.019.031.577.285.900.000;00:34:34.699;100;100;100;100;100;100;100;100;100;100;100;100
10/27/2021 00:34:36.704;0;0;41.131.543.889.905.200.000;78.499.334.231.531.400.000;00:34:36.704;100;100;100;100;100;100;100;100;100;100;100;100
