"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 01:17:34.724"," "," ","42.51885401143665888"," ","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:36.729","8174.1464380573179369","265659.75923686282476","42.530051721849027047","2.3372581288649496578","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:38.740","0","20361.533543613226357","42.522243979042919193","0.5747821556192578285","44","46","70","36","46","95","73","37","49","55","46","74"
"10/27/2021 01:17:40.727","2061.4782540466953833","573090.95462498138659","42.573057497519315007","6.1578814341635261798","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:42.730","0","220936.45175263378769","42.571128099824100843","9.2832975458728590468","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:44.743","0","113949.5386200191133","42.569992095830386347","9.5038434973523262528","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:46.739","0","77983.214429740473861","42.573309932503221376","8.8007727156311119643","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:48.734","0","20521.278551806961332","42.574590198363779336","8.8007681464708831243","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:50.726","0","127537.1635194857372","42.569938009271851342","9.1037211362588585928","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 01:17:52.738","0","59032.882315366819967","42.57498689521452917","9.0197206437605643714","100","100","100","100","100","100","100","100","100","100","100","100"
