"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 23:31:16.194"," "," ","47.710484114408139078"," "," "," "," "," "," "," "," "," ","74","74","74","74","74","74","74","74"
"10/28/2021 23:31:18.194","12289.569992566550354","0","47.714770363577358125","9.3928224318276640759","0.019666131671902675748","13.298304223559220816","3.9251479234034714061","15.641593298598166939","5.4873406400960949014","7.8306297151350285901","3.9251479234034714061","7.4400815359618732714","39","39","39","39","39","39","40","39"
"10/28/2021 23:31:20.189","14371.173447011560711","320271.86539054336026","47.71625796512613249","17.770482298393773135","1.3245787580725254529","6.0234083410214527277","4.4571318133718058618","9.9390996601455565695","6.0234083410214527277","6.8065466048462752724","6.0234083410214527277","7.2960067667155676929","39","40","39","39","39","39","39","39"
"10/28/2021 23:31:22.200","0","24443.56355050518323","47.894944378150384523","23.848383661118067067","11.415466707831223303","26.17955558985936193","8.3072374695095092534","27.733670209020210962","14.523695946152937353","12.192524017411654924","25.402498280278930309","18.700380228439428265","39","39","39","39","39","39","39","39"
"10/28/2021 23:31:24.193","55504.800734643613396","88396.534503321308875","47.890733752374245569","18.443907752380852116","5.1126234426738692562","14.522941778937614288","25.501646504578655339","37.264544424908343956","7.4652030267398084007","16.875521363003553432","12.954555389560329814","17.267617960347880768","90","90","90","90","90","80","90","90"
"10/28/2021 23:31:26.187","0","59533.907999803726852","48.890187649263580738","64.760791617586548341","67.110072176414107048","74.941007372505978879","78.073381450942733295","84.338129607816242128","65.54388513719572984","67.110072176414107048","64.760791617586548341","70.8297638886584906","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:28.192","26572.856551637887605","210538.78652451556991","48.617102752583356562","7.9879623551867728892","7.9879623551867728892","29.821327220057714413","55.553507239369878334","27.482038127392971916","5.6486732625220303916","11.107014478739763774","9.5474884169632687758","19.39199543430655126","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:30.183","2056.7428023040338303","2056.7428023040338303","48.65683886424099569","4.2807554280783088885","1.1424195404743153759","22.326186781801247605","59.201633461148126969","16.04951500659326058","10.557427203286284367","1.927003512375313754","5.8499233718802940984","15.166859293539003417","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:32.189","2042.6292128791160394","0","48.689490032542842357","11.171930599358702807","0.26322032208696555244","27.534996015266312241","67.273869168184788236","8.0551562344239222568","2.6008010957880522973","3.3799946870217478789","8.0551562344239222568","16.041893037988796067","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:34.197","2039.9163215965932068","0","48.6945831097416999","8.9508221133768657296","4.2816335038064483598","50.973519599510616729","18.289199332517704022","14.398208824542347628","3.5034354022113745053","19.067397434112763221","2.7252373006163121971","15.273680443719840127","74","74","74","74","74","90","75","75"
"10/28/2021 23:31:36.192","2052.9081955593533166","174497.196622545016","48.703256493598054533","6.8100496744096572499","13.074920284533387616","37.351293898762790491","48.314817466479311747","9.9424849794715228768","9.1593761532060558039","4.460723195613269354","7.5931585006751234346","17.088351766169772361","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:38.190","2050.1541995251509434","0","48.729831271043472896","3.0207570117118942576","2.238666342451500757","10.059573035055379364","55.420831852157888875","1.4565756731911183586","1.4565756731911183586","35.086474451387793749","6.1491196887534460558","14.361071715987517194","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:40.183","8218.6131020162938512","2533387.4886965225451","48.733108990996406362","18.486393146797432507","2.8106995211815477553","23.189101234482190961","48.270211035467603722","10.648546333989482804","2.8106995211815477553","12.216115696551078429","9.0809769714279013897","15.939095440745830956","74","74","74","74","74","74","74","74"
"10/28/2021 23:31:42.195","76333.324769025843125","13650434.024028994143","48.763037135070895545","12.257986094856843096","9.9285520973751655305","20.799244085622991207","58.070188045329814486","2.9402501049301310587","1.3872941066090160867","2.1637721057695680216","3.7167281040906940959","13.908000600708225747","40","61","39","40","39","78","40","40"
"10/28/2021 23:31:44.193","0","7969914.3486423045397","48.785829927955248309","14.740496478260000757","2.2253399980045829309","28.820047518547330156","55.414755039090088928","6.1363263980844013901","7.7007209581163245105","6.9185236781003638384","8.4829182381322869588","16.304891038291923877","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:46.183","8233.0024102536663122","12711755.721431659535","48.794957122019248175","14.420310253101320086","8.1392321065399499957","26.982466546224060266","32.478409924465253766","3.4284234966189153226","1.8581539599785812378","1.0730191916584086442","31.69327515614509494","15.009158816910195711","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:48.188","0","5754282.148271269165","48.808421019652961093","20.489470560899082585","2.5606256873763166837","26.725590516906994054","39.977345423423813031","11.1352906268872065","10.355775632386221119","8.7967456433842414754","11.1352906268872065","16.397019334216867748","74","75","74","74","74","74","74","74"
"10/28/2021 23:31:50.193","10214.011469217723061","10475490.162829697132","48.557649866807658157","11.165365279789075004","35.322151914232399861","18.178625915595205242","29.088142460182510263","9.6068629162766043805","8.8276117345203690689","6.4898581892516631342","22.074881824376380024","17.594185035674247075","61","61","64","61","62","59","64","60"
"10/28/2021 23:31:52.182","4117.451510625206538","4745362.8659955505282","48.435289889675395614","5.7600322717858531973","11.25736372259834539","4.1893661429822870446","62.304012908714348384","2.6187000141787208918","15.18402904460727143","4.974699207384070121","10.472030658196562314","14.595031759371735802","53","64","52","50","46","55","57","46"
"10/28/2021 23:31:54.182","2047.8377088615727644","8912189.7089655641466","48.428053676250407023","13.286049617153693703","10.16122257633039716","9.3800158161245761335","14.067256377359516506","25.785357780446847897","42.971906504974953123","8.5988090559187551065","7.8176022957129331914","16.508526253071899248","39","39","39","39","40","39","39","39"
"10/28/2021 23:31:56.197","0","4317385.6957325749099","48.435012541812618281","8.4601626571680021982","0.702549323029699746","1.4783106564435266606","72.072591997102094297","16.217775991306304206","5.3571173235126838819","1.4783106564435266606","13.890491991064813249","14.957165065726973907","90","90","90","90","90","90","90","90"
"10/28/2021 23:31:58.181","0","7444883.7296255864203","48.459192074010893236","13.39189343083495487","6.3057756206305377589","27.564129051243778434","9.4551613140547274838","18.115971970971234128","44.885750365076795276","11.029854160766817017","9.4551613140547274838","17.525459633945640547","74","74","74","74","74","74","74","74"
"10/28/2021 23:32:00.187","18377.580309188429965","3659180.4348961850628","48.477648186608604419","10.420902485696259987","50.147284861604866535","10.420902485696259987","4.1893130933968736329","36.905157402968669089","3.4103644193594462308","1.0735183972471751268","1.0735183972471751268","14.70512019290208805","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:02.198","46847.06493003795913","6471005.447075243108","48.615867306621716182","21.522968353038308464","19.191967413029541234","15.306965846348274951","23.853969293047072142","16.860966473020788214","26.18497023305583582","19.191967413029541234","9.0909633396582414377","18.900596025129956956","60","59","59","59","59","59","59","59"
"10/28/2021 23:32:04.188","2057.9661124929698417","3161035.9487892012112","48.614430136190364351","2.6519908911405098983","1.0818617119653595182","7.3623784286659610387","78.018191491547852934","13.642895145366573217","0.29679712237777877704","5.7922492494908102145","6.5773138390783909557","14.427959734954153959","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:06.198","28526.947603174758115","5232657.2460680557415","48.632734978718858088","16.83362536596935044","17.610881203670579964","23.828927905280352206","27.71520709378645364","12.947346177463249006","15.279113690566914485","6.7292994758534891986","9.0610669889571440194","16.250681000474763493","77","78","76","77","88","77","84","75"
"10/28/2021 23:32:08.183","0","2670494.95330534596","48.638584452829924487","19.698041458534486736","13.399848631752874439","55.912650212528738791","11.825300425057472253","7.8889299083189756701","3.1652852882327664474","2.3780111848850649103","5.5271075982758706147","14.974396838448278402","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:10.185","42967.492396543151699","5254310.4987772768363","48.658603790369490127","7.11690214868359039","19.605385893398409536","60.973488297766209598","18.044325425309047262","8.6779626167729375652","1.653190510370861066","1.653190510370861066","4.775311446549568295","15.312469606152689039","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:12.199","72190.394221273323637","2173845.9555645408109","48.649879998678777326","28.63401078150201684","53.456963553153478586","16.222534395676280639","15.446817121562173014","4.5867752839646502849","5.3624925580787579094","3.8110580098505431046","10.016796202763412538","17.192183470614185836","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:14.193","0","4224743.7223643055186","48.653636767681135211","67.078714905533857404","15.345266899944176586","20.832147749021867611","7.5068656869760381767","7.5068656869760381767","0","1.2361447166015393506","8.2907058082728575243","15.93314448262839278","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:16.187","2053.7121950994496729","2103001.287781836465","48.665789572677056185","35.757637445437865154","4.4198996139441444342","23.222542312840378287","27.923202987564433641","13.821220963392255143","6.7702299513061721115","20.87221197547835061","9.9040037344555464927","17.836367369542884376","44","44","44","44","44","44","44","44"
"10/28/2021 23:32:18.191","2044.2280925350587495","2125997.216236460954","48.671689477905559329","4.8613136230763238643","8.7604401139338534676","6.4209642194193339293","83.623668738398379219","2.521837728561804326","0.18236183404728434354","1.7420124303902939644","4.8613136230763238643","14.121740286583428059","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:20.186","0","4204060.3628841452301","48.687447758551563481","23.26010037403465347","11.514197370060363923","29.524581976154273377","42.053545180393513192","7.5988963687356081422","11.514197370060363923","2.1174749668809389469","10.731137169795413655","17.289267599910719042","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:22.197","0","2085515.2420523960609","48.686414013776555976","16.09214022771027075","7.5459693249770527501","70.476864154194345247","4.4382708148922533908","3.6613461873710506644","11.430592462583067714","3.6613461873710506644","4.4382708148922533908","15.218101264828320041","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:24.187","24706.050177529497887","4360617.8563339561224","48.686565307128844893","52.091367323057866656","37.169006325321795714","11.25122143451703316","8.8950591717166016537","7.3242843298496502769","1.8265723833153058031","6.5388969089161701476","9.6804465926500817829","16.847105552048191157","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:26.194","0","2089251.8076770405751","48.693045100358553157","9.716290478732291902","92.995229433694746035","3.4898277531276278296","1.1549042310258772481","1.933212071726464476","1.933212071726464476","1.1549042310258772481","2.7115199124270406017","14.386137522935793953","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:28.181","0","3167107.5595809509978","48.702701797872478551","22.129055921494110493","29.208232655903731967","16.623029572508841056","4.8244016818261297175","15.049879187084480137","34.714259004889001403","12.690153608947941422","6.3975520672504888609","17.704571721008399265","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:30.191","2037.2740576774367582","1564626.4762962714303","48.709358100013197657","6.7419177323454260176","1.3018629333989117924","12.959123216855727989","72.022575319703634023","2.8561643045264872853","12.181972531291940243","5.9647670467816382711","5.9647670467816382711","14.999142523019582285","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:32.185","0","3156230.673188100569","48.677866730996846911","6.721317585876718681","41.210914444880287988","44.346332341153335221","18.479134696900658241","13.776007852491078509","4.3697541636719243741","6.721317585876718681","5.1536086377401923997","17.597299667741019391","90","90","88","89","87","90","90","87"
"10/28/2021 23:32:34.199","8132.6539906666084789","1577734.8741893221159","48.685783694657914111","16.235870852837962275","1.4995888732446505109","27.094183890433043871","38.728090716427779228","20.88943358323585997","3.8263702384435882564","6.9287453920421793185","18.562652218036912899","16.720615729637689384","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:36.189","0","3162102.791199084837","48.678270133370133976","7.3325800655303812192","20.682971073038714849","17.541702600683805713","18.327019718772540102","38.745264789079399748","8.9032143017078286817","4.1913115931754729715","5.7619458293529319803","15.185751246417634519","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:38.197","0","1566788.6204453608952","48.688128532070692245","19.063652626974679549","0.3860340024303798856","27.624227829890823926","46.301846454435121814","8.1683750959905090383","10.503077424058549383","8.9466092053465224865","12.837779752126587951","16.728950298906642757","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:40.193","0","3219072.6915351366624","48.708021791816697998","3.7368509234124713814","1.3889692386176544225","8.432614293002105299","89.043218804290845014","4.5194781516774140684","1.3889692386176544225","4.5194781516774140684","4.5194781516774140684","14.693632119121623703","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:42.190","72823.393954388215207","1070811.5956110041589","48.722872405481261637","20.964582417044177021","2.1838891300051677113","38.962746817123225185","37.397689043203307335","10.791706886564710999","3.7489469039250877813","17.834466869204334216","9.2266491126447913729","17.63883214337190708","74","74","74","74","74","74","74","74"
"10/28/2021 23:32:44.176","0","1065945.4696794038173","48.729377437552756192","53.596445952110073563","0.11438365962677110588","7.9793928202860797683","37.866427630791456238","0.90088457569269531078","0.90088457569269531078","2.4738864078245548228","7.9793928202860797683","13.976466080493199939","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:46.179","2045.5537223034973522","2428072.2683742516674","48.738781979479547601","10.259415775624347589","3.2362396189340780772","30.548591339396224953","37.57176749608649402","8.6987099630265074524","7.9183570567275873842","25.086120995303794246","15.72188611971677652","17.380134797037328553","89","88","89","88","89","89","89","89"
"10/28/2021 23:32:48.189","0","1043503.5293438595254","48.735554667360972303","3.5932667845739674206","1.2608458196846306087","4.3707404395370801353","1.2608458196846306087","91.447789795405753921","12.145476989168212612","4.3707404395370801353","3.5932667845739674206","15.25537160902066347","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:50.190","69583.340370079211425","2163223.2579756975174","48.763037135070895545","15.686565669747952967","9.441126089729278803","6.3184062997199479383","15.686565669747952967","42.229683884827295515","36.764924252310962061","7.0990862472222744373","3.1956865097106046392","17.052753079701197692","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:52.189","0","1049309.5198198300786","48.734647000379546","6.1830475318711215493","42.146212644653857637","7.746663406339937552","65.600450761686076362","16.346550715918418462","37.455365021247409629","24.946438025496895818","9.3102792808087535548","26.216879676180905534","90","90","90","90","90","90","90","90"
"10/28/2021 23:32:54.194","2042.4630868179451681","2091482.2009015758522","48.750203579838903067","18.188226444916221425","19.746545941203528685","18.188226444916221425","29.875622667071045413","17.409066696772569571","16.629906948628914165","13.513267956054297869","11.954948459766978175","18.188226444916221425","79","81","79","79","78","77","78","77"
