"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 15:52:59.540"," "," ","52.259728208244716541"," "," "," "," "," "," "," "," "," ","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:01.549","33386469.977928582579","201909.62295754000661","52.274471999209950468","5.1137763597040253316","5.8915322911818668317","23.779918715172087218","2.7805085652705230359","9.0025560170932106274","2.7805085652705230359","4.3360204282261953779","0.44724077083700963797","6.766506469684941294","90","90","78","74","79","77","72","77"
"10/28/2021 15:53:03.541","20646432.261817950755","442206.85241858486552","52.651900228264715054","23.895629870522771654","7.4194260280586288303","31.741441224077128425","12.911493975546672885","23.895629870522771654","11.342331704835807216","20.757305329101029656","30.956860088721693813","20.36501476142331768","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:05.541","15449803.937411975116","270339.56848230399191","52.754760918383205137","21.094109021803951975","0.00045499792975522979077","25.000341248447320197","1.5629478885871073146","30.469066365748030734","0.7817014432584312722","13.281644568517215532","20.312862576475275489","14.062891013845890242","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:08.757","1119015.3898192530032","66217.695898265897995","53.900217603403191902","95.141060230297895828","86.880862621804283208","91.253908414536198279","85.909074667863876584","88.338544552714921565","86.394968644834079896","88.824438529685139088","87.852650575744718253","88.824438529685139088","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:09.547","34642418.065484799445","1955557.6268155677244","53.973622143728107403","26.862669441404740667","26.862669441404740667","36.746092489863556807","32.792723270480031772","38.722777099555329983","22.909300222021212079","22.909300222021212079","84.186523122465885649","36.499010076347474296","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:11.539","33019015.15619359538","1052931.4509468416218","53.848032782284548148","2.7220748339622735656","8.2135706094644049813","28.610554918472310248","6.6445718164637952441","16.058564574467450115","0.36857664446136029213","79.603015690992080522","21.550060349969569984","20.471372424582622074","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:14.138","0","1210395.8367401906289","53.856332053862587372","75.950270238155439984","77.7539999702937763","75.950270238155439984","77.152756726247659458","77.152756726247659458","75.34902699410930893","99.398756755953883157","75.34902699410930893","79.257108080409054196","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:15.552","11585.709073114989224","4474980.1294906642288","53.732691764303638138","2.7760650652270069116","9.4049697198706265766","0.56643018034580050468","6.0905173925488114151","100","0.56643018034580050468","3.880882507667604564","3.880882507667604564","15.895773961917070594","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:17.540","0","4220049.6790821440518","53.54532940628596549","0.17509822267279817609","7.2493038604361519361","1.7471439199535421238","0.96112107131317570108","79.563405935350345999","0.17509822267279817609","1.7471439199535421238","21.397715135962837252","14.127001270766282204","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:19.625","0","365230.15238920529373","53.844543302861168854","100","100","100","100","100","100","100","100","100","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:21.533","64426.510208676249022","6764783.5719110062346","53.857180837974226506","33.662387112055668581","4.9979864814624459513","4.179003606302645224","4.179003606302645224","6.6359522317820607284","4.9979864814624459513","6.6359522317820607284","69.697633619087156376","16.873238171279638209","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:25.280","0","2919755.8568435688503","54.77204980672617296","59.133225657667495057","61.218265164929363209","59.550233559119867266","58.716217756215129953","59.550233559119867266","58.299209854762757743","58.716217756215129953","100","64.397952415141631377","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:25.554","0","19115615.478205766529","54.844416946834982696","8.8601097470102470055","14.556352887822111342","20.252596028633963243","31.645082310257688363","20.252596028633963243","31.645082310257688363","8.8601097470102470055","94.303756859188140993","28.796960739851751754","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:27.546","37019.14352861406951","2700340.8585039041936","54.839041283083858502","1.1511603234539924401","5.8582479270990361897","41.16140495443689673","0.36664572284648144773","0.36664572284648144773","0","0.36664572284648144773","59.205240768409581165","13.507262772575522547","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:31.390","26636.195968320407701","4195733.588929830119","54.922002543444278899","73.170678659423174395","68.292620233863758017","82.926795510542021361","67.479610496270510112","67.073105627473879053","66.666600758677276417","67.073105627473879053","78.048737084982590773","71.341406749838384371","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:31.557","24531.191325924064586","245311.91325924065313","54.910182383589024369","34.721641141211932791","44.047120978181666828","34.721641141211932791","25.396161304242216517","53.372600815151386655","44.047120978181666828","34.721641141211932791","100","46.37852077895956171","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:33.546","0","2667276.6570902261883","54.9045866483134688","1.7880026813729466006","6.5021785526670488053","0.21661072427492378267","0.21661072427492378267","1.0023067028239296405","0.21661072427492378267","1.7880026813729466006","100","13.966290348882704819","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:36.658","22702.16853648319011","5823599.7550109056756","54.972804164274776895","63.847532608561522238","64.851767813879263258","63.847532608561522238","63.847532608561522238","63.847532608561522238","62.843297403243795429","62.341179800584910708","99.49788239734112949","68.115532231161893151","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:37.541","0","0","54.977456772461877677","0.98175178558191911193","11.590849808555292455","2.749934789410823921","2.749934789410823921","2.749934789410823921","6.2863007970686108905","100","6.2863007970686108905","16.674367457284944294","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:39.545","0","5924292.4624706143513","54.995438539189159144","11.879292710575239056","3.3011707620471675284","0.18185368985513816753","0.18185368985513816753","0.18185368985513816753","0","14.21878051471925275","74.265634154415778312","12.951559201868079185","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:42.117","6369.6379760428681038","4567030.4288227362558","54.867145618160051868","77.523100712215907038","78.738068241285319004","76.915616947681215265","77.523100712215907038","76.915616947681215265","77.523100712215907038","77.523100712215907038","100","80.33271215121489206","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:43.541","0","4417739.727691469714","54.86500793017098232","2.3602472784443828679","4.5543990249962025274","2.3602472784443828679","2.3602472784443828679","4.5543990249962025274","1.2631714051684839184","87.93216539396503606","13.331006011203438533","14.839487092279213698","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:45.546","0","3138433.9656205014326","54.882832512930690427","1.0105689160490816114","6.4666792907550396663","1.0105689160490816114","0.2311245768053749039","3.348901933780201734","1.0105689160490816114","1.0105689160490816114","100","14.261122683192118288","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:47.709","0","3879598.136562325526","54.935143062596935692","98.555300173719956547","97.83295026057993482","97.83295026057993482","97.83295026057993482","97.110600347439898883","97.83295026057993482","97.110600347439898883","100","98.01354005038466255","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:49.540","0","5726975.5131511539221","54.94325371807051539","1.869314803019661575","4.4292457212017577461","3.5759354151410627232","3.5759354151410627232","6.1358663333231593384","4.4292457212017577461","1.869314803019661575","100","15.735604545913039587","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:52.952","21606.912735040164989","3870038.1476538605057","54.945422838196492421","58.325745871328891212","59.699622381065296395","57.867787034750087116","58.325745871328891212","57.867787034750087116","57.867787034750087116","57.867787034750087116","100","63.47778424830870847","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:53.550","27401.109156225120387","10576828.134302897379","54.78978006979212978","47.777371508938173861","8.6104001406418042563","8.6104001406418042563","0.77700586698252749329","13.832662989747991134","19.054925838854174458","19.054925838854174458","55.610765782597447071","21.666057263407257238","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:55.540","10295.90263293578937","3702406.5868037096225","54.793678213561349821","0.23860286837237287827","2.5951713045525459655","0.23860286837237287827","2.5951713045525459655","0.23860286837237287827","1.024125680432430574","0.23860286837237287827","96.857908751759751453","13.003346050675347101","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:57.805","26012.972191650063905","5240168.7314957296476","54.808264797275953129","69.671926026708746349","70.774765080282975305","69.671926026708746349","68.569086973134531604","69.120506499921631871","68.569086973134531604","69.120506499921631871","99.448580473212885522","73.118299833670690191","90","90","90","90","90","90","90","90"
"10/28/2021 15:53:59.559","0","4423679.571456041187","54.798236525337728153","2.4976538300312989271","10.403249465434161181","2.4976538300312989271","3.8152531025984370849","9.0856501928670230228","9.0856501928670230228","100","7.7680509202998742069","18.14413886728962666","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:01.549","0","3337025.8856106912717","54.801757413614950565","1.0519528135296107862","7.3343685079086835543","0.26665085173223079806","0","1.0519528135296107862","0","100","1.0519528135296107862","13.714950716961848087","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:04.073","6490.3924049098486648","5473023.3954402301461","54.952747573832226635","84.524273288596589282","83.905244220140446032","84.524273288596589282","85.143302357052718321","85.143302357052718321","83.905244220140446032","99.380970931543870961","83.286215151684302782","86.226601245957937181","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:05.549","0","4324071.1629571001977","55.014520570406347133","1.555919489560197988","6.8486119901214781436","1.555919489560197988","2.61445798967245846","6.8486119901214781436","10.024227490458248013","3.672996489784718932","94.707307499438712739","15.978504859928088777","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:09.403","34277.074733369605383","4692504.9596225367859","55.035771745032576518","51.750403875879833038","69.590590678075542996","63.103250022731650404","52.155862666838828545","53.777697830674810575","51.750403875879833038","61.075956067936672866","61.886873649854656776","58.136381130952109686","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:09.544","0","52777837.431547299027","55.059852207791962542","44.851864165817822538","33.822236998981395573","11.762982665308518548","44.851864165817822538","33.822236998981395573","44.851864165817822538","100","55.88149133265425661","46.230549914268912914","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:11.548","24530.985641348124773","24622976.837503179908","55.031496345771358847","2.5222171986418628897","5.6415062482853217674","1.742394936231006497","0.96257267382013900203","0","6.4213285106961892623","92.981599638302213862","7.2011507731070567573","14.609462266010275755","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:15.035","4698.6726651218941697","3710776.7372800158337","55.052747520397595338","60.115354211219163005","60.115354211219163005","59.667212123704771898","59.667212123704771898","59.667212123704771898","59.21907003619038079","59.21907003619038079","100","64.708812042296344202","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:15.550","0","222652.69030254814425","55.060040823896429174","2.9881775572461966028","39.367610973278864606","21.177894265262530382","9.0514164599183040139","21.177894265262530382","12.083035911254357941","6.0197970085822500863","57.557327681295198829","21.177894265262530382","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:17.535","33020.727439531197888","5877689.4842365533113","55.079877342814555163","0.015826156348619502268","3.9522109533427718375","29.93235061350415549","3.1649339939439413705","7.8885957503369130706","8.6758727097357439817","0.015826156348619502268","55.125213314266694908","13.596351186692157142","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:21.005","4720.3851723666621183","3954502.678150171414","55.08210932721433295","62.633448471053633","64.434246135099243702","62.633448471053633","66.235043799144847299","63.083647887065041004","81.091624527521105392","63.083647887065041004","81.541823943532520502","68.092115669872811168","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:21.537","61663.275010905104864","10744825.670650213957","55.094338197981549854","8.8889064449189536532","3.0107713768492194717","11.827973978953831846","23.584244115093323302","11.827973978953831846","5.9498389108840861184","100","8.8889064449189536532","21.747331608829579608","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:23.538","1068458.4672509431839","3480487.4621827132069","55.100562645844320286","39.08076663212535351","6.2781025109620909319","34.39467175767345708","18.774355509500473715","2.3730234489188428704","0.029976011692889326099","4.7160708861447853124","0.029976011692889326099","13.209619095714153048","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:27.124","24124.702361958585243","5312573.509483139962","55.09597290193102026","57.304111472558830087","59.918145464034807901","57.304111472558830087","100","57.304111472558830087","57.304111472558830087","57.739783804471485951","57.304111472558830087","63.022310131836810854","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:27.552","0","0","55.104209285952201469","5.0585061619074389583","16.013293912456582291","19.664889829306297031","12.361697995606867551","5.0585061619074389583","16.013293912456582291","5.0585061619074389583","100","22.403598452050509593","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:29.542","16468.821015759567672","3262885.1637473646551","55.103046133905429826","1.0521318434418835963","1.8374323843669437828","1.0521318434418835963","3.408033466217075258","0.2668313025168123076","0","0","100","13.322451538915148106","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:32.792","1260.1685696975978317","4361443.419723385945","55.127158028801702017","64.906739998055542173","65.387469587123263182","64.906739998055542173","66.348928765258747831","64.906739998055542173","65.387469587123263182","64.906739998055542173","99.519270410932264781","69.533761523665134519","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:33.549","21645.928157027046836","6899639.6000523706898","55.118607276845402509","5.0524764229611935917","5.0524764229611935917","5.0524764229611935917","2.9883998234603526001","5.0524764229611935917","2.9883998234603526001","9.1806296219628880095","100","16.920923475136163461","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:35.536","0","3272038.9462289656512","55.110370869541156935","4.0486318027003314057","5.6216050518363864796","4.0486318027003314057","7.981064925540481525","0.1161986798601799542","1.6891719289962359163","0","99.213513375431972463","15.256063686037556693","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:38.278","25758.508153069469699","5829635.7002656934783","55.140141363986806766","77.781241625237228732","80.060088638033406028","78.92066513163531738","78.92066513163531738","78.92066513163531738","78.350953378436273056","78.350953378436273056","100","81.413154963419941623","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:39.553","0","3207922.1191675048321","55.149163691128876508","0.70789728491359449336","11.740353142145421472","0","3.159554142076226313","0","1.933725713494904852","0.70789728491359449336","100","14.651697621351523537","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:41.541","18543.620542311360623","6453179.948724353686","55.155105203193400598","1.7512016724064549678","4.1091728322686922326","0.17922089916495576034","3.3231824456479430729","0.17922089916495576034","0.17922089916495576034","0.96521128578570536405","100","13.83580009394660415","90","90","90","90","90","90","90","90"
"10/28/2021 15:54:43.650","7766.3308983124006772","3063817.5393842421472","55.143253587918181324","91.110872171355069327","91.110872171355069327","91.110872171355069327","91.851632823742164646","91.110872171355069327","90.370111518968002429","90.370111518968002429","100","92.129419253604353912","90","90","90","90","90","90","90","90"
