"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 14:53:31.475"," "," ","51.996635005808578001"," "," "," "," "," "," "," "," "," ","40","50","45","40","43","41","40","43"
"10/28/2021 14:53:33.490","20324.281452793133212","2032.4281452793131848","51.813265111253890893","5.4168261245945537041","0","11.619001460686718019","0","3.0910103735599991914","0","2.3157384565484773198","1.5404665395369554481","2.9941026243686219566","39","39","39","39","39","39","39","39"
"10/28/2021 14:53:35.484","35446.214898998907302","6164.5591128693749852","51.809869951524277099","9.8548858689484823969","1.2323097346739864122","14.558109214916381546","2.0161802923353011607","5.9355330806418971079","1.2323097346739864122","2.8000508499966270115","4.3677919653192560645","5.2496450884953471672","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:37.490","28583.179199795598834","457330.86719672958134","55.989307760258512303","15.113705394105670266","3.4321052189825951295","15.892478739113869324","5.7684252540072034066","36.140585709327197605","16.671252084122080817","40.81322577937642393","4.9896519089990043483","17.3526800070416094","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:39.490","0","325697.82353013544343","55.982580328356149835","2.3231597220694122363","6.2302333331866410759","0","77.338973055520114031","12.481551110974198338","5.448818610963190423","4.6674038887397522046","1.5417449998459620275","13.751348784323734975","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:41.487","106611.46021140895027","10870268.50078635104","55.810150377408177746","2.2360630234202982791","9.2750664857340403557","6.9287319982961221854","89.832550554435712797","6.9287319982961221854","4.5823975108582049032","3.0181745192329301197","2.2360630234202982791","15.629721137833318068","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:43.483","0","2258042.157771374099","55.879405293585591608","3.682287238401094065","2.1161455674807871929","3.682287238401094065","93.735433316318776065","7.5976414157018616891","1.3330747320206337569","9.9468539220823224412","2.1161455674807871929","15.526232371822580092","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:45.485","16364.631640222216447","3622720.3293541930616","55.876293046371152684","0.11942720089589409227","4.0210120758608969282","0","96.87873210002800306","7.9225969508259002083","0","0.11942720089589409227","0","13.384815775776903735","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:47.471","16503.49437620563549","3667901.6251117023639","55.888899149347302853","0.84525423100539898158","9.501620925123976491","0.84525423100539898158","100","7.9277360716478728619","1.6321966577434565693","0.058311804267352496112","1.6321966577434565693","15.305322581424995576","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:49.486","430889.26288059935905","4168650.3687174962834","55.892734405559664879","0","4.6327197936995130334","0","96.898625033941442553","8.5094385012727045137","0","0.75600108612632332949","0.75600108612632332949","13.839927964735831978","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:51.482","439429.9959812508896","3597528.4668073919602","57.054223785422330195","1.3580596465203931267","5.2724223589600605067","2.1409321890083266027","31.890088803549797802","67.902225757994742139","0.57518710403245965068","1.3580596465203931267","1.3580596465203931267","13.981878141542258831","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:53.491","0","52993.999759154372441","58.093707579675523789","0","0","0","1.2566793403122611394","36.244470125240994207","63.457196291296668278","0.47917287842496048","1.2566793403122611394","12.724902141170691294","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:55.483","12339.371270473235199","17159952.313471443951","58.464062576755893019","1.9355272126809430766","1.9355272126809430766","1.1510114303823981707","1.1510114303823981707","0.36649564808384216263","100","2.7200429949794990847","2.7200429949794990847","13.997453599845432137","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:57.490","34955.533406021153496","48988.776744204827992","58.526244237675854265","0","0","0","0","0","100","0","0","12.110672258212284547","90","90","90","90","90","90","90","90"
"10/28/2021 14:53:59.481","0","80204.850128031335771","58.586759762509430516","1.148023547934129418","1.9325630435854446176","1.9325630435854446176","0.36348405228281421842","0.36348405228281421842","100","1.9325630435854446176","0.36348405228281421842","13.504518093915985233","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:01.490","0","44862.597342854955059","58.641742439624323424","1.2075542223972224321","0.42966094855783065753","0","0.42966094855783065753","0","100","0.42966094855783065753","0","12.68148250078673378","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:03.485","0","73926.992983362972154","58.69480747699150669","0","0.51598083710309161631","0","0","0","100","0","1.2993195706692106661","12.559810105656222134","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:05.478","35431.012124651213526","100644.61415118315199","58.73573796328523855","2.817353755917417768","0","1.2498917197225400955","0.46616070162509570807","64.732104185615185088","36.51778753410734879","0.46616070162509570807","0","13.201792253647759878","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:07.486","0","108155.82873068556364","58.783836024530188524","0","0.38017912241512519245","0","0","100","0","0","0","12.1516606175851134","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:09.480","0","0","58.800088767614234087","0.46697946430958037212","0.46697946430958037212","1.2507040354567511287","0.46697946430958037212","100","1.2507040354567511287","1.2507040354567511287","1.2507040354567511287","13.300470570803780035","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:11.488","0","14274.49619198241453","58.837938485396549027","0.42965103430442352916","0","0","0.42965103430442352916","100","0","0.42965103430442352916","0","12.389762555086669238","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:13.481","0","32888.349983512161998","58.716655932068050561","0.41640058765300969057","0.41640058765300969057","1.2005234176714951744","0.41640058765300969057","100","1.2005234176714951744","1.9846462476899695559","1.2005234176714951744","13.354427282957937351","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:15.491","0","0","58.735612234737629933","0","0.4790540255426467553","0","0","100","0","0","0","12.238852061715721931","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:17.484","172066.31916667011683","76017.358915424410952","58.781886952645592714","1.24996106427036624","0","1.24996106427036624","0.46623059652647347306","100","0.46623059652647347306","0.46623059652647347306","0.46623059652647347306","13.005918080428656936","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:19.495","0","14260.087848348104671","58.809802694900383813","0","0.52841791194725429293","0.52841791194725429293","0","100","0","0","0","12.37952188486711691","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:21.488","37237.286280598003941","16435.767737643254804","58.8654769721593496","0","0","0","0.46622560403677404395","100","0","0.46622560403677404395","0","12.320153285147494415","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:23.488","9436845.4845595285296","96273.439933643981931","59.235360417337012962","24.207434169921569378","5.4546343769124705503","11.705567641248837418","6.2360010349545191843","12.486934299290886941","3.8919010608283843844","4.6732677188704219162","97.655900025873862091","20.78895379080096717","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:25.488","28676.806232724604342","149529.06107063544914","59.208513530718285267","1.5461714325320841112","0.76479184072678618733","2.3275510243373820352","0","0.76479184072678618733","2.3275510243373820352","0","100","13.364536508379909918","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:27.480","35218.707046071111108","248844.58701165576349","59.248815304424809369","0.36659569797583557715","0.36659569797583557715","1.1511106924799618945","0.36659569797583557715","1.1511106924799618945","0","1.1511106924799618945","100","13.016898729130899071","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:29.487","6120.8216724906124","120376.15955898203538","59.302571941936058408","0.37705789243581699921","0.37705789243581699921","20.612968008034794565","0.37705789243581699921","13.608229891096678799","1.1553621276511605309","0.37705789243581699921","68.089526356170850363","13.121790989373870673","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:31.478","8230.3815613733077043","110081.35338336799759","59.311814317319502265","2.6713462785717401182","1.1015292830648282241","1.8864377808182841711","3.4562547763251960653","100","0","3.4562547763251960653","0.31662078531137227699","14.052519495996818932","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:33.479","0","192354.62506350429612","59.359503690935554232","0.082367100680558191783","0.86297360770648534611","0","0.082367100680558191783","100","0","0.86297360770648534611","0.082367100680558191783","12.572071213095481923","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:35.488","35174.300617307584616","24469.078690300928429","59.381289281738290242","0","0.43193621749488819717","0.43193621749488819717","0","92.999120515292617029","0.43193621749488819717","7.4328157022022782741","0.43193621749488819717","12.683477804934417676","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:37.482","0","78071.940869814352482","59.416309688104384179","0.46621561905587638464","0.46621561905587638464","1.2499462047325993197","0.46621561905587638464","0.46621561905587638464","0.46621561905587638464","100","0.46621561905587638464","13.005904989883475764","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:39.491","0","10191.039190417477585","59.454253702297400253","0","0","0","0","0","0.47906392996035496168","100","0","12.238860795787321223","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:41.484","2055.4789629807537494","0","59.504363699700768109","1.2005333339489165922","0.41641058263105490411","1.2005333339489165922","0.41641058263105490411","0.41641058263105490411","0","100","0.41641058263105490411","12.86436051439857664","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:43.494","0","2038.2390768847067193","59.552556080639497793","0","0","0","0","0","0.4790540255426467553","100","0","12.336039241507080533","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:45.484","0","0","59.567111232217193617","6.5978593974973627212","0.3187238948081039247","1.1036158326442557787","0.3187238948081039247","56.046051481175226172","0.3187238948081039247","39.563320786615939539","1.1036158326442557787","13.171330632702272112","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:47.495","0","42780.406100524909561","59.599396646860846261","0","0","0","0","100","0","0","0","12.28228256904753124","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:49.490","0","20534.571650890826277","59.565665144372189843","0.51667908218511193752","0","0.51667908218511193752","0","100","0","0","0","12.364593016898794531","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:51.483","35183.588268552543013","230105.80356659181416","59.593549431207016198","0.46558656122025476876","0.46558656122025476876","2.0330576389963161965","0.46558656122025476876","100","0.46558656122025476876","1.2493221001082854826","1.2493221001082854826","13.299257264488595354","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:53.492","0","67293.014909578749212","59.620176269584376882","0","0","0","0","61.882453427265929236","0","37.767270901658648086","0","12.096270148592836335","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:55.485","0","141835.56471179888467","59.640232836743869882","0.41641058263105490411","0.41641058263105490411","1.2005333339489165922","0","0","1.2005333339489165922","100","0","12.668327317376304464","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:57.479","45433.261374608831829","127315.80588590950356","59.660823843362933872","1.2993245188971824788","0.51598582460271602557","0","0.51598582460271602557","0.51598582460271602557","0","100","1.2993245188971824788","12.853572766424392171","90","90","90","90","90","90","90","90"
"10/28/2021 14:54:59.486","0","171457.83913409165689","59.675504746771302678","2.6666630785705303097","0","0.33066299245623209657","0.33066299245623209657","0.33066299245623209657","0","100","0","12.789330118399199421","90","90","90","90","90","90","90","90"
"10/28/2021 14:55:01.480","0","26709.119292272542225","59.702854617429636619","0.46622560403677404395","0.46622560403677404395","0.46622560403677404395","0.46622560403677404395","1.2499561110916102002","2.0336866181464352543","100","1.2499561110916102002","13.299813911028401492","90","90","90","90","90","90","90","90"
"10/28/2021 14:55:03.484","0","108292.79860970500158","59.719704664247039716","1.0109343290762407008","0.23149286710046901305","1.0109343290762407008","0.23149286710046901305","0.23149286710046901305","0.23149286710046901305","100","0.23149286710046901305","12.897414129994178467","90","90","90","90","90","90","90","90"
"10/28/2021 14:55:05.494","35413.616238870738016","22420.131144033271994","59.735077167799474296","0","0","0","0.4790540255426467553","0","0","100","0","12.336044217554375635","90","90","90","90","90","90","90","90"
"10/28/2021 14:55:07.485","0","90533.442226910497993","59.791380180928712207","1.1015392192238460112","0.3166308003287876538","0.3166308003287876538","0.3166308003287876538","1.1015392192238460112","0.3166308003287876538","100","0.3166308003287876538","12.973277799157989065","90","90","90","90","90","90","90","90"
"10/28/2021 14:55:09.495","2037.1277473559737246","173155.85852525776136","59.77572474157803839","2.8616914611292565418","0.53037205619635985343","0.53037205619635985343","69.692847735872319959","0.53037205619635985343","0","30.837524320324028793","0.53037205619635985343","13.158349679508862806","90","90","90","90","90","90","90","90"
