"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 17:45:14.274"," "," ","46.494974020518128555"," "," "," "," "," "," "," "," "," ","75","74","74","74","74","74","74","74"
"10/29/2021 17:45:16.290","4064.7772266886363468","0","46.491924614294418916","31.015835812505343938","9.3129526973384830768","32.566041749302975461","11.638261602534939243","21.714600191719547695","10.863158634136116376","17.063982381326646021","26.365218002112445816","20.067507624036817759","39","39","39","39","39","39","39","39"
"10/29/2021 17:45:18.281","0","1221763.9968934457283","45.798201031470256339","37.232841002802274488","25.463998690827704507","40.37119895266216929","19.187282791107929114","23.894819715897764212","16.04892484124804497","26.248588178292674655","19.187282791107929114","25.954365865150130332","90","90","90","90","90","90","90","90"
"10/29/2021 17:45:20.271","0","148182.23371834191494","46.443257398540907843","67.810258981634930819","65.454912077852128505","65.454912077852128505","61.52933390488076526","65.454912077852128505","50.537715020560995072","59.173987001097948735","58.388871366503678928","61.725615325899362063","90","90","90","90","90","90","90","90"
"10/29/2021 17:45:22.279","38770.551458586065564","3044508.5671689691953","46.671592920709301211","38.506047293513830709","18.267531212898123982","29.943598182484109316","18.267531212898123982","16.710722283619993789","12.040295495785603208","19.045935677537194408","19.824340142176254176","21.575747696719872692","74","74","74","74","74","74","74","74"
"10/29/2021 17:45:24.294","2032.6921006934924208","2264419.00017255079","46.676860085380461385","36.417629553949261378","17.80815527705635759","30.989866223188833771","11.604997184758737205","19.358944800130771569","20.134339561667978558","20.134339561667978558","20.134339561667978558","22.072826465510985372","74","74","74","74","74","74","74","74"
"10/29/2021 17:45:26.283","35260.756116605611169","4799580.8763683317229","46.705413574051441117","34.016714056491046847","14.37883133520861989","46.584958998111794415","22.23398442372158712","12.807800717506022892","7.3091935555469440544","13.593316026357316062","20.662953806018990122","21.448469114870295726","74","74","74","74","74","74","74","74"
"10/29/2021 17:45:28.279","73887.552781476319069","5906899.3584746904671","46.346046134444428333","20.928926346970257555","15.448752925473153041","34.237918942034674785","26.40909976846737095","22.494690181683719032","12.317225256046226534","38.15232852881832315","22.494690181683719032","24.06045401639718051","90","90","90","90","90","90","90","90"
"10/29/2021 17:45:30.281","59325.967232172224612","5408891.6331677027047","45.914016698001418604","36.786319103510258799","22.738834459845868707","35.22548747643643452","23.5192502733827844","21.958418646308963673","21.178002832772047981","23.5192502733827844","20.397587019235142947","25.665396257939889324","74","74","74","74","74","74","74","74"
"10/29/2021 17:45:32.275","16431.286778655954549","2668030.1906842608005","46.149128686205749261","36.530938700709270961","41.232350648804882098","36.530938700709270961","32.613095410629590276","32.613095410629590276","25.560977488486180675","29.478820778565850702","28.695252120549920249","32.906929896256009727","43","43","43","44","43","43","44","43"
"10/29/2021 17:45:34.284","554522.82881341455504","3718564.8520428976044","46.154457434582162989","28.460441834283233931","19.129195117015829197","11.35315618595965681","5.909928934220332053","7.4651367204315643988","5.13232504111471588","16.018779544593353847","17.573987330804584417","13.880371326885365235","39","39","39","39","39","39","39","39"
"10/29/2021 17:45:36.279","65442.683968076242309","1584996.14190917206","46.107761549322809458","20.109197881308460865","9.9270368269654181148","21.675684197361235306","9.9270368269654181148","13.060009459070975879","3.6610915627543150208","10.710279984991810664","17.75946840722929565","13.353726896519923173","39","39","39","39","39","39","39","39"
