"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 18:30:30.848"," "," ","50.353853858624084694"," "," "," "," "," "," "," "," "," ","39","39","39","39","39","39","39","39"
"10/29/2021 18:30:32.843","53384.961788717046147","69811.103877553061466","50.132695178066541075","24.814310142474372611","11.50017756353754983","27.163862950522055684","10.716993294188325692","24.031125873125148473","10.716993294188325692","16.982467448982120573","20.115204526379027783","18.255140633579781451","39","39","39","39","39","39","39","39"
"10/29/2021 18:30:34.857","0","0","49.407738318994582016","28.628224545783819366","20.870422865977712235","40.264927065492969405","9.2337203462685479849","24.7493237058807658","9.2337203462685479849","25.525103873861375803","23.973543537900155798","22.809873285929239017","39","39","39","39","39","39","39","39"
"10/29/2021 18:30:36.841","1005344.8154121234547","747299.43157944292761","49.759189633130837649","51.173107977464880491","22.822009383734819465","37.785089197092347035","33.847436614629842211","34.634967131122337491","29.122253515674835","28.334722999182325509","25.972131449704825457","32.961466043624596978","90","90","90","90","90","90","90","90"
"10/29/2021 18:30:38.848","32653.443556642407202","1432669.8360476854723","49.794889183201568983","48.617198502537007698","14.361997504228341427","24.482852344637716868","13.583470208812231661","26.039906935469925742","16.69757939047665829","13.583470208812231661","21.368743162973292016","22.341899790956077254","90","90","90","90","90","86","90","90"
"10/29/2021 18:30:40.837","4118.4850751922658674","5273720.1387836961076","49.816543015143025741","34.801091988388343168","36.372150012764535632","18.304982732438411119","9.6641635983694023082","15.948395695874140188","10.449692610557493211","14.377337671497947724","8.8786345861813114055","18.599557368855368367","90","90","90","90","90","90","90","90"
"10/29/2021 18:30:42.852","0","3279039.9115537172183","49.540525919185142811","28.658066923944293336","23.229876363809609074","19.352597392284842215","44.167182810043357222","8.496216272015500337","6.1698488891006375567","19.352597392284842215","16.25077421506503228","20.709642550859975074","90","90","90","90","90","90","90","90"
"10/29/2021 18:30:44.843","6429.6945799633740535","7499852.9458524780348","49.4632744112664966","50.552197891071017466","5.8137102687067070406","16.017224989596812179","14.447453494075258362","29.360282701530028504","8.9532532597498164506","12.877681998553702769","6.598596016467483949","18.077553844920434045","90","90","90","90","90","90","90","90"
"10/29/2021 18:30:46.847","24522.953173842004617","4342606.291201188229","49.484065791937538847","15.023725500576057712","29.836103624328856654","29.056504775710280342","16.582923197813194349","25.158510532617441413","18.921719743668894864","25.938109381236007067","15.023725500576057712","21.942661539991370034","74","74","74","74","75","74","74","74"
"10/29/2021 18:30:48.838","39096.989360006336938","5720506.8642535591498","49.551245046209366762","27.780861360555320516","19.930954986702630549","35.630767734407996272","15.221011162391029359","26.995870723170046546","15.221011162391029359","19.930954986702630549","15.221011162391029359","21.991559177794030688","43","44","44","43","44","42","43","44"
"10/29/2021 18:30:50.845","0","3152581.3568217330612","50.109994073889687627","20.612022898805093973","1.1541853740024254904","22.946963401781417247","5.0457528789629613186","18.277082395828781358","5.0457528789629613186","12.828887888884032975","27.616844407734063793","14.190934025017011066","39","39","39","39","39","39","39","39"
"10/29/2021 18:30:52.837","0","3740260.5121759884059","50.221928709703945515","30.184468135802177358","3.5133660753220996575","26.262247244555105397","4.297810253571521244","11.357807857816236918","12.926696214315070321","11.357807857816236918","21.555582175058617622","15.181974481892822837","39","39","39","39","39","39","39","39"
"10/29/2021 18:30:54.843","0","1568209.5540435984731","50.216476747350881737","17.429806361741150056","9.6401654524714501804","23.661519089156911377","4.9663809069096291893","11.198093634325390511","6.5243090887635695196","11.977057725252359788","16.650842270814180779","12.756021816179330841","39","39","39","39","39","39","39","39"
