"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 18:25:44.129"," "," ","51.397149812289775639"," "," "," "," "," "," "," "," "," ","39","39","39","39","39","39","39","39"
"10/29/2021 18:25:46.120","26760.308985881383705","605194.68014224048238","51.39755023443083104","34.85128233775124329","18.367871844893123523","30.926660791832649267","17.582947535709415376","27.786963555097766942","15.228174608158251857","18.367871844893123523","24.647266318362891724","23.469879854587304635","39","39","39","39","39","39","39","39"
"10/29/2021 18:25:48.129","32621.797260129413189","177381.02260195367853","50.065577530783031079","33.111235256658474668","15.222379569485744","29.222353585533966225","20.666813909060056886","22.222366577509856","12.111274232586133337","29.222353585533966225","28.444577251309066668","23.777919245959655115","67","64","68","75","61","63","62","65"
"10/29/2021 18:25:52.567","383857.88146374834469","276820.58759404928423","49.546409107173424502","83.453978752869687696","76.061075642449765155","83.806021758127783983","78.525376679256396528","77.117204658224039804","76.765161652965943517","77.117204658224039804","76.765161652965943517","78.701398181885437566","90","90","90","90","90","90","90","90"
"10/29/2021 18:25:54.129","1995193.0807422269136","1427433.8792356026825","49.942523369086558205","34.962800803249841408","17.953071782561323744","45.969096051930634417","28.959367031242123858","33.962228507915213527","25.957650145238275741","22.955933259234416965","22.955933259234416965","29.209513306907119556","90","90","90","90","90","90","90","90"
"10/29/2021 18:25:56.121","928918.38132478971966","4627375.4386989800259","50.076820270641896116","36.482515772661685105","25.504185165467408325","29.425017525179654854","41.187514604316376676","20.799186333812713201","12.957521614388234354","17.66252044604291882","23.935852221582511135","25.994287955765081222","69","69","69","69","69","69","69","69"
"10/29/2021 18:25:58.133","5852603.7609410751611","4821767.6631846455857","50.187461206267457214","36.306017459483797438","14.556852689551424973","44.850332190528654053","48.734111613730860313","17.663876228113196021","10.673073266349220489","14.556852689551424973","20.770899766674954634","26.013999502379114404","90","90","90","90","90","90","90","90"
"10/29/2021 18:26:00.118","981170.77400814078283","9256269.6724825799465","50.278635264904849578","30.751099760670761896","21.308067909853146915","49.637163462306013173","44.915647536897196801","40.98105093238984864","18.160390626247270518","25.242664514360480865","31.538019081572233659","32.816766755249858534","84","84","90","84","88","84","84","84"
"10/29/2021 18:26:02.128","1893154.1079188880976","18922879.09026824683","50.276017084316350747","41.684531416082457156","31.576516861536752856","36.241754348250154294","9.8054085902075307501","24.578660631466643594","18.358343982515435755","16.025725239158738589","18.358343982515435755","24.578660631466643594","90","90","90","90","90","90","90","90"
"10/29/2021 18:26:04.115","130138.76619732119434","7069498.5605764603242","49.875005299662007019","36.298190654702345626","17.423580478317855835","37.871074836067720071","26.860885566510095401","33.93886438265428751","33.93886438265428751","24.501559294462037286","15.85069629695248139","28.335460711618097207","76","75","76","77","76","77","75","75"
