"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 17:49:29.767"," "," ","46.825110294582579229"," "," "," "," "," "," "," "," "," ","74","74","74","74","74","74","75","74"
"10/29/2021 17:49:31.762","4107.3383073975710431","0","46.25604258530215418","25.593753699948496916","8.3628335041471046907","34.992437443112898166","9.9292807946745007541","23.244082764157404597","6.0131625683560008255","16.978293602047799027","20.894411828366298067","18.251035785074808615","39","39","39","39","39","39","39","39"
"10/29/2021 17:49:33.776","24406.952565143303218","268476.47821657633176","46.041321532344753109","27.846712528640971129","12.329876513294946605","33.277605134012091526","13.881560114829550656","30.950079731710179232","12.329876513294946605","15.433243716364152931","23.19166172403717141","21.155073272982360066","59","59","59","59","59","59","59","59"
"10/29/2021 17:49:39.303","86688.327774610501365","591999.77685396396555","47.509254456383473553","83.322090198405746264","74.841797078951046274","84.735472384981534333","73.14573845506011196","80.778002262569330583","76.820532140157155254","79.64729651330870297","75.12447351626620673","78.551926675559386126","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:39.768","35359.757039794407319","5312803.4952291091904","47.522068104595426519","19.187217357292706055","19.187217357292706055","19.187217357292706055","19.187217357292706055","89.898402169661579819","9.085619526954291203","12.452818803733766373","19.187217357292706055","25.921615910851649289","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:41.767","2048.7434890121626268","2122498.2546166004613","47.516554535254037717","24.191747100317130048","20.284105198271628723","21.847161959089824279","11.687293013771505201","24.973275480726229603","36.696201186862765553","14.813406535407914077","11.687293013771505201","20.772559185581908281","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:43.754","2061.3115376478222061","4751323.0942782294005","47.563897293890796902","20.582459876686108657","5.6425265861617113217","52.034951014632198962","4.8562143077130581759","23.727708990480710582","32.377144053415896963","15.864586205994191559","4.8562143077130581759","19.992723151650327651","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:45.757","2044.9641484733838297","3325111.7054177219979","47.544769208772287072","32.909003689093609069","8.7250399026040916794","31.348747960933000201","21.207085727889008808","7.9449120385237881337","16.526318543407157335","15.746190679326854678","11.84555135892532185","18.28160873399702524","84","84","84","84","84","84","84","84"
"10/29/2021 17:49:47.761","16349.026163231614191","6416992.7690684087574","47.573415107925754342","25.165567440316671366","22.826991422826569789","20.488415405336468211","44.653700919400876046","10.354585996212684051","13.472687352866152821","8.016009978722571816","7.2364846395592046235","19.026804147164611436","74","74","74","74","74","74","74","74"
"10/29/2021 17:49:49.771","0","3669156.6150298365392","47.597194287832174098","23.791541635026160151","4.3506083786552851578","20.680992314006818589","47.898298872926048375","16.792805662732646965","11.349344350948797455","22.236266974516492922","3.5729710484004417737","18.834102410431853514","76","78","76","83","78","77","83","75"
"10/29/2021 17:49:51.758","0","6984824.4724552845582","47.603693522420641671","19.810114376060294461","34.747446011892201057","18.237763677551676267","43.395374853689631323","16.665412979043058073","6.4451334387370167178","14.306886931280127229","13.520711582025812802","20.891106739165532957","74","74","74","74","74","74","74","75"
"10/29/2021 17:49:53.759","2047.036971456778474","3146295.8251290684566","47.622390358620883433","32.840666624417714559","16.441294521077864488","60.953875944428915545","14.87944955885501841","7.0702247477407942355","3.9465348232951114049","11.755759634409324477","7.8511472288522181628","19.467370384860593902","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:55.765","0","6374121.5589861152694","47.637452568774449446","34.582732532841966133","46.264387437691610216","21.343523640679016751","9.6618687358293708911","35.361509526498601019","8.1043147485160833554","15.892084685082519258","11.998199716799307524","22.901077627992304286","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:57.771","35233.222631122276653","3159756.2556722415611","47.66015367295131","20.526890633482587134","50.913667744209831767","36.109853254368353248","2.606483619463950685","12.735409323039704077","6.5022242746853979867","4.94392801259682102","4.1647798815525272076","17.312905839561910426","90","90","90","90","90","90","90","90"
"10/29/2021 17:49:59.767","0","3220709.1147332047112","47.682947187610658091","44.440727276952344482","37.398002565580100054","17.834878367323881321","11.574678623881895945","18.617403335254135044","10.792153655951642222","12.357203591812137233","10.009628688021388498","20.378082009017294496","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:01.767","2048.1990849510571024","6089295.8795594936237","47.685134119280874643","37.490758008571567927","23.42617856050016556","8.5802335875359130313","35.928026958785849843","17.175254361357328747","3.8920404381787898629","10.9243301622144795","7.0175025377502091573","18.05428932667695463","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:03.766","0","2623349.0110753593035","47.71205511589349868","28.853405867207872149","39.799035733791278346","24.944252343428086505","13.216791772088720691","28.071575162451910757","4.616654019773191564","21.035098819648290203","9.3076382483089368236","21.230558997695535339","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:05.770","8175.9428570259442495","5347066.6284949677065","47.725238382752344535","61.795121552017519662","15.793329135059019919","18.91209472264942093","10.335489356775806158","19.691786119547028733","5.6573409753901904296","11.894872150571011105","3.3182667846973878945","18.424788847094653477","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:07.767","51251.305118989359471","2644567.3441398511641","47.712517145022872","29.615369831002812617","40.564090079513484","34.307678508935957495","18.66664958249213413","11.628186565592423918","3.02562065604832231","10.846135119270227776","13.192289458236805544","20.230752475136515756","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:09.762","0","4808985.9679723847657","47.709005709669789042","18.53822790417108024","65.535404113303144413","19.321514174323283441","12.271937742953465289","12.271937742953465289","3.6557887712792558332","10.705365202649064216","9.1387926623446631424","18.929871039247181841","90","90","90","90","90","90","90","90"
"10/29/2021 17:50:11.768","0","2091589.6265471605584","47.735741885317430899","20.523296061855145211","61.040831402870168176","7.2771787388310027467","10.393912226601386806","8.056362110773596541","10.393912226601386806","32.211046640994091206","5.7188119949458044999","19.451917678740670681","85","84","84","84","84","84","84","84"
