"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/31/2021 18:14:49.053"," "," ","47.76180040737656185"," "," "," "," "," "," "," "," "," ","39","39","39","40","39","39","39","39"
"10/31/2021 18:14:51.068","36590.464324892833247","117902.60726909911318","47.801596635906392407","27.90523126835890011","7.7497045261796575488","41.083844907476084529","6.9744919591727683184","28.680443835365785787","6.1992793921658684297","24.029168433324421983","20.928318165296854403","20.443811551257653036","39","39","39","39","39","39","39","39"
"10/31/2021 18:14:53.057","971186.36047350207809","111228.130361758449","52.274083940376080193","30.070716012004528039","6.4990472520060516004","21.42777080000508505","5.7133249600061049023","27.713549136004679951","20.64204850800513924","16.71343704800539598","42.642272684003714289","21.42777080000508505","90","90","90","90","90","90","90","90"
"10/31/2021 18:14:55.068","16296.106136746153425","6995103.5591982863843","52.99515974544807051","7.5310722949242459023","0.53762398109499232035","9.0851719202196363767","1.3146737937426822285","1.3146737937426822285","2.0917236063903832388","1.3146737937426822285","96.114750936761510047","14.913045515077349989","90","90","90","90","90","90","90","90"
"10/31/2021 18:14:57.062","0","4107.1365006214346067","53.390041937443896813","19.314573320924676381","5.9975611505918564603","22.44798794923827856","29.498170862943894122","9.1309757789054586397","2.0807928651998541802","25.581402577551880739","40.46512206204151596","19.314573320924676381","90","90","90","90","90","90","90","90"
"10/31/2021 18:14:59.067","0","51081.47310388340702","53.780242207874593419","2.5651317641187443286","0","82.071984244597857128","17.375231735972697322","1.7856528182316977471","0.22669492645759348193","1.7856528182316977471","0.22669492645759348193","13.088097533593924027","90","90","90","90","90","90","90","90"
"10/31/2021 18:15:01.062","0","65696.16067009762628","54.031586869161486675","13.069692056072257813","6.0212887092673028633","48.311708790097021904","6.0212887092673028633","37.347525806178204277","7.5876005641128507762","19.33493947545443703","0.53919721730789627046","17.279151406821213754","90","90","90","90","90","90","90","90"
"10/31/2021 18:15:03.068","0","236868.38553647947265","54.259152350541938858","0.29584714755143126652","0.29584714755143126652","24.44294666650381842","73.516084398568352754","2.6326632300306962442","4.1905406183502025286","0.29584714755143126652","1.8537245358709375509","13.440438857799197336","90","90","90","90","90","90","90","90"
"10/31/2021 18:15:05.061","91469.653856371893198","135662.85740495607024","54.332368810272853921","24.725311369985782051","6.6907505523782102586","37.271092808321483858","8.2589732321701738726","28.645868069465684869","20.80475467050587568","24.725311369985782051","24.725311369985782051","21.980921680349851499","90","90","90","90","90","90","90","90"
"10/31/2021 18:15:07.067","0","65347.720148707543558","54.309298087449121795","5.739945602507024347","67.281634010787556122","3.4029194604204282548","3.4029194604204282548","4.1819281744492897701","1.0658933183338215045","15.867058884882300873","22.099128597113249839","15.380179685028206649","90","89","89","90","89","90","89","89"
