"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 11:28:21.941"," "," ","46.007849123796411561"," "," "," "," "," "," "," "," "," ","90","90","90","90","90","90","90","90"
"10/29/2021 11:28:23.927","4125.0170197235429441","0","45.997107947710233589","14.239597983937546388","0.86412244014798522684","18.960354058216211115","3.2245004772873175902","18.17356137916976877","0.077329761101541105717","6.371671193473105177","3.2245004772873175902","8.1419522035910301128","39","39","39","39","39","39","39","39"
"10/29/2021 11:28:25.933","0","53097.688408768037334","45.95121840153616688","11.97467921890499376","4.1848278223479145055","18.98554547580636509","2.6268575430364982104","15.869604917183533388","2.6268575430364982104","4.963812962003622431","5.7427981016593303565","8.3718741943735626165","39","39","39","39","39","39","39","39"
"10/29/2021 11:28:27.941","0","252965.57339482553652","45.93477883514361082","15.175781678984867185","5.0591317874876473581","14.397577841177389146","1.9463164362577334288","12.062966327754953255","1.1681125984502549464","4.2809279496801693199","7.3937433009100832493","7.6855709852140297045","90","90","90","90","90","90","90","90"
"10/29/2021 11:28:29.940","952171.29220845247619","274610.6067386228242","45.98659368836940331","11.659840364547102709","4.6238984466791643868","15.568696985584839609","10.878069040339555684","15.568696985584839609","0.71504182564142704237","10.878069040339555684","3.8421271224716169179","9.2168062272326327644","68","90","90","90","90","90","90","90"
"10/29/2021 11:28:31.950","3401817.5171112623066","495143.25046902470058","46.052351884090427347","17.602712292351995416","9.0520503604262554376","9.8293832633285944667","17.602712292351995416","19.157378098156673474","2.833387137207543649","11.384049069133272525","5.1653858459145602922","11.578379807393568868","39","39","39","42","39","45","39","39"
"10/29/2021 11:28:34.176","1276698.9100857824087","647547.57399163604714","46.89765243020319474","71.924141455968211289","63.501383892758667571","67.010866210762642936","77.539313164774554821","67.712762674363432325","63.501383892758667571","71.924141455968211289","63.501383892758667571","68.326923203048465894","90","90","90","90","90","90","90","90"
"10/29/2021 11:28:36.014","24513.43236094070744","592779.36436456616502","47.007661277197222205","95.748807611955186303","97.44928456717310894","96.599046089564140516","96.599046089564140516","96.599046089564140516","96.599046089564140516","96.599046089564140516","95.748807611955186303","96.492767640244593963","90","90","90","90","90","90","90","90"
"10/29/2021 11:28:38.012","0","272574.73417023563525","47.126797597652021921","96.874279365107625495","97.655709523830708463","99.218569841276902821","99.218569841276902821","98.437139682553805642","98.437139682553805642","97.655709523830708463","99.218569841276902821","98.339457161848670808","90","90","90","90","90","90","90","90"
"10/29/2021 11:28:40.649","27577.510446161741129","449008.47994032356655","47.26960988418888121","97.628819142448222124","97.036023928060259891","97.628819142448222124","97.036023928060259891","97.036023928060259891","96.44322871367232608","97.628819142448222124","97.628819142448222124","97.258323081928082843","90","90","90","90","90","90","90","90"
