"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/31/2021 18:19:48.934"," "," ","48.005259746686853362"," "," "," "," "," "," "," "," "," ","44","44","44","44","44","44","44","44"
"10/31/2021 18:19:50.937","288093.02631183469202","337429.27660303621087","47.978615981521691936","48.523553176155417077","17.325706616249615166","50.863391668148352665","22.005383600235482788","41.504037700176610315","20.445491272240200686","37.604306880188389073","28.244952912216646723","33.314602978201335759","39","39","39","39","39","39","39","39"
"10/31/2021 18:19:52.952","19413329.668650370091","1663469.5021886320319","52.179552487139488903","23.979216501134569484","20.876327378731897255","16.99771597572855697","36.390772990745247739","33.287883868342582616","8.4647708891212083415","23.203494220533894321","7.6890486085205438371","21.361152562951659206","44","44","44","44","44","44","44","44"
"10/31/2021 18:19:54.941","1567048.2765367720276","25109837.955439418554","53.011854470943063689","12.811894631776510778","0.24423980392447308674","51.300337542073371822","29.306941593332304308","22.237635752665539712","4.9571103643689884422","6.5280672178504968173","21.452157325924780196","18.604799285755035498","82","83","84","80","84","83","83","85"
"10/31/2021 18:19:56.935","8213.7730696530361456","172489.23446271376451","53.729973280273831904","18.534266517879327552","5.2177523909942120639","23.234212680309362042","12.267671634639265577","34.984078086384464257","27.150834482334396114","18.534266517879327552","10.701022913829261185","18.828014406350177978","84","84","84","84","84","84","84","84"
"10/31/2021 18:19:58.944","0","20390.068583011197916","54.417536443662250178","8.9973331769601543328","1.2193274655892261116","10.552934319234342553","9.7751337480972537719","5.8861308924117894392","13.664136603782717216","66.554575441105015443","18.330940030605269442","16.872562715242310105","79","79","79","79","79","79","80","79"
"10/31/2021 18:20:00.941","67684.758916360835428","149726.89093619215419","54.69004212755012162","19.410756993318557306","13.15139831318796837","22.540436333383862433","23.32285616840018605","35.841573528661371029","17.063497488269586455","19.410756993318557306","16.281077653253262838","20.877795435845904137","74","75","74","74","74","74","74","75"
"10/31/2021 18:20:02.928","1111524.1532796300016","53592.263301382248756","54.774932552775126737","5.6408646014345587005","7.9998429863986970645","3.2818862164704198925","27.657996194433167148","26.871670066111786213","8.7861691147200779994","5.6408646014345587005","44.170844889182113491","16.256267333773177342","74","74","74","74","74","74","74","75"
"10/31/2021 18:20:04.943","0","4066.8960716425053761","54.854956258753077236","12.343478032065469563","1.4833779652417167227","8.464870865342700057","54.232435432671351805","31.736513865679306434","3.034820831930828966","13.894920898754580918","11.567756598720912109","17.094770570146565092","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:06.934","0","51427.995733485258825","54.904978758400538652","5.8373652099548039018","1.1292334704525397449","30.947401153966858089","16.823005935460077609","2.6986107169532980166","67.043077823484182431","5.052676586704429873","1.1292334704525397449","16.332576801430388258","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:08.939","0","0","55.174619833746604058","21.291057576866311507","1.8086460859916386745","47.787137204455866879","25.187539875041242254","15.83598235942140775","25.966836334676234088","11.160203601611485169","14.277389440151432964","20.414345319153948566","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:10.930","0","20575.586975633348629","55.214847311194716895","8.9535322437863218425","1.1046988165265281268","2.6744655019784846495","5.0291155301564245406","1.1046988165265281268","100","2.6744655019784846495","2.6744655019784846495","15.526931494929751665","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:12.944","0","28467.526298853226763","55.234129390500982026","10.796663056749833842","2.2641699578302421081","23.207562109723767207","33.291417590265091064","5.3668947210737343312","23.98324330053463882","19.329156155669412698","9.2453006751280870645","15.935549704781948321","90","78","90","90","90","78","90","83"
"10/31/2021 18:20:14.930","0","0","55.226367282501044542","10.286634015450390578","12.647512067675382497","43.338926746600250794","21.304064925833678501","29.173658433250302835","3.9909592095170864923","1.6300811572920959058","2.4170405080337631354","15.598612151226543432","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:16.940","8150.8836823527390152","165055.39456764297211","55.248175131913313862","10.605533181061954195","65.019556462154682208","3.6094444734928954333","22.265681027010398196","2.0547580940331044985","0.50007171457331356379","9.0508468016021641489","0","14.006410879879361175","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:18.937","71507.556579863565275","217341.96408503336716","55.291236367842934385","10.054638725368047147","1.4511693860554286672","6.1439708438623119591","7.7082379964646063897","16.31170733577722487","84.357328473977048588","3.0154365386577230979","3.0154365386577230979","16.507238227025066379","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:20.945","0","71385.890132653468754","55.313321448702666316","4.2965144585153431933","0","19.079979704760940962","21.414211059431298878","1.1842059856215336744","62.652298325274280444","1.1842059856215336744","0","13.633439877196773082","90","90","90","90","90","90","90","90"
"10/31/2021 18:20:22.931","0","53631.735064385684382","55.345078337785103884","11.083897922778850997","0.067743683123133724422","28.394997442237833951","19.739447682508338033","16.591975042606708968","3.2152163230247610137","3.2152163230247610137","48.853569601598458405","16.395260520590969833","90","90","90","90","90","90","90","90"
