"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/29/2021 12:22:01.687"," "," ","48.973448353114875431"," "," "," "," "," "," "," "," "," ","44","44","44","44","44","44","44","44"
"10/29/2021 12:22:03.702","50823.037904407327005","128074.05551910646318","49.024279846116961323","5.3953321250404524534","0.74264354102604457353","11.598916903726319561","2.2935397356975140148","10.048020709054849675","1.5180916383617737431","6.170780222376182067","3.0689878330332431844","5.1045428106904155996","39","39","39","39","39","39","39","39"
"10/29/2021 12:22:05.688","0","33002.353008951868105","49.023422563686828823","10.295439609001421744","1.6397364133787561968","18.951142804624097948","3.2135006307646984958","22.098671239395972776","0.065972195992813897902","4.7872648481506407947","6.3610290655365826495","8.4265933418442457992","39","39","39","39","39","39","39","39"
"10/29/2021 12:22:07.694","0","16330.021929014737907","49.183128273390032348","6.5631768719195404671","0.33405533004751131188","7.3418170646535436674","7.3418170646535436674","12.792298413791570511","0.33405533004751131188","4.2272562937175290898","2.6699759082495222451","5.2005540429864165475","39","39","41","39","40","39","42","42"
"10/29/2021 12:22:09.679","39209.05762281484931","6174394.7582874754444","51.772634953207486319","25.21394542581661824","3.1717398671099350516","18.916172409043273461","14.192842646463276424","25.21394542581661824","10.256734510979937269","37.809491459363286481","15.767285900656613506","18.817770965210801393","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:11.685","321926.13178651570342","36762.381425264284189","51.758615940753053053","17.415882248436066249","5.7294504911392767355","21.311359500868320538","13.520404996003797748","25.206836753300589038","4.1712595901663762632","36.893268510597366117","21.311359500868320538","18.194977698922510712","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:13.698","0","105775.04785134996928","52.215897699868285997","24.733392952349021243","0","1.4550608757559313489","34.820670185539356112","2.2310052783090394968","32.492836977880045879","14.646115719158681046","5.334782888521449884","14.452132101542492393","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:15.686","24729.160052786934102","453367.93430109380279","52.594234294396414953","21.385704625589674777","13.524275088148641544","7.2351314581958092731","41.82542142293635834","5.6628455507076065345","2.5182737357311912874","26.102562348054291874","1.732130781987084589","14.9982893529326482","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:17.687","82131.066093740126234","6140.6404556067382146","52.608455008037488199","10.204097746515772727","21.135772803461673419","10.984931679154763984","58.615801570133349685","2.3957584201258375067","0.83409055484784389023","14.889101342349730928","1.6149244874868462496","15.084312324178061004","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:19.689","1545057.2586684892885","120739.57385621307185","55.948860886494834688","24.281248257688105241","1.6436833038010467689","12.572162936712039993","73.45940660578757786","11.010951560581894171","2.4242889918661192361","7.8885288083216149602","3.9855003679962530683","17.158222603063432388","90","90","90","90","90","90","90","90"
"10/29/2021 12:22:21.696","36730.362087100402277","56560676.462791606784","56.72192321082621902","5.0290629750103787998","6.5859635819774169363","19.819618741197288614","64.969736343241521581","9.699764795911502091","0","5.8075132784938920949","0.35836115410924351821","13.981241465070869623","90","90","90","90","90","90","90","90"
