"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/26/2021 18:37:06.156"," "," ","53.371610574743620248"," "," "," "," "," "," "," "," "," ","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:08.162","26538.198025055291509","34703.79741737999575","53.661362047694005639","6.5465371828650535946","0.31630632838939298779","14.334325750959632018","1.8738640420082997018","4.9889794692461357783","1.8738640420082997018","3.431421755627217518","5.7677583260555937983","4.8916283740064407937","75","52","65","90","81","90","82","48"
"10/26/2021 18:37:10.160","0","77914.552292674547061","53.664631455592960663","7.7107926790719760746","0","5.3644568997263437637","1.4538972674836281307","2.236009193932175787","1.4538972674836281307","0.6717853410350915766","3.0181211203807123411","2.7248329020997608119","39","39","40","39","40","40","39","40"
"10/26/2021 18:37:12.158","0","2049.2175426029375558","53.427221987728778174","1.5024115461637399527","0","1.5024115461637399527","0.72068465367297607216","0.72068465367297607216","0.72068465367297607216","0","1.5024115461637399527","0.81839926447129229814","44","44","44","44","44","44","44","44"
"10/26/2021 18:37:14.144","2062.8947187377016235","0","53.416910756709270913","7.1404849757207955463","0.057979592513057731651","4.7796498479848796848","2.4188147202489740373","3.9927048054062441729","0.057979592513057731651","1.6318696776703278672","3.2057597628276091051","2.9106541127485452414","64","64","64","64","64","64","64","64"
"10/26/2021 18:37:16.152","12236.534969398953763","67300.942331694241147","53.393679078061531129","13.646692878074627941","0.42141160714912473395","2.7552847726065698986","3.533242494425714586","4.3112002162448597176","1.9773270507874252111","3.533242494425714586","8.2009888253406053593","4.7974225476494769538","39","39","39","39","39","40","39","39"
"10/26/2021 18:37:18.162","0","0","53.460481938314742933","17.582067609526152552","0","2.8090419923657461432","2.031514328304673267","2.031514328304673267","0.47645900018252751451","1.2539866642436003907","2.8090419923657461432","3.5865696564268190194","39","39","39","39","39","39","40","39"
"10/26/2021 18:37:20.159","16408.064066760311107","104601.40842559697921","53.451176698657491215","3.7658395481927953163","0","0","0","0.63627335463808387672","0","0.63627335463808387672","0","0.53847566291598258914","39","40","39","39","39","40","39","39"
"10/26/2021 18:37:22.148","62818.140407454040542","28834.556252601854794","53.445769602769466644","3.3607990218390670911","0.21806077864683359735","4.9321681434351782869","1.7894299002429558954","4.9321681434351782869","0.21806077864683359735","0.21806077864683359735","3.3607990218390670911","2.3786958350320852595","80","70","90","68","73","85","67","90"
"10/26/2021 18:37:24.160","0","10176.737330061405373","53.438696347512006923","9.9403897302927095581","0","4.5057580760862308011","0","2.9530061748843872138","0.6238783230816058456","3.7293821254853143365","0","2.6618639512075215059","39","39","39","39","39","39","39","39"
"10/26/2021 18:37:26.154","0","2054.7216108054276447","53.434326651840081013","6.7174942920513185385","0.44640147134887842029","3.5819478817000982573","2.7980612791122960736","2.7980612791122960736","1.230288073936680604","1.230288073936680604","5.1497210868757026248","2.9940304213221136109","39","39","39","39","39","39","39","39"
"10/26/2021 18:37:28.168","0","0","53.367398063039260592","6.939596204207576946","3.0620793793828982032","10.817113029032265459","2.2865760144179625435","5.3885894742777047384","0.73556928448809122401","6.1640928392426408422","5.3885894742777047384","5.097779434832006018","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:30.155","0","0","53.399809229513586217","7.2023227931781281796","0.91095484695291606414","17.425795705794090651","5.6294808066218227083","12.707269746125183119","4.0566388200655172369","6.4159017998999701149","4.0566388200655172369","7.3006241590643057293","39","39","39","39","39","39","39","39"
"10/26/2021 18:37:32.156","0","104431.81828975600365","53.355546447764048423","5.481136697035848826","3.918841435829834019","14.854908264271971419","11.730317741859931147","2.356546174623819212","2.356546174623819212","3.918841435829834019","1.5753985440208007063","5.7740683083481902926","39","39","39","39","39","39","39","39"
"10/26/2021 18:37:34.157","0","0","53.347341495879774698","10.995628754860199194","0.8460074725196942147","7.8726683602938880568","0.065267373878119538944","8.6534084589354733907","0.8460074725196942147","3.9689678670860040199","3.1882277684444293442","4.5545204426988732394","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:36.149","0","84303.680394595197868","53.346366959937462582","10.583351952912300575","1.1710732111135935263","5.0928560201963897214","1.1710732111135935263","1.1710732111135935263","3.5241428965632759507","5.8772125820129472729","3.5241428965632759507","4.014364492728129008","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:38.154","4085.7706602863740954","22471.738631575059117","53.29657133046923434","8.0431140763635884383","0.2501576421571116704","8.0431140763635884383","2.5880445724190570544","9.6017053632048821044","1.0294532855777638325","6.4845227895222956604","1.8087489289984159946","4.7311100855718990488","58","39","61","39","56","43","39","39"
"10/26/2021 18:37:40.169","0","223607.33884288661648","53.290881298782977638","6.174812682123221208","1.5223240547904803854","2.2977388260126074826","0.7469092835683643905","2.2977388260126074826","1.5223240547904803854","6.174812682123221208","1.5223240547904803854","2.782371817362794264","44","45","44","45","44","44","44","44"
"10/26/2021 18:37:42.165","0","186705.82552069713711","53.495470912543929387","8.4266515323837225537","2.1652259961364550556","14.68807706863098872","2.9479041881673606618","9.9920079164455337661","1.3825478041055383471","4.5132605722291714301","6.861295148321899795","6.3721225305876867395","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:44.155","61770.785645671858219","893617.36567405285314","53.53228320682706709","15.169941877711700329","3.3879893607272171252","11.242624372050203263","4.1734528618595163607","8.8862338686533153265","2.6025258595949174456","6.5298433652564158436","4.1734528618595163607","7.0207567967224937533","54","54","54","54","54","54","54","54"
"10/26/2021 18:37:46.164","2037.9612068909759728","120239.71120656757557","53.594904987512833827","6.7045958510264958008","3.5947490460607078866","12.924289460958060971","5.1496724485436073948","5.9271341497850515978","5.1496724485436073948","5.1496724485436073948","5.9271341497850515978","6.3158650004057736993","90","90","90","90","90","90","90","90"
"10/26/2021 18:37:48.150","28878.24263323806008","14439.12131661903004","53.958501120553933106","12.664372260588208974","3.2226827752463993448","6.3699126036936721817","1.6490678610227571532","10.303949889252761452","0.86226040391094160853","2.4358753181345838001","8.730334975029119704","5.7798095286436641516","47","41","46","42","44","43","39","47"
"10/26/2021 18:37:50.162","80912.696971126104472","173020.8614476910443","53.799526056693757425","14.582547078621232117","0.60514569148651942143","9.1468909836244005618","3.7112348886275681181","7.5938463850538813205","4.4877571879128330679","8.370368684339135612","7.5938463850538813205","7.0114521757185688244","39","39","39","39","39","39","39","39"
"10/26/2021 18:37:52.153","35760.411473862288403","148187.02884132860345","53.230774438295227924","8.9233920858271744692","1.0719603690881429614","9.7085352575010830378","0.28681719741423528092","4.9976762274576591594","3.4273898841098549006","3.4273898841098549006","4.9976762274576591594","4.6051046416207057632","44","45","44","44","44","44","44","44"
