"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/26/2021 18:26:09.494"," "," ","55.869974302097681118"," "," "," "," "," "," "," "," "," ","39","40","39","39","39","39","39","39"
"10/26/2021 18:26:11.479","517972.05267666792497","74290.812336095797946","55.815463176885494079","9.4785521283642140133","0.032835828715260806376","11.052838178305702144","2.3942649036274965546","5.542837003510481253","4.7556939785397318587","3.1814079285982455048","1.6071218786567476045","4.7556939785397318587","47","43","50","43","45","57","54","42"
"10/26/2021 18:26:13.491","4288529.546340322122","124224.04099329715245","55.68141735989633645","5.2175895867183630372","2.1099695731681467059","3.6637795799432493205","5.9944945901059139004","6.7713995934934656518","1.3330645697805842964","3.6637795799432493205","4.4406845833308006277","4.1493439640124645251","39","39","39","39","39","39","39","39"
"10/26/2021 18:26:15.486","5592048.8896890506148","20529.755916439080465","54.196916556497320983","2.1096991852670110568","0","2.8928215917848776328","10.724045656963522077","2.1096991852670110568","1.3265767787491555829","2.8928215917848776328","3.6759439983027442089","3.1864937472249277306","86","90","63","90","69","42","42","90"
"10/26/2021 18:26:17.475","1359120.3002154845744","4118.5463642893473661","54.160135694351076552","2.596997805705170137","1.8114897234931093273","2.596997805705170137","1.8114897234931093273","2.596997805705170137","0.24047355906899881006","4.1680139701292802101","1.0259816412810596198","2.1060514838838417795","48","90","55","39","54","39","40","76"
"10/26/2021 18:26:19.478","0","0","54.14102223099699529","0.13305772054602593713","0","2.4736891802207283675","0.13305772054602593713","3.2538996667789699124","0.13305772054602593713","1.6934786936624979248","0.13305772054602593713","0.91326820710426748207","40","40","39","40","39","40","39","42"
"10/26/2021 18:26:21.478","228286.78987847123062","98275.927481314967736","53.712478013176578884","4.7137132574828655152","1.5895727085478816853","7.8378538064178489009","0.80853757131412740122","3.1516429830153680491","1.5895727085478816853","4.7137132574828655152","1.5895727085478816853","3.2492761241382450699","39","39","39","39","39","39","39","39"
"10/26/2021 18:26:23.483","417371.48775348672643","0","53.85306264596364656","8.799207146141174718","2.5632554980140720424","10.358195058172947611","1.7837615419981855958","5.6812313220776289313","2.5632554980140720424","3.3427494540299584891","4.1222434100458453798","4.9017373660617309383","90","90","90","90","90","90","90","90"
"10/26/2021 18:26:25.491","10197.895439205380171","2039.5790878410762161","53.83819310316773965","2.7434016766601843074","0","1.1872961034867457464","0.409243316900032017","0","0.409243316900032017","0","0","0.31198298392330903184","44","44","44","44","44","44","44","44"
"10/26/2021 18:26:27.488","26659.944269861844077","256345.61797944077989","54.071672995125794614","6.1246623429271558336","1.4308954600735224183","8.4715457843539851979","0","5.3423678624515469338","0.64860097959791307431","2.2131899405491206601","2.2131899405491206601","3.2888461028742543846","90","90","90","90","90","90","90","90"
"10/26/2021 18:26:29.488","0","180275.71208801242756","54.062902171645056626","13.25815064551689737","0","7.0064858271757790575","0.75482100883464964269","5.4435696225904939283","1.5362791111272922073","2.317737213419934772","0.75482100883464964269","3.8806534180052199012","44","44","44","44","44","44","44","44"
