"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/26/2021 19:50:52.929"," "," ","54.534640338861997577"," "," "," "," "," "," "," "," "," ","39","40","39","39","39","39","39","39"
"10/26/2021 19:50:54.941","4072.8768526008861954","649623.85798984137364","54.533005634912527171","6.0004771011817448212","0","7.5541882234762658399","1.3393437342981928673","7.5541882234762658399","1.3393437342981928673","2.893054856592713886","3.6699104177399743953","3.7670161199144791553","39","39","39","39","39","39","39","39"
"10/26/2021 19:50:56.940","0","100358.33261078773648","54.325523822178489297","7.0204969204688545403","0","10.145858368520322301","0.76977402436592123891","7.8018372824817161515","2.3324547483916546753","1.551114386378782406","9.3645180065074491438","4.8718084246443087437","44","40","40","39","40","40","39","51"
"10/26/2021 19:50:58.933","0","6168.6016169687945876","54.317979038301388073","4.3122269070955958625","1.9592488802208984922","5.8808789250120563352","0.39059686230442647314","1.9592488802208984922","1.1749228712626624826","1.9592488802208984922","1.9592488802208984922","2.4494564005846375387","34","34","34","34","34","34","34","34"
"10/26/2021 19:51:00.948","0","71138.677348583689309","54.287736991953039478","5.4119545693555810573","0.76008348260256930473","6.9625782649399114987","0.76008348260256930473","2.3107071781869104043","2.3107071781869104043","2.3107071781869104043","4.6366427215634109515","3.1829317664541445509","39","39","39","39","39","39","39","39"
"10/26/2021 19:51:02.941","117116.07680405219435","59585.372409079187491","54.445737519870917254","56.889507010098505191","5.1569154222167012946","14.562841165467943938","2.0216068411329612964","5.1569154222167012946","8.2922240033004523951","0.45395255059108574613","2.0216068411329612964","11.819446157019664057","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:04.941","0","16390.193034438063478","54.592295120142466658","37.477729567271865108","15.594934915817015408","8.561179492135096325","0","2.3089524488622892306","29.662445763180844693","10.905764633362402094","6.9981227313168918869","13.934188357893084742","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:06.937","0","102592.59194322543044","54.896758928638121233","49.123657027349821647","24.076842025429733951","26.424980931859742839","10.770721555659680035","8.4225826492296711479","6.8571567116096687755","6.0744437427996622603","16.249712337329704326","18.500008365636212204","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:08.949","2034.9446093641633979","95642.396640115679475","55.091037334662637193","46.431078853352559577","9.1657424035108565619","18.482076515971279207","15.376631811817798479","15.376631811817798479","7.6130200514341161977","3.7312141712422697282","14.600270635779432737","16.347085766221525205","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:10.950","72435.562813864846248","167907.1703388527967","55.200845504924856755","32.051356003758492363","2.3726379364346072975","35.175431589792580667","10.963845798028359013","3.9346757294516532255","7.8397702119942680454","10.182826901519836937","7.8397702119942680454","13.795038048241526241","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:12.946","0","96472.667964982552803","55.394149375007060598","37.361019762598267846","25.616210968085439958","18.56932569137774891","20.918287450280303119","9.1734786557674858898","2.9095806320273087664","24.833223715117913599","6.041529643897391999","18.177832064893983954","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:14.936","8231.4409493086113798","222248.90563133251271","55.801222369959859293","56.038275940758289551","12.861582668288740194","30.917290764048733109","20.711890536010479025","23.852013683099173136","8.1513979476557025805","16.78673660214960961","14.431644241833097908","22.968855304029734299","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:16.950","0","38637.457680703984806","55.936337019302030171","25.530080609716009121","24.754352282733883328","25.530080609716009121","5.3611441081807598152","4.5854157811986429039","0.70677414628801393803","13.894155704984134658","16.997069012912636055","14.669884031966262228","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:18.949","0","4097.6859929017791728","56.039606373766346792","28.09583926761498418","18.717035693825636145","24.188004445202750503","4.6488303331416069852","18.717035693825636145","9.3382321200362827796","0.74099551072938085738","0.74099551072938085738","13.148372322395351475","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:20.940","32923.201618590115686","47327.10232672328857","56.018418086696975422","48.977656672190263976","19.934168931744721931","34.848392366027567846","5.0199454974618866743","10.514659394302928064","4.2349863693417315602","22.289046316105178391","5.804904625582030242","18.952967509725326067","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:22.937","72558.720980279860669","14357.909451928169801","56.214111148429587672","14.714969604102190459","47.577091408026120689","17.062264018668194865","6.8906548888822083399","21.756852847800178807","4.5433604743162163686","2.1960660597502235092","2.1960660597502235092","14.617166922052293287","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:24.938","0","247619.05428063115687","56.364032453010793233","85.167350013617308946","10.223434292946876667","0","0.85544482786307218802","0.074779039106087630273","0","3.197442194134014759","0","12.175098764839331622","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:26.936","0","297248.64329507166985","56.485314983056234439","71.847061023359586329","14.759156987394295157","18.669287400816571676","0.68268749907408610156","0.68268749907408610156","0.68268749907408610156","1.4647135817585366091","0.68268749907408610156","13.68386987246142894","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:28.938","0","730545.7920545990346","56.585692161830536406","58.627840659296737158","13.352647418527130441","0.082332158301556823687","1.6435457183280988147","12.572040638513859889","9.4496135184607865654","0.8629389383148278192","6.3271863984077132415","12.864769429989685534","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:30.926","0","127726.28977137501352","56.703799603670788088","59.134950526382070279","41.060024797666450525","0.98084166007963435874","2.5525743321418659093","0.98084166007963435874","0.19497532404852968568","0.98084166007963435874","0.98084166007963435874","13.358233937797415081","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:32.927","0","47087.418165692943148","56.872677210921573021","46.893268715561845283","25.025791127852016871","29.711679182361272922","0.034388170469357159931","0.034388170469357159931","0.034388170469357159931","0.034388170469357159931","0.034388170469357159931","12.725337483905541092","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:34.942","0","12197.592057549049059","57.031966642716888316","67.42902356158379007","31.756049367127936023","1.5115712457414498537","0.73607180673154193329","3.0625701237612767969","0","0","0","13.047126641812967662","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:36.942","0","16383.220977842505818","57.192230610454508621","53.909697554622916016","0.0074794405378497685888","1.569862574279445866","3.913437274891840012","46.097781885914933753","0.78867100740864781727","0.0074794405378497685888","0.78867100740864781727","13.385383773293757059","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:38.943","0","8189.3065370799549783","57.337059187082815015","87.503733259688658563","10.964099475281763318","3.1539327625871749206","0.81088274877880728297","0.81088274877880728297","0.029866077509344002294","0.81088274877880728297","0.029866077509344002294","13.014266987737411085","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:40.942","0","81936.813434116687858","57.456424100663618049","66.400395268875598731","35.144949007364530758","0","0","0","0","0","0","12.680099507339148701","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:42.942","0","45068.761219739368244","57.639133827211132655","83.588983420234413302","12.474578241250167565","7.00423938132830326","2.3153775013952770934","0.7524235414176017045","2.3153775013952770934","0","0","13.549105337645316993","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:44.942","0","8189.7924414474073274","57.794336499132761276","53.136936022395097723","17.989638039191412133","12.522280575137511249","16.427535906604585847","0.025463514442869428223","0.025463514442869428223","0.025463514442869428223","1.5875656470296983791","12.717545841074272772","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:46.942","30726.490971217670449","100373.20383931105607","57.947149979403974385","45.301976100201677866","46.083376441627365239","1.543556980363025577","7.0133593703428527277","0","0","1.543556980363025577","0","12.678509345198019531","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:48.927","0","2063.0071391329083781","58.102195467358029646","33.106797588384530684","0.053685808527470513241","28.384924476976369334","7.136495475639692998","34.680755292187235739","0.84066466042882481702","2.4146223642315445268","0.053685808527470513241","13.333955193529057226","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:50.929","0","20463.251851522123616","58.222503461461158736","18.816797538984918248","28.184090130640505834","51.602321609779465916","0.86282007164505403196","0.082212355673749737406","2.4240355035876515188","0.082212355673749737406","0.082212355673749737406","12.767090238152045245","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:52.942","71962.540700434867176","16274.214151335094357","58.402541083843104275","57.318674581632379272","18.517469655843619591","13.085300966233193165","2.2209635870123367596","10.757228670685869076","2.9969876855281185613","0","0","13.085300966233193165","90","90","90","90","90","90","90","90"
"10/26/2021 19:51:54.941","0","14726138.538783645257","58.584936442455493477","84.360985096794493643","6.9478613259272297142","0","1.4742061098052983148","4.6020090904464012738","10.075664306568333117","1.4742061098052983148","0","13.59444265978957489","90","90","90","90","90","90","90","90"
