"(PDH-CSV 4.0) (W. Europe Standard Time)(-60)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/31/2021 19:16:48.715"," "," ","46.917516423137278991"," "," "," "," "," "," "," "," "," ","44","44","44","44","45","44","44","44"
"10/31/2021 19:16:50.721","176117.09074586644419","163354.98272080364404","47.103006333835189423","37.703299053867610269","4.2188222953214449262","27.580085150121092852","8.112366104454727278","16.67816248454793282","17.45687124637458254","9.6697836281080302712","17.45687124637458254","17.359533897080268616","74","74","74","74","74","74","74","74"
"10/31/2021 19:16:52.716","71857.83016520133242","100600.9622312818683","47.11686725428255329","11.501082487431968815","74.155183381285439737","14.633787532124642894","2.1029673533539461339","11.501082487431968815","1.3197910921807776141","1.3197910921807776141","2.8861436145271146536","14.927479883146588691","90","74","90","77","90","90","90","90"
"10/31/2021 19:16:54.728","40728.669304086644843","40728.669304086644843","47.133685170471132153","39.406037470560647762","66.595636041462924481","16.877512940384487905","2.1174451447518283231","13.770130246567092058","2.1174451447518283231","0.5637537978431250707","0.5637537978431250707","17.751463080067551914","90","90","90","90","90","90","90","90"
"10/31/2021 19:16:56.724","22571.96680554217528","14363.978876254112038","47.105870919093923987","29.550253326017084987","49.119627402123441584","37.378002956459624784","0","8.41532932382220622","0","3.7186795455566801216","0","15.75384585480202837","90","90","90","90","90","90","90","90"
"10/31/2021 19:16:58.716","22620.218105171163188","10281.917320532345911","47.122966043446901097","31.751334925061648562","70.190238243130380624","29.397932681098261298","1.1571057535375572911","1.9415731681920234131","1.9415731681920234131","1.9415731681920234131","0.37263833888309116915","17.336744925638015502","90","50","90","49","90","84","90","90"
"10/31/2021 19:17:00.722","40834.195967353982269","83710.101733075658558","47.120409493129791656","24.454245004758913495","56.385955879036075089","29.127178303433620243","1.8684007278311653977","7.3201562429516586761","1.8684007278311653977","13.55073397451793582","0.31075629493959588956","16.860725902181428637","90","59","90","59","90","90","90","59"
"10/31/2021 19:17:02.716","22590.955344807141955","176620.19633212854387","47.12770957200035582","27.143690216149028771","56.912935074066631103","21.659881952848426323","0","10.69226542624720544","0.50805008011749475116","15.392672509076298581","2.0748524410605262425","16.763627081785227091","74","90","74","90","74","77","74","89"
"10/31/2021 19:17:04.728","38687.188746195854037","132350.90886856475845","47.106702566870183091","32.420618742025006043","72.036118100148286203","23.099324775407769295","2.1264133505189852791","3.6799623449551899235","0","1.3496388533008829569","2.1264133505189852791","17.079319936289081738","85","90","79","90","79","90","75","90"
"10/31/2021 19:17:06.718","24698.824785777189391","0","47.133284725047012387","54.463583780523968869","55.248694404997692686","39.546481915523202133","1.0760613163106946821","12.067610058942834783","12.067610058942834783","3.4313931897318683539","5.7867250631530424698","22.961021229692768486","90","90","90","90","90","90","90","90"
"10/31/2021 19:17:08.732","30512.231536189054168","2034.148769079270096","47.143603429930195148","54.216028926679193489","48.784032358658080852","28.608045106008241021","3.0000612853372743416","6.1040593242064904445","3.7760607950545810318","3.0000612853372743416","12.312055401944899558","19.975051802002475654","90","90","90","90","90","90","90","90"
"10/31/2021 19:17:10.726","28758.153676784913841","0","47.190822951307247024","44.365394896997180751","48.283324833828366707","37.313121010701053137","3.618923553952868577","4.4025095413190999949","1.2681655918541534511","4.4025095413190999949","9.1040254655165302466","19.094744296960886487","78","90","77","74","82","90","76","75"
"10/31/2021 19:17:12.721","30786.989410257781856","47206.717095728599816","47.193348721413258318","49.10651714693828751","44.408657191271046827","33.446983961380837513","0","2.9108942495438050457","3.693870908821683674","9.174707523766789663","13.872567479434017912","19.549150764723911777","90","90","90","90","90","90","90","90"
"10/31/2021 19:17:14.719","34852.298669063828129","0","47.183245640989220249","42.912750262369868892","64.809229613789653968","14.760133953401588514","2.24786003830457215","13.978116833708021716","2.24786003830457215","8.5039969958530807759","0.68382579891744788014","18.767970440603708226","84","90","90","90","90","90","90","90"
"10/31/2021 19:17:16.715","30787.861063964133791","0","47.181120316307321616","34.229954029118111691","60.851163112570304747","29.532093602626552808","0.56195430592858031105","8.3917216834145218485","0.56195430592858031105","0.56195430592858031105","0.56195430592858031105","16.9065949591932565","90","90","90","90","90","90","90","90"
