"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/26/2021 19:09:31.289"," "," ","53.051271255372853375"," "," "," "," "," "," "," "," "," ","39","40","39","39","39","39","39","39"
"10/26/2021 19:09:33.293","4089.9440198897495975","42944.412208842368273","53.06280850271294014","5.6201871287425708701","2.5001933148167121423","5.6201871287425708701","1.7201948613352446849","6.4001855822240383276","1.7201948613352446849","4.0601902217796475014","6.4001855822240383276","4.2551873391549648318","39","39","39","39","39","39","39","39"
"10/26/2021 19:09:35.293","0","302984.50291205151007","53.059601959087800083","2.3807184219336141595","0.037855664060015836725","6.2854896850562669286","0.81880991668454861099","0.81880991668454861099","0.81880991668454861099","1.5997641693090813853","1.5997641693090813853","1.7950052315188202989","39","44","39","41","39","40","40","39"
"10/26/2021 19:09:37.302","0","183559.61347914332873","53.057558590792488928","2.7426025867915648782","0.40842504887456110296","12.85737191776524746","1.186484228180229028","3.5206617660972328032","1.186484228180229028","1.9645434074858969531","0.40842504887456110296","3.0343760239258776856","51","61","46","60","49","52","50","50"
"10/26/2021 19:09:39.299","0","4101.7863900604579612","53.131466115156996466","2.2081958907339438447","1.4258614578598116651","6.9022024879787142737","2.2081958907339438447","2.9905303236080649221","3.7728647564821971017","0.64352702498567948552","4.5551991893563297253","3.0883208759822422529","39","40","39","39","39","39","39","39"
"10/26/2021 19:09:41.284","0","33004.241057062346954","53.223952686699092851","8.7181219130042624244","1.6359072338408053859","18.161074818555544397","8.7181219130042624244","12.652685623650627988","3.99664546022862055","7.9312091708749861141","6.3573836866164468162","8.5213912093511705592","39","39","39","39","39","39","39","39"
"10/26/2021 19:09:43.290","0","28587.30296813116729","53.217916854940803262","7.3095669288610558567","1.0782773106332244062","5.751744524304102768","1.0782773106332244062","4.9728333220256164537","3.4150109174686638092","3.4150109174686638092","3.4150109174686638092","3.8044665186079074104","39","39","39","39","39","39","39","39"
"10/26/2021 19:09:45.303","0","30523.354812786365073","53.222632350684747848","6.8473090274198344929","0.63712962924782345908","5.2947641778768321785","1.4134020540193192872","4.5184917531053248041","2.1896744787908262175","1.4134020540193192872","3.742219328333828976","3.2570503048875210084","59","60","58","64","62","61","61","62"
"10/26/2021 19:09:47.301","0","0","53.217696806699436252","3.8150618694052895741","0.68709640174366981569","4.5970532363206917381","0","4.5970532363206917381","0.68709640174366981569","1.4690877686590719797","3.03307050248988741","2.3488268052527239149","71","85","87","83","85","89","90","58"
"10/26/2021 19:09:49.301","0","43017.476750128051208","53.204870655481904862","7.0119084769632138432","0","6.2304959431561783845","0","3.1048458079280472077","1.5420207403139873925","3.1048458079280472077","3.1048458079280472077","3.0071704914622188198","34","35","34","34","34","34","34","34"
