"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 18:08:22.335"," "," ","48.704339062959036255"," "," "," "," "," "," "," "," "," ","59","66","57","62","74","64","64","64"
"10/28/2021 18:08:24.320","1064555.3823048674967","229003.1927051168459","48.742911813022317347","22.097086256019839112","65.37648278045325867","27.605373086402273941","12.654308832507087601","18.949493781515581503","6.3591238834985848172","7.1460220021246527722","7.9329201207507082927","21.015105120019970997","39","39","39","39","39","39","39","39"
"10/28/2021 18:08:26.308","6743694.0641412688419","218427.58360611877288","48.768847027972540786","0.9533482346453014955","18.247208066691367634","17.461123528871091537","0.9533482346453014955","5.6698554615669527479","2.525517310285851913","3.3116018481061271217","0.9533482346453014955","6.2594163494616434917","39","39","39","39","40","39","39","40"
"10/28/2021 18:08:28.315","1064164.6129635677207","81623.364369209419237","49.005627783249508411","11.266545831420637924","5.8180004000166434253","15.158363996709201871","0","30.725636657863475421","1.1478186016703584293","46.292909319017752523","2.7045458677857792118","14.088112755873039461","90","90","90","90","90","90","90","90"
"10/28/2021 18:08:30.303","104858.69683742721099","78321.975033360853558","48.995253687956200395","8.0098748773276273738","2.5061921776805662354","7.223634491663766255","2.5061921776805662354","49.680615317512554441","2.5061921776805662354","44.1769326178654822","3.2924325633444273542","14.987759558079060795","90","90","90","90","90","90","90","90"
"10/28/2021 18:08:32.304","0","34797.767709608546284","49.081830179570665962","2.391158614261057469","0.048546421003314854659","10.19986592512016621","0","100","0.048546421003314854659","0.048546421003314854659","3.9529000764328747763","14.494654946092676795","90","90","90","90","90","90","90","90"
"10/28/2021 18:08:34.308","4085.9255376979749599","67417.771372016592068","49.131374305377569556","1.8080143313665697491","1.8080143313665697491","18.173345276138807236","1.0287128578059800965","85.193272002348933825","0.24941138424540154617","1.8080143313665697491","2.5873158049271482994","14.082015033710460372","90","90","90","90","90","90","90","75"
"10/28/2021 18:08:36.313","16344.83287697689957","4086.2082192442248925","49.201855261158627286","56.35372972593335561","1.0164941998845544724","48.559752891278584741","0.23709651641907747432","4.1340849337464629087","6.4722779841428828007","0","0","14.461101745591431467","90","90","90","90","90","90","90","90"
"10/28/2021 18:08:38.309","34117.490504659886938","59513.216519406727457","49.274316697678138155","100","0","8.4087723566514949169","1.3632933071631492261","3.7117863236592607556","3.7117863236592607556","0.58046230166444168219","1.3632933071631492261","14.867130657075033895","90","90","90","90","90","90","90","90"
"10/28/2021 18:08:40.326","35031.885977398836985","134035.04200048249913","49.315970239535900532","96.126379058637482444","0","9.3572699721168657305","0.83530390111931085428","3.9342006542093299615","3.9342006542093299615","0.060579712846808853044","0","14.102454385727270392","90","90","90","90","90","90","90","90"
