"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 20:53:58.871"," "," ","39.555076612056019769"," "," "," "," "," "," "," "," "," ","44","44","44","44","44","44","44","44"
"10/28/2021 20:54:00.873","6137.5853027208613639","472594.06830950634321","39.493430158936753571","25.873389377004386347","13.388907587868281723","66.447955191696735255","12.60862747604727474","16.51002803515230255","8.707226916942245154","11.828347364226265981","11.048067252405257221","20.80156865016784451","73","74","73","75","74","68","59","73"
"10/28/2021 20:54:02.884","0","1071468.3390588655602","39.460577289448259819","30.069571887037980673","4.4284149122852394242","58.041743132222791246","0","3.6514101554745437284","3.6514101554745437284","1.3203958850424801774","9.0904434531493762961","13.752471994013504286","43","44","43","42","44","44","44","42"
"10/28/2021 20:54:04.874","339462.74519423523452","564141.27177085948642","39.524644180090319878","17.530175473166298872","4.177918168821792122","75.651766092077664894","3.3924912685662333978","5.7487719693329104587","5.7487719693329104587","6.5341988695884705152","6.5341988695884705152","15.66478532837630766","90","90","90","90","90","90","90","90"
"10/28/2021 20:54:06.879","72238.515528817981249","208291.97410429493175","39.497918132575676964","8.8601199703686077669","1.8493599680892591763","77.409773325988794568","1.0703866345026735729","8.0811466367820106171","3.4073066352624525877","18.207799973407723826","3.4073066352624525877","15.286652465172668514","74","74","74","74","75","74","74","74"
"10/28/2021 20:54:08.872","0","55498.255065849225502","39.531199643279244071","4.3392422282942160194","0.41871936879808169252","5.1233468001934401315","0.41871936879808169252","100","1.2028239406973062486","1.9869285125965308048","1.9869285125965308048","14.434589846064083574","90","90","90","90","90","90","90","90"
"10/28/2021 20:54:10.884","0","107906.78346693189815","39.511205521298386145","2.9152490946792619653","0.58521507295156149908","61.942777645114269092","1.3618930801941320219","36.312403406109595494","2.1385710874366914425","6.021961123649521852","4.4686051091643914646","14.468330724357992167","90","90","90","90","90","90","90","90"
"10/28/2021 20:54:12.873","0","2058.7883598237303886","39.479865422351259951","4.9745368198193524734","0.26253038113271953691","37.173247484178084221","0","67.801289335641271805","1.0478647875804880663","3.4038680069238047565","3.4038680069238047565","14.693051356145614861","90","90","90","90","90","90","90","90"
"10/28/2021 20:54:14.885","0","4071.7646531959449021","39.500590725685604809","1.3643298324121921894","0.58767101219495687658","100","1.3643298324121921894","0","1.3643298324121921894","0.58767101219495687658","2.9176474728466406106","13.499622655652244063","90","90","90","90","90","90","90","90"
"10/28/2021 20:54:16.873","0","55652.204718913642864","39.469225434462821056","4.0756513382786412336","1.7168558793838606391","33.953727150945958613","3.2893861853137140727","80.343371175876782786","1.7168558793838606391","3.2893861853137140727","4.8619164912435675063","16.655893785717513111","90","90","90","90","90","90","90","90"
