"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-F92J163T\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-F92J163T\Memory\% Committed Bytes In Use","\\LAPTOP-F92J163T\Processor(0)\% Processor Time","\\LAPTOP-F92J163T\Processor(1)\% Processor Time","\\LAPTOP-F92J163T\Processor(2)\% Processor Time","\\LAPTOP-F92J163T\Processor(3)\% Processor Time","\\LAPTOP-F92J163T\Processor(4)\% Processor Time","\\LAPTOP-F92J163T\Processor(5)\% Processor Time","\\LAPTOP-F92J163T\Processor(6)\% Processor Time","\\LAPTOP-F92J163T\Processor(7)\% Processor Time","\\LAPTOP-F92J163T\Processor(_Total)\% Processor Time","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-F92J163T\Processor Performance(PPM_Processor_7)\% of Maximum Frequency"
"10/28/2021 22:45:14.262"," "," ","39.817118071908389254"," "," "," "," "," "," "," "," "," ","39","39","39","39","39","39","39","39"
"10/28/2021 22:45:16.269","14281.417137770296904","83648.300378368890961","39.806856270834536815","16.729746607404894831","5.056346599097172323","43.189453292902399539","6.6127999335381932866","13.616839938522829812","8.9474799351997429397","5.8345732663176779198","15.173293272963860545","14.395066605743345178","39","40","39","39","39","39","40","40"
"10/28/2021 22:45:18.264","4105.9145518683963019","47218.017346486558381","39.782601115243181766","2.8895995337497870636","2.8895995337497870636","23.251457696028055011","1.3233027520360707285","6.8053414880340667992","10.721083442318345647","5.2390447063203504641","6.0221930971772081875","7.392700275101860008","35","35","34","34","34","34","35","35"
"10/28/2021 22:45:20.278","0","8135.4767414694561012","39.809755803972890931","0.68841795557376128656","0","3.0160331597399947512","0","0","0.68841795557376128656","0.68841795557376128656","2.2401614250179169296","0.88238837204382969404","34","35","34","35","35","34","34","34"
"10/28/2021 22:45:22.273","102680.68278041439771","226410.90553081376129","39.826749553863599829","62.399863315983125744","8.3496668327088681139","14.616356280045017968","8.3496668327088681139","5.216322109040794075","3.6496497472067623846","2.8663135662897465394","6.7829944708748364235","14.028851637681471587","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:24.273","0","16386.084309924222907","39.868780071816587451","1.5497900778990603143","100","5.4565444398871898457","0.76843920550142552628","1.5497900778990603143","2.3311409502966840002","1.5497900778990603143","5.4565444398871898457","14.832754908658706938","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:26.277","98099.638832384385751","61312.274270240239275","39.875688506261376176","86.746736254388423504","11.12517252942822843","2.5495312822678029008","0.21072003304222208797","0.99032378278408605965","1.7699275325259389291","1.7699275325259389291","4.8883425314933726114","13.756336432173000617","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:28.281","202330.61614229125553","2043.7435973968815688","39.869738169915450499","63.356687587264090666","36.848759458901959363","19.696570669961754874","0.98509199111788126046","1.7647369360697107155","4.8833167158770285354","0.98509199111788126046","4.1036717709251995245","16.57799089015443883","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:30.268","131934.84730462991865","49475.567739236219495","39.992400710469205194","22.149744560572770524","15.858814828093803939","45.740731057368897439","25.295209426812260034","4.8496877962556084185","7.9951526624950979283","30.013406726171474759","7.9951526624950979283","19.987234948661235734","74","74","74","75","74","74","75","74"
"10/28/2021 22:45:32.267","67607.906155616627075","98338.772589987813262","39.899741960666077034","35.130172329276362575","14.027939231571096457","47.635199350138755392","4.6491689659243000676","20.28045274200228576","16.372631797982784008","19.498888553198391094","13.246375042767189356","21.355104752110342758","78","77","71","90","76","82","74","70"
"10/28/2021 22:45:34.258","131706.09901370145963","0","39.96751521247613681","5.0129403461922521501","1.872872258463076367","8.9380254558537366449","1.0878552365307769811","0.30283821459847759527","12.078093543582912872","86.654710627150976165","1.0878552365307769811","14.629401376917339661","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:36.267","130437.69453524456185","38723.690565150725888","39.937940062940576524","55.683664285862491283","0.48261453667367559817","26.139440476437492578","0","23.029522180708550394","2.8150532584703902295","2.8150532584703902295","0.48261453667367559817","13.796950996295908709","90","74","90","74","90","76","75","74"
"10/28/2021 22:45:38.264","131272.49905142618809","0","39.910281109602721017","70.267624926301266441","0.63127278000686404269","34.275802468665958145","2.1961346259910086154","1.413703702998936329","1.413703702998936329","0.63127278000686404269","2.9785655489830809017","14.226011318883591272","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:40.266","203380.17612891137833","366340.14115295733791","39.909625551642299968","0.84724607301379650792","1.6279764188955825333","39.103033021221079935","0","60.963482705910941206","4.7508978024227044301","2.4087067647773685586","0.066515727132021584822","13.631701739322309663","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:42.255","131807.10801245164475","47368.179441974811198","39.893161281918445127","0.22677526954419935379","2.5836230978226848443","0.22677526954419935379","0","100","0.22677526954419935379","1.012391212303698218","0.22677526954419935379","12.99303685335699754","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:44.268","195303.28616195934592","28481.729231952405826","39.910028977298651398","44.123301050342867313","2.2157768381000253477","1.4397115749103406301","0.66364631172065591258","55.764279998188101217","0.66364631172065591258","1.4397115749103406301","0.66364631172065591258","13.371716238156128753","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:46.259","133709.14925344052608","22627.702181351472973","39.906650395110865759","100","0","1.129943502824859447","0.34526051475204377894","1.129943502824859447","3.4839924670433175535","0.34526051475204377894","1.129943502824859447","13.390613935969863491","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:48.265","130670.68419470124354","46959.777132470757351","39.861342157204951775","94.547864836696646762","5.7559493200421085746","10.429208031444970217","2.6404435124401937074","1.8615670605397149906","4.9770728681416294137","2.6404435124401937074","2.6404435124401937074","15.686621589368554552","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:50.275","130432.1195861283777","32608.029896532094426","39.923013802599868427","100","0.48894755618269503117","2.0438077506173435438","1.2663776534000192875","0","1.2663776534000192875","0.48894755618269503117","0","13.12218912374050106","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:52.276","196472.0806146308023","57304.356845933980367","39.877554271341665526","100","0","1.6293723526746517472","0.067933818590126815451","0.8486530856323892813","0.067933818590126815451","0.067933818590126815451","0.8486530856323892813","12.7546194097252652","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:54.268","131606.31505882306374","2056.3486727941103709","39.900321871950367836","90.586743584602174906","0.37636960370642791318","12.14294012295369285","0.37636960370642791318","1.1608076383229026796","3.5141217421723602854","0.37636960370642791318","4.2985597767888457099","14.104035209494902858","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:56.266","131218.44634704562486","125067.5816745278571","39.898103089048085224","74.971843323739207676","1.4516330872231253402","42.904517582280064403","0.66950319108997069506","3.7980227756225781732","3.0158928794894235281","0","4.580152671755721272","16.409871104993111857","90","90","90","90","90","90","90","90"
"10/28/2021 22:45:58.263","131293.93927495036041","14360.27460819769658","39.866233533217162233","18.611142470168353213","1.3942687619347360339","35.045431009845898984","10.002705616051542847","61.653326740752390833","0.61168359337866462511","20.958897975836578098","5.3071946047151037362","19.198078842312870762","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:00.269","142878.60625587240793","10205.614732562315112","39.909171718151583264","7.3449752809474748716","1.1160660561372215405","34.596453139492332696","0","1.1160660561372215405","1.1160660561372215405","100","0","17.953585058670597618","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:02.270","276438.97645589394961","20476.961218955104414","39.878386314930018841","66.411395774167388595","1.5775783150021371881","48.445398165001115842","0.79644798416882434111","1.5775783150021371881","4.7020996383354107806","19.543575924168422375","4.7020996383354107806","18.469525468698201109","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:04.274","130799.81865735592146","22481.218831733047409","39.894195026693445527","85.967075090892180356","12.684022787773630014","15.02284360595825774","3.3287395150350840289","0.98991869685045585925","2.5491325756402116731","0.2103117574555724012","4.8879533938248398428","15.704995935815468044","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:06.265","131643.76176830017357","61708.01332889070909","39.874326982506161698","1.9163160177579907639","27.810408589069879781","19.963713870490519042","1.1316465459000557559","55.273840104097637038","0.34697707404210964555","1.1316465459000557559","1.1316465459000557559","13.588275667115945922","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:08.266","163788.47214666265063","4094.7118036665660838","39.863056652216023679","0.81267750313313014132","3.1556851211693603965","42.205812088439778051","0","0.031674963787720056274","2.3746825818239503114","60.168870493384176257","0.031674963787720056274","13.503971266704139609","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:10.265","203607.61235559661873","30733.224506505150202","39.88428622015851488","3.8657149787207800706","0","1.5209763196651904238","0.73939676664666054151","0.73939676664666054151","1.5209763196651904238","100","0","13.537758195743233358","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:12.273","195862.39104975180817","75488.629883758505457","39.843869358264811353","2.7126345037521204517","1.1560366558121537572","0.37773773184217596111","0.37773773184217596111","0.37773773184217596111","0.37773773184217596111","100","0.37773773184217596111","13.219669977346892864","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:14.269","192808.00849504201324","4102.2980530860004365","39.883781955550375642","0","3.756981891063948531","2.9745183292026800004","0.62712764361887440856","0.62712764361887440856","0.62712764361887440856","100","0","13.439969721038846018","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:16.274","196169.88398959184997","55172.779872072707803","39.886832758757947204","22.050219414289585984","1.7832764620048791038","1.7832764620048791038","0.22428085029067013068","1.7832764620048791038","61.025109707144785887","18.152730385004069547","0.22428085029067013068","13.378307571325798619","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:18.274","151580.41374855715549","67596.67099597818742","39.856047355536382781","21.860149521416548879","8.5763749400573630055","53.116089712849934301","2.3251869017706816578","0.76238989219901132088","25.767142045345714507","2.3251869017706816578","0.76238989219901132088","14.43686372595112033","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:20.274","196588.64584781625308","36860.371096465547453","39.887412670042223795","0.011153755798543052435","1.573479478364192552","41.412785403788213046","0","1.573479478364192552","0.7923166170813678022","60.941856935858808697","1.573479478364192552","13.388566505406318541","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:22.277","130875.02000738689094","24539.06625138504387","39.577037361352012113","87.518629693319752505","0.92912319072552262966","0.92912319072552262966","0.14903754655800627305","1.7092088348930389863","2.4892944790605553429","11.850322209070739632","0.14903754655800627305","13.215474582637954271","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:24.263","156705.66135546955047","2061.9165967824937979","39.596476787607301162","100","0.89517767890088251193","4.827908723388940615","0.89517767890088251193","0.10863147000326200953","2.4682700966961013123","3.2548163055937107124","1.6817238877984919121","14.266463230160287168","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:26.276","130251.25428394331539","46809.044508292128739","39.606158677396869905","10.71828287339782193","0","30.903714571586139215","0","61.181862118868622247","1.4019297819262810378","0.62556702430365263012","0.62556702430365263012","13.047371146265696495","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:28.275","196727.06905854769866","38935.565751170899603","39.565111473101453043","1.5027220019830034303","0","1.5027220019830034303","0.72099757342731773946","100","0","1.5027220019830034303","0.72099757342731773946","13.228588430318355407","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:30.265","197537.016589018167","30865.158842034084955","39.533998314182738909","2.6680752793991402427","3.4530101561781822994","47.409363255804372272","2.6680752793991402427","56.043646900373801145","1.0982055258410561294","1.0982055258410561294","0.31327064906202517491","14.343977803799933923","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:32.280","134213.53374410211109","479915.06005466816714","39.495800211908246524","3.033299599885297404","2.2575659966843741877","43.37144696633301777","0","3.033299599885297404","0.70609879028253885735","60.43758623675319086","0.70609879028253885735","14.087505927845899834","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:34.266","197946.70365951411077","39176.951765945501393","39.516399460732095861","0.10708269036903139693","82.69571511171747602","1.6801994983947188267","1.6801994983947188267","0","1.6801994983947188267","16.624809174638720322","0.10708269036903139693","12.888654238590824264","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:36.271","130743.98295835494355","18385.8726035186628","39.524114723206530186","0","27.523032650284630307","3.3640435337128349325","8.8192991406806591215","61.813210751225234674","0","0.24675461544549914805","1.0260768450123358697","12.521082224954238171","90","90","90","90","90","90","90","90"
"10/28/2021 22:46:38.271","131079.70093242978328","8192.4813082768614549","39.501145421411173686","4.680322428278849145","0.77377826550338868472","10.930793088719582329","95.312147004669455441","1.5550870980584829972","2.3363959306135773097","0.77377826550338868472","0.77377826550338868472","14.642007543168000794","90","90","90","90","90","90","90","90"
